LineNo,TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt
25500,66158115,0,0,0,0.2585996,-0.01018977,-0.01018977,-0.44,NaN,0,0.08854985,0,0
25910,66261337,0,0,0,0.2585996,-0.0319934,-0.0319934,-0.41,NaN,0,0.06594513,-1,-1
26324,66364133,0,0,0,0.2585996,-0.05369333,-0.05369333,-0.32,NaN,0,0.042788,-2,-2
26729,66467897,0,0,0,0.2585996,-0.07143097,-0.07143097,-0.28,NaN,0,0.02505035,-3,-3
27141,66570370,0,0,0,0.2585996,-0.08620704999999999,-0.08620704999999999,-0.42,NaN,0,0.008649208,-4,-4
27551,66672260,0,0,0,0.2585996,-0.1008833,-0.1008833,-0.51,NaN,0,-0.007560551,-4,-4
27966,66775010,0,0,0,0.2585996,-0.1171338,-0.1171338,-0.24,NaN,0,-0.0246121,-5,-5
28347,66878080,0,0,0,0.2585996,-0.1334105,-0.1334105,-0.45,NaN,0,-0.04251391,-6,-6
28762,66980488,0,0,0,0.2585996,-0.1468417,-0.1468417,-0.24,NaN,0,-0.05578493,-7,-7
29171,67083520,0,0,0,0.2585996,-0.1595212,-0.1595212,-0.4,NaN,0,-0.06927311,-7,-7
29584,67184284,0,0,0,0.2585996,-0.1705773,-0.1705773,-0.54,NaN,0,-0.08170246,-7,-7
29987,67287339,0,0,0,0.2585996,-0.1832285,-0.1832285,-0.49,NaN,0,-0.0941935,-8,-8
30401,67387831,0,0,0,0.2585996,-0.1966671,-0.1966671,-0.38,NaN,0,-0.1082654,-8,-8
30809,67492559,0,0,0,0.2585996,-0.2109122,-0.2109122,-0.59,NaN,0,-0.1233191,-9,-9
31223,67594916,0,0,0,0.2585996,-0.226174,-0.226174,-0.25,NaN,0,-0.1400381,-9,-9
31603,67695913,0,0,0,0.2585996,-0.2399019,-0.2399019,-0.31,NaN,0,-0.1545748,-10,-10
32020,67798261,0,0,0,0.2585996,-0.2530216,-0.2530216,-0.39,NaN,0,-0.169144,-10,-10
32428,67901946,0,0,0,0.2585996,-0.2648081,-0.2648081,-0.48,NaN,0,-0.1833566,-11,-11
32843,68003294,0,0,0,0.2585996,-0.2766631,-0.2766631,-0.35,NaN,0,-0.1958602,-11,-11
33251,68107796,0,0,0,0.2585996,-0.2867497,-0.2867497,-0.41,NaN,0,-0.208373,-11,-11
33663,68209510,0,0,0,0.2585996,-0.2971779,-0.2971779,-0.21,NaN,0,-0.219442,-11,-11
34074,68311367,0,0,0,0.2585996,-0.3065087,-0.3065087,-0.36,NaN,0,-0.2303902,-12,-12
34487,68413232,0,0,0,0.2585996,-0.316337,-0.316337,-0.25,NaN,0,-0.2424768,-12,-12
34894,68517648,0,0,0,0.2585996,-0.3267128,-0.3267128,-0.29,NaN,0,-0.253669,-12,-12
35307,68620653,0,0,0,0.2585996,-0.3376495,-0.3376495,-0.27,NaN,0,-0.2654144,-13,-13
35715,68722362,0,0,0,0.2585996,-0.3492391,-0.3492391,-0.3,NaN,0,-0.2784536,-13,-13
36131,68826269,0,0,0,0.2585996,-0.3609576,-0.3609576,-0.19,NaN,0,-0.2909808,-14,-14
36538,68928513,0,0,0,0.2585996,-0.3713799,-0.3713799,-0.48,NaN,0,-0.3030205,-14,-14
36954,69030273,0,0,0,0.2585996,-0.3833455,-0.3833455,-0.27,NaN,0,-0.3155508,-14,-14
37335,69133141,0,0,0,0.2585996,-0.3937064,-0.3937064,-0.37,NaN,0,-0.3267204,-15,-15
37747,69235905,0,0,0,0.2585996,-0.4043294,-0.4043294,-0.53,NaN,0,-0.3397694,-15,-15
38158,69339836,0,0,0,0.2585996,-0.4160758,-0.4160758,-0.4,NaN,0,-0.3529655,-15,-15
38567,69443370,0,0,0,0.2585996,-0.4282141,-0.4282141,-0.3,NaN,0,-0.3657446,-15,-15
38980,69546278,0,0,0,0.2585996,-0.4380466,-0.4380466,-0.42,NaN,0,-0.3780033,-16,-16
39386,69648551,0,0,0,0.2585996,-0.4480819,-0.4480819,-0.51,NaN,0,-0.3887709,-16,-16
39800,69751134,0,0,0,0.2585996,-0.4587205,-0.4587205,-0.32,NaN,0,-0.401027,-16,-16
40182,69855537,0,0,0,0.2585996,-0.4696523,-0.4696523,-0.44,NaN,0,-0.4127676,-16,-16
40596,69958266,0,0,0,0.2585996,-0.4783977,-0.4783977,-0.57,NaN,0,-0.4236873,-16,-16
41006,70063121,0,0,0,0.2585996,-0.4876453,-0.4876453,-0.5,NaN,0,-0.4345524,-16,-16
41417,70167132,0,0,0,0.2585996,-0.4957175,-0.4957175,-0.61,NaN,0,-0.4440817,-16,-16
41828,70270570,0,0,0,0.2585996,-0.5070313,-0.5070313,-0.62,NaN,0,-0.457013,-17,-17
42241,70372657,0,0,0,0.2585996,-0.5162902,-0.5162902,-0.41,NaN,0,-0.467073,-17,-17
42622,70474908,0,0,0,0.2585996,-0.5265836,-0.5265836,-0.8,NaN,0,-0.4789914,-17,-17
43036,70578476,0,0,0,0.2585996,-0.5385362,-0.5385362,-0.54,NaN,0,-0.4915925,-17,-17
43445,70682250,0,0,0,0.2585996,-0.550288,-0.550288,-0.46,NaN,0,-0.5057705,-17,-17
43858,70785053,0,0,0,0.2585996,-0.5580491,-0.5580491,-0.46,NaN,0,-0.5143327,-17,-17
44269,70887848,0,0,0,0.2585996,-0.5661228,-0.5661228,-0.58,NaN,0,-0.5240238,-17,-17
44681,70990447,0,0,0,0.2585996,-0.5754846,-0.5754846,-0.65,NaN,0,-0.5358117999999999,-17,-17
45064,71092466,0,0,0,0.2585996,-0.5848621000000001,-0.5848621000000001,-0.47,NaN,0,-0.5459979,-17,-17
45476,71195136,0,0,0,0.2585996,-0.595282,-0.595282,-0.37,NaN,0,-0.5578675,-17,-17
45886,71298951,0,0,0,0.2585996,-0.6021893,-0.6021893,-0.49,NaN,0,-0.5663922,-17,-17
46299,71401716,0,0,0,0.2585996,-0.6102176,-0.6102176,-0.36,NaN,0,-0.5760379,-17,-17
46680,71505511,0,0,0,0.2585996,-0.6152028,-0.6152028,-0.47,NaN,0,-0.581664,-17,-17
47094,71608919,0,0,0,0.2585996,-0.6170207,-0.6170207,-0.57,NaN,0,-0.5850993,-16,-16
47502,71714838,0,0,0,0.2585996,-0.6189044,-0.6189044,-0.68,NaN,0,-0.5877994,-16,-16
47927,71820492,0,0,0,0.2585996,-0.6263742,-0.6263742,-0.31,NaN,0,0.003625741,-16,-16
48361,71924119,0,0,0,0.2585996,-0.6324974,-0.6324974,-0.35,NaN,0,-0.00331373,-16,-16
48814,72027315,0,0,0,0.2585996,-0.6391211999999999,-0.6391211999999999,-0.73,NaN,0,-0.01073862,-16,-16
49261,72130280,0,0,0,0.2585996,-0.6445946,-0.6445946,-0.75,NaN,0,-0.01864589,-16,-16
49715,72233939,0,0,0,0.2585996,-0.6528589,-0.6528589,-0.49,NaN,0,-0.02835972,-16,-16
50128,72338479,0,0,0,0.2585996,-0.6569854000000001,-0.6569854000000001,-0.42,NaN,0,-0.03328729,-16,-16
50575,72441433,0,0,0,0.2585996,-0.6644171,-0.6644171,-0.44,NaN,0,-0.04136754,-16,-16
51026,72543347,0,0,0,0.2585996,-0.6690739,-0.6690739,-0.43,NaN,0,-0.04763413,-15,-15
51476,72646934,0,0,0,0.2585996,-0.6750657,-0.6750657,-0.38,NaN,0,-0.05589945,-15,-15
51931,72750827,0,0,0,0.2585996,-0.6781376,-0.6781376,-0.31,NaN,0,-0.05978007,-15,-15
52349,72853027,0,0,0,0.2585996,-0.6842576,-0.6842576,-0.27,NaN,0,-0.06751759,-15,-15
52800,72955382,0,0,0,0.2585996,-0.6867981,-0.6867981,-0.53,NaN,0,-0.07085908,-15,-15
53248,73059099,0,0,0,0.2585996,-0.6906434,-0.6906434,-0.49,NaN,0,-0.07552076000000001,-15,-15
53699,73161471,0,0,0,0.2585996,-0.6953542,-0.6953542,-0.52,NaN,0,-0.08184899,-14,-14
54147,73266345,0,0,0,0.2585996,-0.7008114,-0.7008114,-0.37,NaN,0,-0.0881073,-14,-14
54599,73369564,0,0,0,0.2585996,-0.7069141,-0.7069141,-0.29,NaN,0,-0.09582735000000001,-14,-14
55015,73473460,0,0,0,0.2585996,-0.7117281,-0.7117281,-0.45,NaN,0,-0.1014502,-14,-14
55467,73575954,0,0,0,0.2585996,-0.716693,-0.716693,-0.55,NaN,0,-0.1080325,-14,-14
55918,73678963,0,0,0,0.2585996,-0.7209132,-0.7209132,-0.31,NaN,0,-0.1130614,-14,-14
56372,73781864,0,0,0,0.2585996,-0.7236915,-0.7236915,-0.23,NaN,0,-0.116656,-14,-14
56821,73884959,0,0,0,0.2585996,-0.7271260000000001,-0.7271260000000001,-0.38,NaN,0,-0.1217079,-13,-13
57049,73986876,0,0,0,0.2585996,-0.7310576,-0.7310576,-0.38,NaN,0,-0.1256395,-13,-13
57498,74089491,0,0,0,0.2585996,-0.7351606000000001,-0.7351606000000001,-0.57,NaN,0,-0.1305436,-13,-13
57948,74192098,0,0,0,0.2585996,-0.7402601,-0.7402601,-0.45,NaN,0,-0.1372682,-13,-13
58365,74296907,0,0,0,0.2585996,-0.7449467,-0.7449467,-0.5,NaN,0,-0.1429237,-13,-13
58817,74400345,0,0,0,0.2585996,-0.751109,-0.751109,-0.7,NaN,0,-0.1507034,-13,-13
59266,74504493,0,0,0,0.2585996,-0.755672,-0.755672,-0.44,NaN,0,-0.1560752,-13,-13
59717,74606043,0,0,0,0.2585996,-0.7610186,-0.7610186,-0.38,NaN,0,-0.1614219,-12,-12
60166,74709273,0,0,0,0.2585996,-0.7627831,-0.7627831,-0.4,NaN,0,-0.1639949,-12,-12
60618,74811907,0,0,0,0.2585996,-0.7635458000000001,-0.7635458000000001,-0.3,NaN,0,-0.1663674,-12,-12
61065,74916120,0,0,0,0.2585996,-0.7647635,-0.7647635,-0.28,NaN,0,-0.1675853,-12,-12
61696,75118542,0,0,0,0.2585996,-0.7693737,-0.7693737,-0.36,NaN,0,-0.1721954,-11,-11
62151,75221419,0,0,0,0.2585996,-0.7685254,-0.7685254,-0.2,NaN,0,-0.1721634,-11,-11
62600,75323924,0,0,0,0.2585996,-0.7674515,-0.7674515,-0.07000000000000001,NaN,0,-0.1710895,-11,-11
63022,75426068,0,0,0,0.2585996,-0.7674913,-0.7674913,0.25,NaN,0,-0.1703131,-11,-11
63439,75531464,0,0,0,0.2585996,-0.7637905,-0.7637905,0.11,NaN,0,-0.16678,-10,-10
63894,75636023,0,0,0,0.2585996,-0.7618305,-0.7618305,0.06,NaN,0,-0.16482,-10,-10
64345,75739484,0,0,0,0.2585996,-0.7567253,-0.7567253,0.16,NaN,0,-0.1597148,-10,-10
64760,75842266,0,0,0,0.2585996,-0.7511508,-0.7511508,0.27,NaN,0,-0.1541404,-9,-9
65214,75945251,0,0,0,0.2585996,-0.7417699,-0.7417699,0.14,NaN,0,-0.1457359,-9,-9
65663,76048894,0.0149999,9.028241e-06,0.00285713,0.2585996,-0.731349,-0.731349,0.2,NaN,0,-0.1353151,-10,-10
