LineNo,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
1849,6.0169e+07,2,-3.2371e-05,0.0017983,0.00082762,-0.25568,-0.11301,-9.8257,0,0,36.753,1,1,7746,3872
1852,6.0171e+07,2,-0.00014358,0.0020741,0.00082475,-0.25512,-0.11335,-9.8219,0,0,36.753,1,1,7746,3872
1855,6.0174e+07,2,-0.00055416,0.002496,0.0012674,-0.25387,-0.11579,-9.8163,0,0,36.753,1,1,7746,3872
1886,6.0177e+07,2,-0.00089236,0.0019889,0.001844,-0.25158,-0.11847,-9.8138,0,0,36.753,1,1,7746,3872
1889,6.0179e+07,2,-0.0016301,0.0014604,0.0015192,-0.25089,-0.11886,-9.8136,0,0,36.753,1,1,7746,3872
1892,6.0182e+07,2,-0.0013418,0.0012147,0.0015116,-0.24788,-0.11977,-9.8109,0,0,36.753,1,1,7746,3872
1895,6.0184e+07,2,-0.0011492,0.00091171,0.0015517,-0.24581,-0.12162,-9.8078,0,0,36.752,1,1,7746,3872
1926,6.0187e+07,2,-0.00097698,0.00036531,0.0018377,-0.24341,-0.12328,-9.8052,0,0,36.752,1,1,7746,3872
1930,6.019e+07,2,-0.0017376,0.00056977,0.001808,-0.24262,-0.12453,-9.799,0,0,36.752,1,1,7746,3872
1933,6.0192e+07,2,-0.0017941,0.0010451,0.0016484,-0.24276,-0.12488,-9.7934,0,0,36.752,1,1,7746,3872
1936,6.0195e+07,2,-0.0010121,0.0012003,0.0014427,-0.24278,-0.12704,-9.7905,0,0,36.752,1,1,7746,3872
1967,6.0197e+07,2,-0.0014622,0.0008903,0.00091597,-0.24215,-0.12926,-9.7919,0,0,36.752,1,1,7746,3872
1971,6.02e+07,2,-0.0018418,0.00034505,0.00052484,-0.24215,-0.13112,-9.7941,0,0,36.752,1,1,7746,3872
1974,6.0202e+07,2,-0.0018947,-0.00056814,0.00037765,-0.24357,-0.13209,-9.7978,0,0,36.752,1,1,7746,3872
1981,6.0205e+07,2,-0.001305,-0.0010009,0.00053315,-0.24463,-0.13242,-9.8078,0,0,36.752,1,1,7746,3872
2012,6.0207e+07,2,-0.00034925,-0.0016972,0.00071015,-0.245,-0.12786,-9.819,0,0,36.752,1,1,7746,3872
2016,6.021e+07,2,-0.00017498,-0.0012172,0.00012848,-0.24505,-0.12432,-9.8224,0,0,36.752,1,1,7746,3872
2019,6.0212e+07,2,0.00025922,-0.00030962,0.00017895,-0.24519,-0.12286,-9.8224,0,0,36.752,1,1,7746,3872
2023,6.0215e+07,2,0.00035582,0.00077267,0.00094896,-0.24682,-0.11799,-9.8203,0,0,36.752,1,1,7746,3872
2056,6.0218e+07,2,-0.00035807,0.0017478,0.00066174,-0.24665,-0.11286,-9.8202,0,0,36.752,1,1,7746,3872
2059,6.022e+07,2,-0.00023199,0.0012511,0.00081862,-0.24437,-0.10833,-9.821,0,0,36.752,1,1,7746,3872
2062,6.0223e+07,2,-0.00010274,0.00031987,0.00016009,-0.24158,-0.10064,-9.8218,0,0,36.752,1,1,7746,3872
2065,6.0225e+07,2,0.00025256,-0.00033155,0.00037978,-0.23957,-0.097777,-9.8216,0,0,36.752,1,1,7746,3872
2096,6.0227e+07,2,-0.00020633,-0.0017843,0.00098049,-0.23688,-0.097596,-9.82,0,0,36.752,1,1,7746,3872
2100,6.023e+07,2,-0.00030517,-0.0017608,0.0014313,-0.23517,-0.097124,-9.8195,0,0,36.752,1,1,7746,3872
2103,6.0233e+07,2,-0.00040076,-0.0013937,0.0007903,-0.23312,-0.096873,-9.82,0,0,36.752,1,1,7746,3872
2106,6.0236e+07,2,1.5611e-05,-0.00061098,-0.00019724,-0.23244,-0.098529,-9.8208,0,0,36.751,1,1,7746,3872
2137,6.0239e+07,2,0.0011243,-0.00043474,-0.0010865,-0.23369,-0.10045,-9.8214,0,0,36.751,1,1,7746,3872
2141,6.0241e+07,2,0.00072263,-0.0012246,-0.0015541,-0.23449,-0.10192,-9.8213,0,0,36.751,1,1,7746,3872
2144,6.0243e+07,2,0.00097344,-0.0013833,-0.00072423,-0.23547,-0.10394,-9.8216,0,0,36.751,1,1,7746,3872
2147,6.0246e+07,2,0.0019281,-5.2592e-06,0.0013949,-0.2367,-0.10694,-9.8202,0,0,36.751,1,1,7746,3872
2178,6.025e+07,2,0.0023788,0.00041668,0.0018057,-0.23645,-0.10966,-9.8187,0,0,36.751,1,1,7746,3872
2181,6.0253e+07,2,0.0033067,0.0020909,0.0018889,-0.23383,-0.11425,-9.8181,0,0,36.751,1,1,7746,3872
2184,6.0254e+07,2,0.0015884,0.0033743,0.0013062,-0.23129,-0.11797,-9.8167,0,0,36.751,1,1,7746,3872
2187,6.0257e+07,2,-7.6422e-09,0.0038329,0.001389,-0.23084,-0.1185,-9.8179,0,0,36.75,1,1,7746,3872
2218,6.026e+07,2,-0.00027759,0.0035609,0.0013532,-0.23122,-0.11874,-9.8195,0,0,36.75,1,1,7746,3872
2221,6.0261e+07,2,0.00053272,0.0024224,0.00085121,-0.23158,-0.11959,-9.8234,0,0,36.75,1,1,7746,3872
2225,6.0264e+07,2,0.00047404,0.0017609,0.00032116,-0.23109,-0.11952,-9.8258,0,0,36.75,1,1,7746,3872
2229,6.0267e+07,2,0.00022267,0.0015252,0.00051066,-0.22861,-0.11742,-9.8258,0,0,36.75,1,1,7746,3872
2260,6.0269e+07,2,0.00038013,0.0019177,0.00025698,-0.22708,-0.11671,-9.8239,0,0,36.75,1,1,7746,3872
2263,6.0272e+07,2,0.0018212,0.0012507,-0.0001818,-0.22553,-0.11712,-9.8222,0,0,36.75,1,1,7746,3872
2266,6.0274e+07,2,0.0021568,0.00078623,8.4559e-05,-0.2241,-0.11766,-9.8225,0,0,36.75,1,1,7746,3872
2270,6.0277e+07,2,0.0010192,0.0012201,0.00018226,-0.22349,-0.11636,-9.8212,0,0,36.75,1,1,7746,3872
2301,6.028e+07,2,-1.4434e-05,0.0014778,1.032e-05,-0.22348,-0.11431,-9.8203,0,0,36.75,1,1,7746,3872
2304,6.0283e+07,2,0.00066827,0.0015828,-5.4639e-05,-0.2243,-0.11377,-9.8198,0,0,36.75,1,1,7746,3872
2307,6.0285e+07,2,0.0007668,0.00061761,0.0013112,-0.2268,-0.1135,-9.8181,0,0,36.75,1,1,7746,3872
2310,6.0288e+07,2,0.00037293,0.00041234,0.00157,-0.22918,-0.11374,-9.8187,0,0,36.75,1,1,7746,3872
2343,6.0291e+07,2,-8.6399e-05,0.00037363,0.0017892,-0.23203,-0.11724,-9.8198,0,0,36.75,1,1,7746,3872
2346,6.0293e+07,2,4.4834e-05,0.0003335,0.0020114,-0.23254,-0.11867,-9.819,0,0,36.751,1,1,7746,3872
2349,6.0295e+07,2,-9.1347e-05,0.00038203,0.0017706,-0.23269,-0.11823,-9.8183,0,0,36.751,1,1,7746,3872
2353,6.0298e+07,2,-0.001508,0.0010331,0.00030838,-0.23206,-0.115,-9.8145,0,0,36.751,1,1,7746,3872
2384,6.0301e+07,2,-0.0021533,0.0009363,-0.00042445,-0.2316,-0.11265,-9.813,0,0,36.751,1,1,7746,3872
2387,6.0303e+07,2,-0.0021786,-0.00044735,-0.0010148,-0.231,-0.10944,-9.8129,0,0,36.751,1,1,7746,3872
2390,6.0306e+07,2,-0.0021548,-0.001275,-0.0011489,-0.22927,-0.1056,-9.8131,0,0,36.751,1,1,7746,3872
2397,6.0308e+07,2,-0.001937,-0.0013454,-0.0014384,-0.22708,-0.10334,-9.8128,0,0,36.751,1,1,7746,3872
2428,6.0311e+07,2,-0.0010696,-0.0012833,-0.0011062,-0.22545,-0.10165,-9.8154,0,0,36.751,1,1,7746,3872
2431,6.0313e+07,2,0.00014061,-0.0014922,-0.00058388,-0.22518,-0.10137,-9.8164,0,0,36.751,1,1,7746,3872
2434,6.0316e+07,2,0.00077934,-0.0012676,0.00039218,-0.22526,-0.10333,-9.8159,0,0,36.751,1,1,7746,3872
2439,6.0318e+07,2,0.00060991,-0.0014098,0.0011795,-0.2238,-0.10438,-9.8143,0,0,36.751,1,1,7746,3872
2472,6.0321e+07,2,-0.00032887,-0.0015368,0.0011568,-0.22068,-0.10431,-9.8092,0,0,36.751,1,1,7746,3872
2475,6.0324e+07,2,-0.00092261,-0.0022412,0.0014071,-0.21996,-0.10357,-9.807,0,0,36.751,1,1,7746,3872
2478,6.0326e+07,2,-0.0016326,-0.002463,0.0012558,-0.21996,-0.10308,-9.8056,0,0,36.751,1,1,7746,3872
2483,6.0328e+07,2,-0.0016587,-0.0028559,0.00096532,-0.21856,-0.10466,-9.8073,0,0,36.751,1,1,7746,3872
2514,6.0331e+07,2,-0.0013076,-0.003064,0.0013801,-0.218,-0.10585,-9.8093,0,0,36.751,1,1,7746,3872
2517,6.0333e+07,2,-0.0011551,-0.0026611,0.0015641,-0.22016,-0.10727,-9.8145,0,0,36.751,1,1,7746,3872
2520,6.0336e+07,2,-0.0012489,-0.0016471,0.00081336,-0.22121,-0.10777,-9.817,0,0,36.751,1,1,7746,3872
2523,6.0339e+07,2,-0.0011894,-0.00057925,0.00073443,-0.22413,-0.10904,-9.8223,0,0,36.751,1,1,7746,3872
2554,6.0342e+07,2,-5.7722e-05,-2.7555e-05,0.00051984,-0.22655,-0.10942,-9.8219,0,0,36.751,1,1,7746,3872
