LineNo,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
2693,60378605,0,1.66,-1.15,16.39,-0.000702673,0.000114256,-0.5784262999999999,-0.6838896,1.636387,0.04030636,0.05933686,-0.01,0,-0.12,90.33
2734,60389248,0,1.66,-1.15,16.39,-0.0008686773,0.0002426404,-0.5783384,-0.6798801,1.636387,0.04030636,0.05298131,-0.01,0,-0.12,90.33
2775,60399504,0,1.66,-1.15,16.39,-0.0009588291000000001,0.0001902141,-0.5785857,-0.6756174,1.636387,0.04030636,0.04640821,-0.01,0,-0.12,90.33
2819,60409542,0,1.66,-1.15,16.39,-0.0009963800000000001,0.000223444,-0.5787663,-0.6704909,1.636387,0.04030636,0.03929868,-0.01,0,-0.12,90.33
2861,60420044,0,1.66,-1.15,16.39,-0.001060325,0.0001407058,-0.5788181,-0.6656619,1.636387,0.04030636,0.03223364,-0.01,0,-0.12,90.33
2902,60430413,0,1.66,-1.15,16.39,-0.001146232,5.915888e-05,-0.5788246,-0.6608079,1.636387,0.04030636,0.02578388,-0.01,0,-0.12,90.33
2943,60440448,0,1.66,-1.15,16.39,-0.001143982,-5.314083e-06,-0.5789328,-0.6561009,1.636387,0.04030636,0.0193731,-0.01,0,-0.12,90.33
2985,60453858,0,1.67,-1.15,16.39,-0.001352699,-7.392170999999999e-05,-0.5791825,-0.6511202,1.614123,0.04836764,0.01124075,-0.01,0,-0.12,90.33
3026,60464070,0,1.67,-1.15,16.39,-0.001363897,-9.504525e-05,-0.5792192,-0.6463553,1.614123,0.04836764,0.004298476,-0.01,0,-0.12,90.33
3067,60474443,0,1.67,-1.15,16.39,-0.001491018,-0.0001089314,-0.5792959,-0.6427069,1.614123,0.04836764,-0.001487725,-0.01,0,-0.12,90.33
3108,60484461,0,1.67,-1.15,16.39,-0.001458846,6.741082e-05,-0.5796038,-0.6390215,1.614123,0.04836764,-0.007823518,-0.01,0,-0.12,90.33
3149,60494554,0,1.67,-1.15,16.39,-0.001314016,0.0001620107,-0.5797439,-0.6342407,1.614123,0.04836764,-0.0136143,-0.01,0,-0.12,90.33
3189,60504475,0,1.67,-1.14,16.39,-0.001263286,0.0001984251,-0.5794671,-0.6293841,1.614123,0.04836764,-0.01993705,-0.01,0,-0.12,90.33
3234,60514408,0,1.67,-1.14,16.39,-0.001109932,0.0003602876,-0.5793573,-0.6246116,1.614123,0.04836764,-0.02623118,-0.01,0,-0.12,90.33
3275,60525025,0,1.67,-1.14,16.39,-0.001018743,0.0004548416,-0.5794199,-0.6202307,1.614123,0.04836764,-0.03307381,-0.01,0,-0.12,90.33
