LineNo,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
651,69154003,0,-0.97,0.71,2.36,0.02789569,0.0001474334,0.03116926,0.04535213,-0.05725997,-0.417818,1.507362,0.02,0,0,91.31999999999999
991,69228121,0,-0.96,0.71,2.37,0.02659896,0.0004630481,0.03173824,0.04178604,-0.05602185,-0.4183501,1.510343,0.02,0,0,91.31999999999999
1391,69442746,0,-0.95,0.72,2.36,0.02210701,-0.00118861,-0.4169642,-0.3574224,-0.05301261,-0.4193996,1.465832,0.02,0,0,91.31999999999999
1539,69464911,0,-0.96,0.72,2.36,0.02195832,-0.0009972946999999999,-0.4165149,-0.3647128,-0.05261119,-0.4194742,1.457334,0.02,0,0,91.31999999999999
1578,69478297,0,-0.96,0.72,2.36,0.02176822,-0.0007872579,-0.4163882,-0.3682546,-0.05237558,-0.4195078,1.452276,0.02,0,0,91.31999999999999
1623,69488531,0,-0.96,0.72,2.36,0.02176494,-0.0005242775,-0.4159694,-0.370643,-0.05220985,-0.4195351,1.448455,0.02,0,0,91.31999999999999
1668,69498900,0,-0.96,0.71,2.36,0.02186072,-0.0004469742,-0.4156521,-0.3729636,-0.05202798,-0.4195595,1.444211,0.02,0,0,91.31999999999999
1715,69509527,0,-0.96,0.71,2.36,0.02207626,-0.000322309,-0.4160398,-0.3753805,-0.05180856,-0.4195635,1.440057,0.02,0,0,91.31999999999999
1753,69520860,0,-0.96,0.72,2.36,0.02210906,-0.0002040451,-0.4151319,-0.3692296,-0.05121765,-0.4194044,1.438288,0.02,0,0,91.31999999999999
1797,69530803,0,-0.96,0.72,2.36,0.02228936,-0.0002569706,-0.4140698,-0.356137,-0.05066729,-0.4192522,1.436815,0.02,0,0,91.31999999999999
1845,69540740,0,-0.96,0.72,2.36,0.02248177,-0.0002566238,-0.4128175,-0.3392681,-0.05011068,-0.4191064,1.434821,0.02,0,0,91.31999999999999
