LineNo,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
185,118643360,1,0.003152885,-0.01081514,-0.004260448,-0.02000361,0.02148349,-9.685904000000001,0,0,45.48698,1,1,753,995
220,118646263,1,0.004749436,-0.009786928,-0.00283109,-0.03791653,0.01484865,-9.708928999999999,0,0,45.4869,1,1,753,995
286,118671592,1,-0.006119468,0.004493715,-0.003916459,-0.03289221,0.003177122,-9.786633,0,0,45.48674,1,1,753,995
402,118699875,1,-0.00175005,0.002296195,0.008886659999999999,-0.05881299,-0.09769211,-9.721456999999999,0,0,45.48658,1,1,753,995
517,118725357,1,0.004361528,-0.00141042,0.003317075,0.01564112,-0.03493062,-9.750168,0,0,45.48645,1,1,753,995
520,118727505,1,0.005223475,0.003276359,0.006104692,0.02809124,-0.02537157,-9.757453,0,0,45.48645,1,1,753,995
555,118729949,1,0.00267931,0.004957536,0.004649566,0.01589622,-0.01716786,-9.760020000000001,0,0,45.48645,1,1,753,995
625,118756567,1,-0.009900877000000001,0.001753716,-0.005472092,0.01512605,-0.0306148,-9.680683999999999,0,0,45.48634,1,1,753,995
740,118775344,1,-0.006033411,-0.0052679,-0.003536775,-0.03981861,-0.0773322,-9.85163,0,0,45.4863,1,1,753,995
855,118795075,1,-0.005276229,-0.004953703,0.006461428,-0.1073599,-0.04295399,-9.878363,0,0,45.48624,1,1,753,995
971,118834087,1,0.00439535,0.004797406,-0.002161789,-0.001914209,-0.05329176,-9.713793000000001,0,0,45.48617,1,1,753,995
1006,118837271,1,0.00633843,0.003486006,-0.002937078,0.01110935,-0.06984269,-9.677008000000001,0,0,45.48617,1,1,753,995
1080,118876381,1,-0.003113047,-0.001477997,0.004251841,-0.008708834,-0.04208851,-9.758452999999999,0,0,45.48626,1,1,753,995
1195,118975334,1,0.004641213,-0.001916693,0.005676063,0.004281414,-0.03725079,-9.786130999999999,0,0,45.48713,1,1,753,995
1299,119044594,1,0.002089191,0.0006760395,0.0009542474,0.02680887,-0.08001266,-9.749978,0,0,45.48751,1,1,753,995
1384,119056063,1,0.002117569,-0.0005188343999999999,0.003131709,0.004801474,-0.03180621,-9.748424999999999,0,0,45.48754,1,1,753,995
1479,119074989,1,-0.007524883,0.005982299,-0.008242177999999999,-0.06735146,0.03293733,-9.767647999999999,0,0,45.48758,1,1,753,995
1572,119089608,1,-0.009553170999999999,-0.004381828,-0.005397986,-0.05589502,-0.03524507,-9.771273000000001,0,0,45.48764,1,1,753,995
1597,119092199,1,-0.005852077,-0.004727885,-0.004901647,-0.06480913000000001,-0.04326447,-9.803307999999999,0,0,45.48764,1,1,753,995
1632,119094873,1,-0.003081621,-0.003942676,-0.003056084,-0.08570115,-0.03507497,-9.846375,0,0,45.48764,1,1,753,995
1636,119097599,1,-0.004139537,-0.003348872,0.0003071842,-0.1005089,-0.02520247,-9.868682,0,0,45.48768,1,1,753,995
1639,119100258,1,-0.005970455,0.00122019,0.003259246,-0.1340074,-0.008428272000000001,-9.891105,0,0,45.48768,1,1,753,995
1643,119102144,1,-0.006487521,0.004000835,0.004526848,-0.1546482,0.006365533,-9.893425000000001,0,0,45.48768,1,1,753,995
1678,119104880,1,-0.007975019999999999,0.005369131,0.007848447,-0.159822,0.02283683,-9.878659000000001,0,0,45.48768,1,1,753,995
1681,119107344,1,-0.008428888000000001,0.004415591,0.007803746,-0.1534357,0.03523983,-9.858502,0,0,45.48768,1,1,753,995
1684,119110272,1,-0.009928319999999999,0.003999764,0.004939202,-0.1419916,0.04820072,-9.824126,0,0,45.48776,1,1,753,995
1687,119112577,1,-0.01034381,0.002571151,0.002391247,-0.1251566,0.04932363,-9.801643,0,0,45.48776,1,1,753,995
1722,119115115,1,-0.008813916999999999,0.0002552135,0.001691375,-0.09898762999999999,0.04751453,-9.771407,0,0,45.48776,1,1,753,995
1725,119117266,1,-0.004820673,-0.001585603,-4.881267e-05,-0.08159769,0.04726714,-9.757317,0,0,45.48776,1,1,753,995
