LineNo,TimeUS,Instance,RPM,RawRPM,Volt,Curr,Temp,CTot,MotTemp,Err
1819,119141322,3,0,0,15.72,0.05,27,0,0,0
2318,119256356,3,0,0,15.73,0.05,27,0,0,0
2770,119357895,3,0,0,15.72,0.05,27,0,0,0
3224,119464535,3,0,0,15.72,0.05,28,0,0,0
3722,119577316,3,0,0,15.72,0.05,28,0,0,0
4672,119793878,3,0,0,15.72,0.05,27,0,0,0
5121,119899515,3,0,0,15.72,0.05,27,0,0,0
5576,120001494,3,0,0,15.72,0.05,27,0,0,0
6028,120110045,3,0,0,15.72,0.05,28,0,0,0
6522,120225851,3,0,0,15.72,0.04,28,0,0,0
6974,120329584,3,9,257,15.71,0.07000000000000001,27,0,0,0
7469,120443058,3,295,657,15.7,0.12,28,0,0,0
7921,120547092,3,681,1100,15.69,0.16,28,0,0,0
8372,120650606,3,1101,1200,15.71,0.12,28,0,0,0
8872,120764389,3,1202,1242,15.7,0.11,28,0,0,0
9285,120864685,3,1243,1357,15.68,0.18,28,0,0,0
9786,120979519,3,1388,1785,15.58,0.68,28,0,0,0
10280,121099814,3,1880,2871,15.48,1.65,28,0,0,0
10691,121197541,3,2883,3128,15.59,1.21,28,0,0,0
11149,121314876,3,3156,3457,15.54,1.6,28,0,0,0
11562,121412356,3,3463,3957,15.35,2.19,28,0,0,0
12013,121522400,3,3998,4871,15.11,3.42,28,0,0,0
12469,121636335,3,4976,5885,14.86,4.59,28,0,0,0
12924,121744897,3,5916,6328,14.95,4.88,28,0,0,0
13377,121856629,3,6328,6328,15,4.06,28,0,0,0
13832,121962376,3,6299,5914,15.05,3.23,28,0,0,0
14282,122070578,3,5916,5942,14.97,3.24,28,0,0,0
14733,122176507,3,5934,5771,15.07,3.38,28,1,0,0
15184,122287617,3,5765,5642,14.94,2.85,28,1,0,0
15639,122397107,3,5646,5728,15.05,3.04,28,1,0,0
16134,122515174,3,5719,5628,15,3.09,28,1,0,0
16586,122626692,3,5634,5700,15.02,3.21,28,1,0,0
16998,122726502,3,5676,5357,15.04,1.95,28,1,0,0
17410,122831335,3,5350,5000,15.07,1.92,28,1,0,0
18315,123048593,3,4997,4600,15.1,1.7,28,1,0,0
18630,123272892,3,4694,4814,15.11,2.01,28,1,0,0
19040,123377253,3,4811,4757,15.23,1.74,28,1,0,0
19487,123490351,3,4780,5114,15.07,3.01,28,1,0,0
19937,123600038,3,5154,5557,15.14,3.42,28,2,0,0
20339,123700499,3,5559,5728,15.18,3.54,28,2,0,0
20785,123808504,3,5733,5842,15.05,3.7,28,2,0,0
21192,123913723,3,5844,6014,15.11,3.78,28,2,0,0
21643,124025490,3,6006,5914,15.22,2.94,28,2,0,0
