LineNo,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
1949,1.1917e+08,0,0.0048097,-0.00028254,0.00043433,0.033276,0.10586,-9.7668,0,0,44.838,1,1,8008,4004
1952,1.1917e+08,0,0.0052427,-0.00017239,0.00067912,0.034244,0.10439,-9.7644,0,0,44.838,1,1,8008,4004
1958,1.1917e+08,0,0.0054381,-0.00079546,0.0006711,0.034925,0.10065,-9.7581,0,0,44.838,1,1,8008,4004
1962,1.1917e+08,0,0.0044535,0.00011682,-0.00010121,0.036016,0.096127,-9.7549,0,0,44.838,1,1,8008,4004
1997,1.1918e+08,0,0.00258,0.0013246,-0.00070987,0.038654,0.090004,-9.7494,0,0,44.838,1,1,8008,4004
2000,1.1918e+08,0,0.0028806,0.0010991,-0.0009373,0.039851,0.084091,-9.743,0,0,44.838,1,1,8008,4004
2003,1.1918e+08,0,0.0031398,0.0012151,-0.0016078,0.039085,0.08031,-9.7406,0,0,44.838,1,1,8008,4004
2006,1.1919e+08,0,0.0031911,0.00076658,-0.0021662,0.038678,0.077363,-9.7419,0,0,44.838,1,1,8008,4004
2041,1.1919e+08,0,0.0026112,0.00080591,-0.0020295,0.041289,0.076642,-9.7476,0,0,44.838,1,1,8008,4004
2044,1.1919e+08,0,0.003057,-3.2682e-05,-0.0014293,0.044173,0.076103,-9.7523,0,0,44.838,1,1,8008,4004
2048,1.1919e+08,0,0.0021724,-0.00081957,-0.00039675,0.047789,0.07497,-9.7588,0,0,44.838,1,1,8008,4004
2052,1.192e+08,0,0.00059447,-0.00050147,-4.3055e-05,0.04936,0.074771,-9.7616,0,0,44.838,1,1,8008,4004
2087,1.192e+08,0,-0.0011111,0.0014981,0.00088663,0.049085,0.075154,-9.7659,0,0,44.838,1,1,8008,4004
2090,1.192e+08,0,-0.0011121,0.0017649,0.0014835,0.046009,0.077117,-9.7683,0,0,44.838,1,1,8008,4004
2093,1.192e+08,0,-0.00080209,0.00097907,0.0014775,0.042734,0.077521,-9.7672,0,0,44.839,1,1,8008,4004
2096,1.1921e+08,0,-0.0009144,3.7471e-05,0.0014348,0.039756,0.077395,-9.7638,0,0,44.839,1,1,8008,4004
