LineNo,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
1003,5.6703e+07,1,0.23,3.7,5.52,-0.35691,-0.027664,-0.08533,-0.019049,-1.1243,-0.30633,0.65462,0.02,0.19,0.06,93.58
1485,5.6895e+07,1,0.22,3.75,5.53,-0.37596,-0.030823,-0.54702,-0.43642,-1.1355,-0.30633,0.60438,0.02,0.18,0.05,93.58
1527,5.6905e+07,1,0.22,3.75,5.53,-0.37489,-0.031796,-0.54585,-0.43529,-1.1355,-0.30633,0.60034,0.02,0.18,0.06,93.58
1567,5.6915e+07,1,0.23,3.75,5.52,-0.37394,-0.030801,-0.54642,-0.43863,-1.1355,-0.30633,0.59619,0.02,0.18,0.06,93.58
1612,5.6925e+07,1,0.23,3.76,5.52,-0.37629,-0.030236,-0.54612,-0.4386,-1.1355,-0.30633,0.5907,0.02,0.18,0.06,93.58
1653,5.6936e+07,1,0.23,3.76,5.52,-0.37741,-0.030984,-0.54691,-0.44068,-1.1355,-0.30633,0.58582,0.02,0.18,0.06,93.58
1693,5.6946e+07,1,0.23,3.76,5.51,-0.37673,-0.031831,-0.54782,-0.44413,-1.1355,-0.30633,0.58148,0.02,0.18,0.06,93.58
1735,5.6956e+07,1,0.23,3.76,5.51,-0.37588,-0.030859,-0.5488,-0.44802,-1.1355,-0.30633,0.57698,0.02,0.18,0.06,93.58
1781,5.697e+07,1,0.23,3.76,5.5,-0.37475,-0.032024,-0.54762,-0.44662,-1.1355,-0.30633,0.57121,0.02,0.18,0.06,93.58
1821,5.698e+07,1,0.23,3.76,5.5,-0.37356,-0.03155,-0.54631,-0.44237,-1.1355,-0.31439,0.56761,0.02,0.18,0.06,93.58
1863,5.6991e+07,1,0.23,3.76,5.49,-0.37506,-0.03204,-0.54675,-0.43936,-1.1355,-0.31439,0.56213,0.02,0.18,0.06,93.58
1903,5.7001e+07,1,0.23,3.75,5.49,-0.37445,-0.032781,-0.54624,-0.43572,-1.1355,-0.31439,0.55843,0.02,0.18,0.06,93.58
1944,5.7011e+07,1,0.24,3.75,5.49,-0.37388,-0.033354,-0.54808,-0.43408,-1.1355,-0.31439,0.55458,0.02,0.18,0.06,93.58
1984,5.7021e+07,1,0.23,3.75,5.48,-0.37402,-0.033458,-0.54814,-0.43311,-1.1355,-0.31439,0.55011,0.02,0.18,0.06,93.58
2029,5.7032e+07,1,0.23,3.75,5.47,-0.37603,-0.033596,-0.54777,-0.43,-1.1355,-0.31439,0.54463,0.02,0.18,0.06,93.58
2070,5.7042e+07,1,0.23,3.75,5.46,-0.37583,-0.033776,-0.54878,-0.4293,-1.1355,-0.31439,0.54006,0.02,0.18,0.06,93.58
2113,5.7052e+07,1,0.22,3.75,5.45,-0.37545,-0.033818,-0.5492,-0.42898,-1.1355,-0.31439,0.53601,0.02,0.18,0.06,93.58
2158,5.7065e+07,1,0.22,3.75,5.45,-0.37788,-0.034741,-0.54992,-0.42898,-1.1355,-0.31439,0.53072,0.02,0.19,0.06,93.58
2198,5.7074e+07,1,0.22,3.75,5.44,-0.37729,-0.034345,-0.54979,-0.42937,-1.1355,-0.31439,0.52665,0.02,0.19,0.06,93.58
2239,5.7085e+07,1,0.22,3.75,5.44,-0.37788,-0.034567,-0.55042,-0.42927,-1.1355,-0.31439,0.52199,0.02,0.19,0.06,93.58
2279,5.7096e+07,1,0.22,3.75,5.44,-0.3801,-0.03515,-0.55096,-0.4298,-1.1355,-0.31439,0.5159,0.02,0.19,0.06,93.58
2321,5.7106e+07,1,0.22,3.75,5.44,-0.37989,-0.035244,-0.55028,-0.43044,-1.1355,-0.31439,0.51174,0.02,0.19,0.06,93.58
2362,5.7116e+07,1,0.22,3.74,5.43,-0.37945,-0.036086,-0.55078,-0.4324,-1.1355,-0.31439,0.50743,0.02,0.19,0.06,93.58
2402,5.7126e+07,1,0.22,3.74,5.43,-0.37862,-0.036163,-0.54962,-0.43355,-1.1355,-0.31439,0.50311,0.02,0.19,0.06,93.58
2447,5.7136e+07,1,0.22,3.74,5.43,-0.37847,-0.036172,-0.54997,-0.43642,-1.1355,-0.31439,0.49869,0.02,0.19,0.06,93.58
2487,5.7147e+07,1,0.22,3.74,5.43,-0.38016,-0.035193,-0.54875,-0.43681,-1.1355,-0.31439,0.4931,0.02,0.19,0.06,93.58
2529,5.7157e+07,1,0.22,3.74,5.42,-0.38031,-0.036435,-0.54828,-0.43895,-1.1355,-0.31439,0.48874,0.02,0.19,0.06,93.58
2570,5.7167e+07,1,0.22,3.74,5.42,-0.38044,-0.037288,-0.54769,-0.44139,-1.1355,-0.31439,0.48423,0.02,0.19,0.06,93.58
2606,5.7177e+07,1,0.22,3.73,5.42,-0.38005,-0.037202,-0.5469,-0.44393,-1.1355,-0.31439,0.47966,0.02,0.19,0.06,93.58
2648,5.7188e+07,1,0.22,3.73,5.41,-0.37856,-0.037277,-0.54435,-0.44229,-1.1466,-0.31439,0.47503,0.02,0.19,0.06,93.58
2688,5.7198e+07,1,0.22,3.73,5.41,-0.37725,-0.037612,-0.54327,-0.44239,-1.1466,-0.31439,0.47085,0.02,0.19,0.06,93.58
2730,5.7209e+07,1,0.22,3.74,5.41,-0.3769,-0.037297,-0.54223,-0.44123,-1.1466,-0.31439,0.46609,0.02,0.19,0.06,93.58
2770,5.722e+07,1,0.22,3.74,5.41,-0.3804,-0.036872,-0.54305,-0.4413,-1.1466,-0.31439,0.46014,0.02,0.19,0.06,93.58
2811,5.7231e+07,1,0.22,3.74,5.4,-0.38039,-0.036557,-0.54378,-0.44273,-1.1466,-0.31439,0.45582,0.02,0.19,0.06,93.58
2858,5.724e+07,1,0.22,3.74,5.4,-0.37986,-0.036611,-0.545,-0.4449,-1.1466,-0.31439,0.45143,0.02,0.19,0.06,93.58
2899,5.7251e+07,1,0.21,3.74,5.4,-0.37983,-0.036883,-0.54754,-0.44922,-1.1466,-0.31439,0.44649,0.02,0.19,0.06,93.58
2940,5.7261e+07,1,0.21,3.74,5.4,-0.37868,-0.037717,-0.54842,-0.45262,-1.1466,-0.31439,0.44199,0.02,0.19,0.06,93.58
2984,5.7275e+07,1,0.21,3.74,5.4,-0.37781,-0.037604,-0.5466,-0.45187,-1.1466,-0.31439,0.43629,0.02,0.19,0.06,93.58
3025,5.7285e+07,1,0.22,3.74,5.4,-0.37704,-0.037475,-0.54576,-0.45201,-1.1466,-0.31439,0.4317,0.02,0.19,0.06,93.58
3065,5.7295e+07,1,0.22,3.74,5.4,-0.37755,-0.038258,-0.54414,-0.44917,-1.1466,-0.31439,0.42624,0.02,0.19,0.06,93.58
3107,5.7306e+07,1,0.22,3.73,5.4,-0.37804,-0.038688,-0.54306,-0.4485,-1.1466,-0.31439,0.42212,0.02,0.19,0.06,93.58
3148,5.7316e+07,1,0.22,3.73,5.4,-0.37712,-0.039262,-0.54277,-0.45001,-1.1466,-0.31439,0.41795,0.02,0.19,0.06,93.58
3188,5.7326e+07,1,0.22,3.73,5.4,-0.3774,-0.038399,-0.54179,-0.44919,-1.1466,-0.31439,0.41314,0.02,0.19,0.06,93.58
3233,5.7336e+07,1,0.22,3.73,5.4,-0.379,-0.039086,-0.54227,-0.44877,-1.1466,-0.31439,0.40775,0.02,0.19,0.06,93.58
3274,5.7346e+07,1,0.22,3.73,5.4,-0.37846,-0.038791,-0.54277,-0.44932,-1.1466,-0.31439,0.40344,0.02,0.19,0.06,93.58
3316,5.7357e+07,1,0.22,3.73,5.4,-0.37779,-0.039516,-0.54265,-0.44871,-1.1466,-0.31439,0.39851,0.02,0.19,0.06,93.58
3357,5.7367e+07,1,0.22,3.73,5.41,-0.37706,-0.040292,-0.54293,-0.4496,-1.1466,-0.31439,0.39407,0.02,0.19,0.06,93.58
3398,5.7378e+07,1,0.22,3.73,5.41,-0.37707,-0.042336,-0.5426,-0.44919,-1.1466,-0.31439,0.39042,0.02,0.2,0.06,93.58
3438,5.7388e+07,1,0.22,3.73,5.4,-0.37716,-0.042735,-0.54047,-0.44255,-1.1577,-0.31439,0.38709,0.02,0.2,0.06,93.58
3479,5.7399e+07,1,0.22,3.73,5.4,-0.37638,-0.042947,-0.53933,-0.43554,-1.1577,-0.31439,0.38376,0.02,0.2,0.06,93.58
3520,5.7409e+07,1,0.21,3.73,5.4,-0.37793,-0.043184,-0.53823,-0.42509,-1.1577,-0.31439,0.3779,0.02,0.2,0.06,93.58
3562,5.7419e+07,1,0.22,3.73,5.4,-0.3765,-0.041803,-0.53613,-0.41786,-1.1577,-0.31439,0.37448,0.02,0.2,0.06,93.58
3602,5.7429e+07,1,0.22,3.73,5.4,-0.37574,-0.042276,-0.53418,-0.41065,-1.1577,-0.31439,0.371,0.02,0.2,0.06,93.58
3647,5.7439e+07,1,0.22,3.73,5.4,-0.37605,-0.042416,-0.53565,-0.40817,-1.1577,-0.31439,0.36739,0.02,0.2,0.06,93.58
3688,5.745e+07,1,0.21,3.73,5.41,-0.37796,-0.042863,-0.53563,-0.40247,-1.1577,-0.31439,0.3615,0.02,0.2,0.06,93.58
3729,5.7461e+07,1,0.21,3.73,5.41,-0.37887,-0.043062,-0.53547,-0.3991,-1.1577,-0.31439,0.35729,0.02,0.2,0.06,93.58
3770,5.7471e+07,1,0.21,3.73,5.41,-0.37975,-0.044957,-0.53375,-0.39449,-1.1577,-0.31439,0.35353,0.02,0.2,0.06,93.58
3810,5.7482e+07,1,0.2,3.74,5.41,-0.3808,-0.04487,-0.53468,-0.39131,-1.1577,-0.31439,0.35046,0.02,0.2,0.06,93.58
3851,5.7492e+07,1,0.21,3.73,5.41,-0.37989,-0.044881,-0.53286,-0.38324,-1.1577,-0.31439,0.34775,0.02,0.2,0.06,93.58
3892,5.7502e+07,1,0.21,3.73,5.41,-0.38146,-0.045272,-0.5333,-0.37719,-1.1577,-0.31439,0.34241,0.02,0.2,0.06,93.58
