LineNo,TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt
568711,195873618,-2.95043e-06,-7.705694e-10,0,0.2585996,-0.7402832,-0.7402832,-0.97,NaN,0,0.3112274,4,4
569165,195976532,-2.95043e-06,-7.726157e-10,0,0.2585996,-0.7411361,-0.7411361,-0.8100000000000001,NaN,0,0.3108018,4,4
569583,196081631,-2.95043e-06,-7.635208e-10,0,0.2585996,-0.7443314,-0.7443314,-0.73,NaN,0,0.3076064,4,4
570035,196193710,-2.95043e-06,-7.582912e-10,0,0.2585996,-0.7450493,-0.7450493,-0.74,NaN,0,0.3070488,4,4
570487,196299938,-2.95043e-06,-7.805738e-10,0,0.2585996,-0.7461113,-0.7461113,-0.87,NaN,0,0.3061164,4,4
570932,196406375,-2.95043e-06,-7.944436e-10,0,0.2585996,-0.7468222,-0.7468222,-1.02,NaN,0,0.3058098,4,4
571385,196511082,-2.95043e-06,-8.021743e-10,0,0.2585996,-0.7506706,-0.7506706,-0.83,NaN,0,0.3019615,4,4
571832,196617832,-2.95043e-06,-8.00128e-10,0,0.2585996,-0.7542913,-0.7542913,-0.74,NaN,0,0.2985773,4,4
572283,196723280,-2.95043e-06,-7.883045e-10,0,0.2585996,-0.7570753,-0.7570753,-0.8,NaN,0,0.2959306,4,4
572700,196827311,-2.95043e-06,-7.821654e-10,0,0.2585996,-0.7583997,-0.7583997,-0.66,NaN,0,0.2947589,4,4
573152,196933197,-2.95043e-06,-7.903509e-10,0,0.2585996,-0.7585856,-0.7585856,-0.71,NaN,0,0.2948019,4,4
573600,197039641,-2.95043e-06,-9.267751e-10,0,0.2585996,-0.7565881,-0.7565881,-0.97,NaN,0,0.2973029,4,4
574053,197144180,-2.95043e-06,-8.649295e-10,0,0.2585996,-0.7555538000000001,-0.7555538000000001,-0.74,NaN,0,0.2984897,4,4
574497,197248827,-2.95043e-06,-1.101625e-09,0,0.2585996,-0.7559932,-0.7559932,-0.71,NaN,0,0.2982105,4,4
574945,197354170,-2.95043e-06,-1.189619e-09,0,0.2585996,-0.7550009,-0.7550009,-0.85,NaN,0,0.2994928,3,3
575393,197457338,-2.95043e-06,-1.161652e-09,0,0.2585996,-0.7546222,-0.7546222,-0.72,NaN,0,0.2998715,4,4
575843,197563043,-2.95043e-06,-1.339231e-09,0,0.2585996,-0.75339,-0.75339,-0.91,NaN,0,0.3015232,3,3
576257,197668612,-2.95043e-06,-1.396984e-09,0,0.2585996,-0.7523821000000001,-0.7523821000000001,-0.82,NaN,0,0.3025312,4,4
576710,197774971,-2.95043e-06,-1.458147e-09,0,0.2585996,-0.7511716000000001,-0.7511716000000001,-0.92,NaN,0,0.3041079,4,4
577157,197879943,-2.95043e-06,-1.349463e-09,0,0.2585996,-0.7512521,-0.7512521,-0.78,NaN,0,0.3040274,4,4
577610,197983950,-2.95043e-06,-1.195531e-09,0,0.2585996,-0.750325,-0.750325,-0.84,NaN,0,0.3049545,4,4
578058,198088588,-2.95043e-06,-1.171884e-09,0,0.2585996,-0.7495489,-0.7495489,-0.87,NaN,0,0.3058145,4,4
578503,198194360,-2.95043e-06,-1.308308e-09,0,0.2585996,-0.7496891,-0.7496891,-0.84,NaN,0,0.3058117,4,4
578949,198298383,-2.95043e-06,-1.364242e-09,0,0.2585996,-0.7511726,-0.7511726,-0.82,NaN,0,0.3044808,4,4
579360,198403087,-2.95043e-06,-1.420858e-09,0,0.2585996,-0.7527276000000001,-0.7527276000000001,-0.9399999999999999,NaN,0,0.3029258,4,4
579805,198505908,-2.95043e-06,-1.321041e-09,0,0.2585996,-0.7553933,-0.7553933,-0.85,NaN,0,0.3004203,4,4
580246,198611897,-2.95043e-06,-1.198714e-09,0,0.2585996,-0.7577587,-0.7577587,-1.2,NaN,0,0.2983219,4,4
580691,198714304,-2.95043e-06,-1.079115e-09,0,0.2585996,-0.7638215,-0.7638215,-0.91,NaN,0,0.2922591,4,4
581102,198817186,-2.95043e-06,-9.686119e-10,0,0.2585996,-0.7682619000000001,-0.7682619000000001,-1.18,NaN,0,0.2880475,3,3
581550,198921253,-2.95043e-06,-9.183623e-10,0,0.2585996,-0.7755123,-0.7755123,-1,NaN,0,0.2807972,3,3
581991,199024519,-2.95043e-06,-9.229097e-10,0,0.2585996,-0.7816021,-0.7816021,-1.07,NaN,0,0.2748676,3,3
582437,199128315,-2.95043e-06,-8.81073e-10,0,0.2585996,-0.7884201,-0.7884201,-1,NaN,0,0.2682021,3,3
582848,199233642,-2.95043e-06,-9.351878999999999e-10,0,0.2585996,-0.7976968,-0.7976968,-1.33,NaN,0,0.2592154,3,3
583292,199336308,-2.95043e-06,-9.16998e-10,0,0.2585996,-0.808681,-0.808681,-0.97,NaN,0,0.2482312,3,3
583736,199444041,-2.95043e-06,-9.113137e-10,0,0.2585996,-0.819875,-0.819875,-1.03,NaN,0,0.2373042,2,2
584180,199547875,-2.95043e-06,-9.301857e-10,0,0.2585996,-0.8280785000000001,-0.8280785000000001,-1,NaN,0,0.229261,2,2
584589,199652120,-2.95043e-06,-9.27912e-10,0,0.2585996,-0.8374341,-0.8374341,-1.37,NaN,0,0.2200579,2,2
585034,199756031,-2.95043e-06,-1.09776e-09,0,0.2585996,-0.8464064,-0.8464064,-1.17,NaN,0,0.2112153,3,3
585477,199860046,-2.95043e-06,-1.030753e-08,0,0.2585996,-0.8524974,-0.8524974,-1.02,NaN,0,0.2055592,17,17
585925,199963318,-2.95043e-06,-5.039874e-08,0,0.2585996,-0.8371176,-0.8371176,-0.87,NaN,0,0.2213586,36,36
586367,200069643,-0.03257546,-0.001248971,0,0.2585996,-0.7949208,-0.7949208,-0.6899999999999999,NaN,0,0.2639751,78,78
586813,200172849,-0.05772138,-0.001728084,0,0.2585996,-0.698757,-0.698757,-0.73,NaN,0,0.3606042,120,120
587238,200278080,-0.03136361,-0.0005153306,0,0.2585996,-0.5748203,-0.5748203,-0.65,NaN,0,0.48522,125,125
587667,200380383,-0.01686949,-0.0001486726,0,0.2585996,-0.4616409,-0.4616409,-0.48,NaN,0,0.5996963,106,106
588106,200486243,-0.0007964075,-3.533845e-06,0,0.2585996,-0.3722896,-0.3722896,-0.57,NaN,0,0.6902073,76,76
588551,200589001,-0.0004287362,-9.802752e-07,0,0.2585996,-0.3083203,-0.3083203,-0.44,NaN,0,0.7555651,59,59
588960,200692322,-0.0002310276,-1.065739e-06,0,0.2585996,-0.265067,-0.265067,-0.34,NaN,0,0.8005961,48,48
589402,200800091,-0.0001246035,-1.848181e-06,0,0.2585996,-0.2263854,-0.2263854,-0.23,NaN,0,0.8414674,43,43
589850,200904111,-6.729364e-05,-1.591732e-06,0,0.2585996,-0.1921265,-0.1921265,-0.14,NaN,0,0.8783432,38,38
590292,201010122,-3.656745e-05,-1.361026e-06,0,0.2585996,-0.1659788,-0.1659788,0.04,NaN,0,0.9072985,27,27
590738,201114374,-1.999736e-05,-8.528277e-07,0,0.2585996,-0.1544753,-0.1544753,0.1,NaN,0,0.9216324,12,12
591179,201218845,-1.117587e-05,-4.681469e-07,0,0.2585996,-0.1563215,-0.1563215,0.29,NaN,0,0.922571,-3,-3
591625,201324251,-6.556511e-06,-2.461875e-07,0,0.2585996,-0.1726791,-0.1726791,0.11,NaN,0,0.9084487999999999,-17,-17
