LineNo,TimeUS,Instance,RPM,RawRPM,Volt,Curr,Temp,CTot,MotTemp,Err
1667,49474186,1,0,0,16.59,0.04,23,0,0,0
2126,49586175,1,0,0,16.59,0.04,23,0,0,0
2539,49691009,1,0,0,16.59,0.04,23,0,0,0
2996,49803200,1,0,0,16.59,0.04,23,0,0,0
3412,49907702,1,0,0,16.59,0.04,23,0,0,0
3830,50011205,1,0,0,16.59,0.04,23,0,0,0
4244,50115323,1,0,0,16.59,0.04,23,0,0,0
4695,50226033,1,0,0,16.59,0.04,23,0,0,0
5146,50338173,1,0,0,16.59,0.04,23,0,0,0
5557,50439468,1,0,0,16.59,0.04,23,0,0,0
6414,50660412,1,0,0,16.59,0.04,23,0,0,0
6790,50757054,1,0,0,16.6,0.04,23,0,0,0
7248,50870747,1,0,0,16.59,0.04,23,0,0,0
7662,50971963,1,0,0,16.59,0.04,23,0,0,0
8077,51077214,1,0,0,16.59,0.04,23,0,0,0
8491,51182770,1,0,0,16.58,0.04,23,0,0,0
8942,51295306,1,0,0,16.59,0.04,23,0,0,0
9354,51399048,1,0,0,16.6,0.04,23,0,0,0
9747,51509383,1,0,0,16.59,0.04,23,0,0,0
10162,51613408,1,0,0,16.59,0.04,23,0,0,0
10573,51714035,1,0,0,16.59,0.04,23,0,0,0
10990,51820404,1,0,0,16.59,0.04,23,0,0,0
11441,51932079,1,0,0,16.6,0.04,23,0,0,0
11892,52040857,1,0,0,16.59,0.04,23,0,0,0
12277,52143210,1,0,0,16.59,0.04,23,0,0,0
12726,52256025,1,0,0,16.6,0.04,23,0,0,0
13135,52358464,1,0,0,16.59,0.04,23,0,0,0
13557,52467280,1,0,0,16.59,0.04,23,0,0,0
14005,52583469,1,0,0,16.59,0.04,23,0,0,0
14420,52684711,1,0,0,16.59,0.05,23,0,0,0
14833,52790767,1,0,0,16.59,0.04,23,0,0,0
15251,52900972,1,0,0,16.6,0.03,23,0,0,0
15704,53013841,1,0,0,16.59,0.04,23,0,0,0
16111,53116820,1,0,0,16.59,0.04,23,0,0,0
16527,53221027,1,0,0,16.59,0.04,23,0,0,0
16945,53329269,1,0,0,16.59,0.04,23,0,0,0
17329,53430274,1,0,0,16.6,0.04,23,0,0,0
17808,53548001,1,0,0,16.59,0.04,23,0,0,0
18223,53654899,1,0,0,16.6,0.03,23,0,0,0
18630,53757165,1,0,0,16.59,0.04,23,0,0,0
19043,53862199,1,0,0,16.6,0.03,23,0,0,0
19503,53976913,1,0,0,16.6,0.03,23,0,0,0
19919,54083605,1,0,0,16.59,0.04,23,0,0,0
20338,54189202,1,0,0,16.58,0.03,23,0,0,0
20750,54293083,1,0,0,16.59,0.04,23,0,0,0
21161,54399022,1,0,0,16.6,0.04,23,0,0,0
21577,54508999,1,0,0,16.59,0.04,23,0,0,0
21995,54619173,1,0,0,16.59,0.04,23,0,0,0
22405,54723201,1,0,0,16.59,0.04,23,0,0,0
22822,54826476,1,0,0,16.59,0.04,23,0,0,0
23274,54941682,1,0,0,16.6,0.04,23,0,0,0
23688,55044208,1,0,0,16.59,0.04,23,0,0,0
24138,55155285,1,0,0,16.59,0.04,23,0,0,0
24556,55260196,1,0,0,16.6,0.04,23,0,0,0
24942,55362706,1,0,0,16.59,0.04,23,0,0,0
25392,55478181,1,0,0,16.59,0.04,23,0,0,0
25802,55582714,1,0,0,16.59,0.04,23,0,0,0
26217,55690383,1,0,0,16.59,0.04,23,0,0,0
26631,55796003,1,0,0,16.59,0.04,23,0,0,0
27043,55899297,1,0,0,16.6,0.04,23,0,0,0
27498,56010455,1,0,0,16.59,0.04,23,0,0,0
27909,56112490,1,0,0,16.59,0.04,23,0,0,0
28363,56226396,1,0,0,16.59,0.04,23,0,0,0
28774,56331397,1,0,0,16.59,0.03,23,0,0,0
29186,56436475,1,0,0,16.6,0.04,23,0,0,0
29599,56543238,1,0,0,16.59,0.04,23,0,0,0
30047,56655316,1,0,0,16.59,0.03,23,0,0,0
30420,56752429,1,0,0,16.59,0.04,23,0,0,0
30902,56869939,1,0,0,16.59,0.04,23,0,0,0
31312,56974337,1,0,0,16.59,0.04,23,0,0,0
31724,57076161,1,0,0,16.59,0.04,23,0,0,0
32182,57193754,1,0,0,16.59,0.04,23,0,0,0
32558,57290049,1,0,0,16.6,0.04,23,0,0,0
33005,57401842,1,0,0,16.59,0.04,23,0,0,0
33418,57506878,1,0,0,16.6,0.04,23,0,0,0
33833,57611428,1,0,0,16.6,0.04,23,0,0,0
34249,57719692,1,0,0,16.6,0.04,23,0,0,0
