LineNo,TimeUS,Instance,RPM,RawRPM,Volt,Curr,Temp,CTot,MotTemp,Err
1916,49535382,4,0,0,16.37,0.05,26,0,0,0
2330,49639433,4,0,0,16.36,0.05,26,0,0,0
2780,49751998,4,0,0,16.37,0.05,26,0,0,0
3200,49856832,4,0,0,16.37,0.05,26,0,0,0
3619,49960205,4,0,0,16.37,0.05,26,0,0,0
4033,50064838,4,0,0,16.36,0.05,26,0,0,0
4485,50175965,4,0,0,16.37,0.05,26,0,0,0
4896,50276342,4,0,0,16.37,0.05,26,0,0,0
5349,50388740,4,0,0,16.37,0.04,26,0,0,0
5758,50493162,4,0,0,16.36,0.04,26,0,0,0
6168,50596454,4,0,0,16.36,0.05,26,0,0,0
6585,50703387,4,0,0,16.37,0.05,26,0,0,0
7039,50818196,4,0,0,16.36,0.05,26,0,0,0
7458,50921764,4,0,0,16.38,0.05,26,0,0,0
7872,51023701,4,0,0,16.36,0.05,26,0,0,0
8287,51127205,4,0,0,16.37,0.05,26,0,0,0
8701,51234226,4,0,0,16.37,0.05,26,0,0,0
9149,51345741,4,0,0,16.37,0.05,26,0,0,0
9506,51450178,4,0,0,16.36,0.05,26,0,0,0
9956,51563228,4,0,0,16.37,0.05,26,0,0,0
10368,51664060,4,0,0,16.37,0.05,26,0,0,0
10779,51768260,4,0,0,16.37,0.05,26,0,0,0
11231,51881304,4,0,0,16.36,0.05,26,0,0,0
11682,51990087,4,0,0,16.37,0.05,26,0,0,0
12066,52092465,4,0,0,16.37,0.05,26,0,0,0
12476,52194433,4,0,0,16.36,0.05,26,0,0,0
12927,52307038,4,0,0,16.36,0.05,26,0,0,0
13345,52414280,4,0,0,16.37,0.05,26,0,0,0
13759,52521171,4,0,0,16.37,0.05,26,0,0,0
14212,52634421,4,0,0,16.37,0.04,26,0,0,0
14622,52736814,4,0,0,16.37,0.04,26,0,0,0
15050,52847549,4,0,0,16.37,0.04,26,0,0,0
15465,52950833,4,0,0,16.37,0.04,26,0,0,0
15914,53066028,4,0,0,16.37,0.04,26,0,0,0
16322,53167237,4,0,0,16.37,0.05,26,0,0,0
16738,53271202,4,0,0,16.37,0.05,26,0,0,0
17156,53379771,4,0,0,16.37,0.05,26,0,0,0
17606,53494490,4,0,0,16.36,0.05,26,0,0,0
18022,53603540,4,0,0,16.37,0.05,26,0,0,0
18429,53706472,4,0,0,16.36,0.05,26,0,0,0
18839,53809166,4,0,0,16.37,0.05,26,0,0,0
19252,53915508,4,0,0,16.37,0.05,26,0,0,0
19705,54027698,4,0,0,16.37,0.05,26,0,0,0
20125,54137188,4,0,0,16.37,0.05,26,0,0,0
20542,54241986,4,0,0,16.37,0.05,26,0,0,0
20950,54346717,4,0,0,16.37,0.05,26,0,0,0
21369,54458008,4,0,0,16.36,0.05,26,0,0,0
