LineNo,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
541,55896195,1,0.97,-1.45,22.22,0.02105453,-0.2380463,0.09306285,-0.05649763,20.90568,-4.893199,1.455782,-0.08,0.25,-0.23,92.87
772,55941056,1,0.96,-1.45,22.23,0.02445264,-0.2369303,0.09265139,-0.08108231,20.90568,-4.893199,1.450939,-0.08,0.24,-0.23,92.87
997,55996878,1,0.98,-1.46,22.25,0.02587071,-0.2344973,0.08910679000000001,-0.08795981999999999,20.90568,-4.893199,1.445757,-0.08,0.24,-0.23,92.87
1104,56037083,1,0.98,-1.46,22.26,0.0253224,-0.2349128,0.08813003,-0.07789724000000001,20.90568,-4.893199,1.442647,-0.08,0.24,-0.22,92.87
1564,56217367,1,0.98,-1.45,22.29,0.027637,-0.2416789,-0.3952714,-0.48952,20.90568,-4.90126,1.393845,-0.08,0.23,-0.21,92.87
1582,56227431,1,0.98,-1.45,22.29,0.02727617,-0.2422628,-0.3958911,-0.4939083,20.90568,-4.90126,1.389867,-0.08,0.23,-0.21,92.87
1623,56237445,1,0.98,-1.45,22.29,0.02692886,-0.2424905,-0.3978752,-0.5012915,20.90568,-4.90126,1.383639,-0.08,0.23,-0.21,92.87
1666,56247368,1,0.98,-1.45,22.29,0.02753847,-0.2426452,-0.3968279,-0.5057762,20.90568,-4.90126,1.377517,-0.08,0.23,-0.21,92.87
1706,56260385,1,0.97,-1.45,22.29,0.02696403,-0.2417556,-0.3974071,-0.5160181,20.90568,-4.90126,1.370349,-0.08,0.23,-0.21,92.87
1747,56270916,1,0.97,-1.45,22.29,0.02755366,-0.2419675,-0.3980657,-0.5253428999999999,20.90568,-4.90126,1.363225,-0.08,0.23,-0.21,92.87
1788,56281016,1,0.97,-1.46,22.29,0.02774264,-0.2406729,-0.3987895,-0.5355524,20.90568,-4.90126,1.356251,-0.08,0.23,-0.21,92.87
1832,56291106,1,0.97,-1.46,22.3,0.02783977,-0.2403348,-0.4006128,-0.5491571,20.90568,-4.90126,1.351871,-0.08,0.23,-0.21,92.87
1874,56301649,1,0.97,-1.46,22.29,0.02851931,-0.2387539,-0.4009228,-0.5586409,20.90568,-4.90126,1.344992,-0.08,0.23,-0.21,92.87
1915,56311596,1,0.97,-1.46,22.29,0.02877916,-0.2363833,-0.4015866,-0.5686361,20.90568,-4.90126,1.338289,-0.08,0.23,-0.21,92.87
1958,56322132,1,0.97,-1.46,22.3,0.02946383,-0.2360405,-0.4008071,-0.5752242,20.89455,-4.90126,1.331721,-0.08,0.23,-0.21,92.87
1998,56335083,1,0.98,-1.46,22.3,0.03051263,-0.2348117,-0.401355,-0.5878654,20.89455,-4.90126,1.32246,-0.08,0.23,-0.21,92.87
2038,56345145,1,0.98,-1.46,22.3,0.03029853,-0.2329876,-0.403015,-0.6033029,20.89455,-4.90126,1.314594,-0.08,0.23,-0.21,92.87
2080,56355087,1,0.98,-1.47,22.31,0.03131994,-0.231428,-0.4043857,-0.6188539,20.89455,-4.90126,1.306946,-0.08,0.23,-0.22,92.87
2123,56365403,1,0.98,-1.47,22.31,0.03198147,-0.2332496,-0.4044621,-0.6377299,20.89455,-4.90126,1.30248,-0.08,0.23,-0.22,92.87
2164,56375691,1,0.98,-1.47,22.32,0.03305991,-0.2310375,-0.4044233,-0.650027,20.89455,-4.90126,1.295011,-0.08,0.23,-0.21,92.87
2209,56385621,1,0.99,-1.47,22.32,0.03374491,-0.2300732,-0.4047179,-0.6610019,20.89455,-4.90126,1.28773,-0.08,0.23,-0.22,92.87
2249,56395617,1,0.99,-1.47,22.32,0.03375418,-0.2297097,-0.4048724,-0.6684126,20.89455,-4.90126,1.280553,-0.08,0.23,-0.22,92.87
2290,56405607,1,0.99,-1.47,22.33,0.03403386,-0.2307331,-0.4054821,-0.6746315000000001,20.89455,-4.90126,1.27653,-0.08,0.23,-0.22,92.87
2332,56415603,1,0.99,-1.47,22.33,0.03360879,-0.2305465,-0.4061199,-0.6776241,20.89455,-4.90126,1.269555,-0.08,0.23,-0.22,92.87
2376,56429292,1,1,-1.48,22.33,0.03395034,-0.2307886,-0.4048615,-0.6765217,20.89455,-4.90126,1.261101,-0.08,0.23,-0.22,92.87
2413,56439561,1,1,-1.48,22.33,0.03480238,-0.2308104,-0.405943,-0.6755786,20.89455,-4.90126,1.252586,-0.08,0.23,-0.21,92.87
2454,56450157,1,1.01,-1.48,22.33,0.03591783,-0.2305609,-0.4065573,-0.6779299,20.89455,-4.90126,1.248519,-0.08,0.23,-0.21,92.87
2495,56460545,1,1.01,-1.48,22.33,0.03711517,-0.2294198,-0.4069139,-0.6818823000000001,20.89455,-4.90126,1.239779,-0.08,0.23,-0.21,92.87
2535,56470547,1,1.01,-1.48,22.34,0.03767336,-0.2280208,-0.4077657,-0.6872051,20.89455,-4.90126,1.231678,-0.08,0.23,-0.21,92.87
