LineNo,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
182,64898149,0,-0.003296976,0.002398428,-0.001116418,-0.2166252,0.3417427,-9.757623000000001,0,0,43.7869,1,1,8009,4004
217,64900393,0,-0.003994625,0.002423076,-0.001006401,-0.2186465,0.341847,-9.750579,0,0,43.78696,1,1,8009,4004
287,64929248,0,0.001173316,-0.001398963,-0.0005343226,-0.2191289,0.350552,-9.747916,0,0,43.78787,1,1,8009,4004
402,64958025,0,0.0008442706,0.0008320353,0.0002886845,-0.2107821,0.3366057,-9.76376,0,0,43.78912,1,1,8009,4004
518,64986878,0,0.001428166,0.0007512489,0.0006415303,-0.2214512,0.339809,-9.762308000000001,0,0,43.79067,1,1,8009,4004
521,64988452,0,0.001558411,0.001410564,-7.643654e-06,-0.2202066,0.3359854,-9.761077,0,0,43.79075,1,1,8009,4004
631,65008389,0,0.001996279,0.002786478,0.001502411,-0.2057008,0.3350693,-9.739907000000001,0,0,43.791,1,1,8009,4004
666,65011315,0,0.0008154237,0.002109504,0.0006092796,-0.2029634,0.3333166,-9.741599000000001,0,0,43.79095,1,1,8009,4004
740,65029218,0,-0.0009824343,0.000315077,-0.001936624,-0.2104761,0.317974,-9.751766999999999,0,0,43.79089,1,1,8009,4004
856,65049163,0,-0.002485471,-0.0002917625,-0.001846348,-0.2189382,0.3295557,-9.766393000000001,0,0,43.79097,1,1,8009,4004
971,65092746,0,-0.001604228,0.0001974768,-0.0002011609,-0.2039556,0.3268152,-9.757439,0,0,43.79147,1,1,8009,4004
1006,65095369,0,-0.0004344731,-0.0002212999,-0.0009970592999999999,-0.2062212,0.3271999,-9.755876000000001,0,0,43.79152,1,1,8009,4004
1080,65123911,0,0.002284657,0.001421388,0.0001466138,-0.2212934,0.3363836,-9.746665,0,0,43.79211,1,1,8009,4004
1196,65224772,0,-0.003277458,0.0002413407,-0.001420473,-0.2229474,0.3340147,-9.748507999999999,0,0,43.79192,1,1,8009,4004
1306,65284323,0,0.001173904,0.0002450702,0.0002729656,-0.2188184,0.3528228,-9.768584000000001,0,0,43.792,1,1,8009,4004
1386,65302269,0,0.0008163852000000001,0.00051507,0.00131375,-0.2116949,0.3421262,-9.761870999999999,0,0,43.79184,1,1,8009,4004
1477,65328261,0,0.0007435361,0.0009638609,0.000288261,-0.2261672,0.3275085,-9.735224000000001,0,0,43.7925,1,1,8009,4004
1558,65333007,0,0.001073325,0.00141427,0.001118518,-0.2246426,0.3360858,-9.737780000000001,0,0,43.79262,1,1,8009,4004
1562,65342444,0,0.002800058,0.002344233,-0.0007324636,-0.2076186,0.3359998,-9.747788,0,0,43.79287,1,1,8009,4004
1565,65345446,0,0.002433279,0.001861988,-0.0003090652,-0.2023618,0.3345052,-9.75352,0,0,43.79299,1,1,8009,4004
1602,65348644,0,0.002059694,0.0009855142999999999,0.0008500461,-0.1981636,0.3338893,-9.761445,0,0,43.79315,1,1,8009,4004
1605,65350657,0,0.001813671,0.001326322,0.001978279,-0.1969551,0.3342625,-9.766368,0,0,43.79325,1,1,8009,4004
1608,65353142,0,0.001313878,0.00185509,0.002691395,-0.1960519,0.3341988,-9.771440999999999,0,0,43.79337,1,1,8009,4004
1611,65355268,0,0.0002984934,0.002121028,0.00111972,-0.1955649,0.3342314,-9.770092999999999,0,0,43.79343,1,1,8009,4004
1646,65358909,0,-0.0004857078,0.001940087,-0.0005062249,-0.1942106,0.3341286,-9.762898,0,0,43.79352,1,1,8009,4004
1650,65360885,0,-0.0003582409,0.001614984,-0.0006416736,-0.1936149,0.3344027,-9.756933999999999,0,0,43.79361,1,1,8009,4004
1653,65363398,0,0.0004668786,0.001272022,-0.0007784038000000001,-0.1936169,0.3346619,-9.753935999999999,0,0,43.7937,1,1,8009,4004
1656,65365389,0,0.0005473545,0.001530543,-0.0009552488,-0.1942791,0.3338045,-9.753201000000001,0,0,43.79377,1,1,8009,4004
1691,65368005,0,-0.000161155,9.548154e-05,-0.001347065,-0.1967083,0.3309477,-9.754429,0,0,43.79383,1,1,8009,4004
1695,65371434,0,-0.001110717,-0.0001642579,-0.00201353,-0.1987232,0.3308959,-9.755037,0,0,43.79387,1,1,8009,4004
1698,65374266,0,-0.000374164,-0.0001778746,-0.001199017,-0.201823,0.3337153,-9.755488,0,0,43.79393,1,1,8009,4004
1701,65375671,0,-0.0002477821,0.0002204228,-0.0003247168,-0.204031,0.333576,-9.755000000000001,0,0,43.79401,1,1,8009,4004
1736,65378495,0,-0.001225575,0.0004082221,0.0002476119,-0.2044769,0.3327424,-9.754586,0,0,43.79408,1,1,8009,4004
1739,65381159,0,-0.003106217,0.001156343,5.990015e-05,-0.2058723,0.3323706,-9.75766,0,0,43.79428,1,1,8009,4004
1742,65384243,0,-0.00381546,0.001343663,-0.0003710253,-0.2063556,0.3344278,-9.761616,0,0,43.79443,1,1,8009,4004
1745,65386240,0,-0.004141736,0.0003612117,-0.0007646507,-0.2083514,0.3371634,-9.770527,0,0,43.79457,1,1,8009,4004
1780,65388669,0,-0.003401726,-0.0004851891,6.446651e-06,-0.211882,0.3375466,-9.777531,0,0,43.79465,1,1,8009,4004
