LineNo,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw,AEKF
185,6.4898e+07,0.01,-0.52,0,-0.55,0.12,355.54,0,0,3
634,6.5009e+07,0.01,-0.51,0,-0.55,5.06,355.54,0,0,3
974,6.5093e+07,0.01,-0.51,0,-0.55,9.27,355.53,0,0,3
1199,6.5225e+07,0.01,-0.51,0,-0.55,15.02,355.54,0,0,3
1568,6.5346e+07,0.01,-0.51,0,-0.55,22.16,355.54,0.01,0,3
1614,6.5356e+07,0.01,-0.51,0,-0.55,22.43,355.54,0.01,0,3
1659,6.5366e+07,0.01,-0.51,0,-0.55,22.42,355.54,0.01,0,3
1704,6.5376e+07,0.01,-0.51,0,-0.55,22.41,355.54,0.01,0,3
1748,6.5386e+07,0.01,-0.51,0,-0.55,22.4,355.53,0.01,0,3
1797,6.5397e+07,0.01,-0.51,0,-0.55,22.4,355.53,0.01,0,3
1841,6.5408e+07,0.01,-0.52,0,-0.55,22.39,355.53,0.01,0,3
1886,6.5418e+07,0.01,-0.52,0,-0.55,22.38,355.53,0.01,0,3
1932,6.5428e+07,0.01,-0.52,0,-0.55,22.37,355.53,0.01,0,3
1977,6.5439e+07,0.01,-0.52,0,-0.55,22.37,355.53,0.01,0,3
2022,6.5449e+07,0.01,-0.52,0,-0.55,22.36,355.53,0.01,0,3
2066,6.5459e+07,0.01,-0.52,0,-0.55,22.35,355.53,0.01,0,3
2111,6.547e+07,0,-0.52,0,-0.55,22.34,355.53,0.01,0,3
2157,6.5486e+07,0,-0.52,0,-0.55,22.33,355.53,0.01,0,3
2203,6.5497e+07,0,-0.52,0,-0.55,22.32,355.52,0.01,0,3
2252,6.5507e+07,0,-0.52,0,-0.55,22.31,355.52,0.01,0,3
2296,6.5518e+07,0,-0.52,0,-0.55,22.3,355.52,0.01,0,3
2341,6.5528e+07,0,-0.52,0,-0.55,22.3,355.52,0.01,0,3
2385,6.5538e+07,0,-0.52,0,-0.55,22.29,355.52,0.01,0,3
2430,6.5549e+07,0,-0.52,0,-0.55,22.28,355.52,0.01,0,3
2477,6.5559e+07,0,-0.52,0,-0.55,22.27,355.52,0.01,0,3
2523,6.5569e+07,0,-0.52,0,-0.55,22.26,355.51,0.01,0,3
2569,6.558e+07,0,-0.52,0,-0.55,22.25,355.51,0.01,0,3
2613,6.559e+07,0,-0.52,0,-0.55,22.25,355.51,0.01,0,3
2658,6.56e+07,0,-0.52,0,-0.55,22.24,355.51,0.01,0,3
2706,6.561e+07,0,-0.52,0,-0.55,22.23,355.51,0.01,0.01,3
2751,6.5621e+07,0,-0.52,0,-0.55,22.22,355.51,0.01,0.01,3
2797,6.5631e+07,0,-0.52,0,-0.55,22.22,355.51,0.01,0.01,3
2841,6.5642e+07,0,-0.52,0,-0.55,22.21,355.51,0.01,0.01,3
2887,6.5653e+07,0,-0.52,0,-0.55,22.2,355.51,0.01,0.01,3
2933,6.5665e+07,0,-0.52,0,-0.56,22.19,355.51,0.01,0.01,3
2978,6.5679e+07,0,-0.52,0,-0.56,22.19,355.51,0.01,0.01,3
3026,6.5689e+07,0,-0.52,0,-0.55,22.18,355.51,0.01,0.01,3
3070,6.5699e+07,0,-0.52,0,-0.55,22.17,355.51,0.01,0.01,3
3122,6.5712e+07,0,-0.52,0,-0.55,22.16,355.51,0.01,0.01,3
3166,6.5723e+07,0,-0.52,0,-0.55,22.15,355.5,0.01,0.01,3
3212,6.5733e+07,0,-0.52,0,-0.55,22.15,355.5,0.01,0.01,3
3257,6.5743e+07,0,-0.52,0,-0.55,22.15,355.5,0.01,0.01,3
3301,6.5753e+07,0,-0.52,0,-0.55,22.15,355.5,0.01,0.01,3
3347,6.5764e+07,0,-0.52,0,-0.56,22.15,355.5,0.01,0.01,3
3392,6.5774e+07,0,-0.52,0,-0.56,22.15,355.5,0.01,0.01,3
3437,6.5784e+07,0,-0.52,0,-0.56,22.14,355.5,0.01,0.01,3
3482,6.5794e+07,0,-0.52,0,-0.56,22.14,355.49,0.01,0.01,3
3527,6.5804e+07,0,-0.52,0,-0.55,22.14,355.49,0.01,0.01,3
3576,6.5814e+07,0,-0.52,0,-0.55,22.14,355.49,0.01,0.01,3
3620,6.5824e+07,0,-0.52,0,-0.55,22.14,355.49,0.01,0.01,3
3665,6.5835e+07,0,-0.52,0,-0.55,22.14,355.49,0.01,0.01,3
3709,6.5845e+07,0,-0.52,0,-0.55,22.14,355.49,0.01,0.01,3
3756,6.5855e+07,0,-0.52,0,-0.55,22.14,355.49,0.01,0.01,3
3802,6.5865e+07,0,-0.52,0,-0.55,22.14,355.49,0.01,0.01,3
3843,6.5878e+07,0,-0.52,0,-0.55,22.14,355.49,0.01,0.01,3
3887,6.5889e+07,0,-0.52,0,-0.56,22.14,355.49,0.01,0.01,3
3932,6.5899e+07,0,-0.52,0,-0.56,22.14,355.49,0.01,0.01,3
3978,6.5909e+07,0,-0.52,0,-0.56,22.14,355.49,0.01,0.01,3
4029,6.592e+07,0,-0.52,0,-0.56,22.14,355.49,0.01,0.01,3
4073,6.593e+07,0,-0.52,0,-0.56,22.14,355.49,0.01,0.01,3
4118,6.5941e+07,0,-0.52,0,-0.55,22.14,355.49,0.01,0.01,3
4162,6.595e+07,0,-0.52,0,-0.55,22.14,355.49,0.01,0.01,3
4207,6.596e+07,0,-0.52,0,-0.55,22.14,355.49,0.01,0.01,3
4254,6.5971e+07,0,-0.52,0,-0.55,22.14,355.49,0.01,0.01,3
4299,6.5981e+07,0,-0.52,0,-0.55,22.14,355.49,0.01,0.01,3
4344,6.5991e+07,0,-0.52,0,-0.55,22.14,355.49,0.01,0.01,3
4388,6.6001e+07,0,-0.52,0,-0.55,22.14,355.49,0.01,0.01,3
4433,6.6011e+07,0,-0.52,0,-0.56,22.14,355.49,0.01,0.01,3
4481,6.6021e+07,0,-0.52,0,-0.56,22.14,355.49,0.01,0.01,3
4526,6.6032e+07,0,-0.52,0,-0.56,22.14,355.49,0.01,0.01,3
4570,6.6042e+07,0,-0.51,0,-0.56,22.14,355.49,0.01,0.01,3
4615,6.6053e+07,0,-0.51,0,-0.56,22.14,355.49,0.01,0.01,3
4659,6.6063e+07,0,-0.51,0,-0.56,22.13,355.49,0.01,0.01,3
4705,6.6075e+07,0,-0.51,0,-0.55,22.13,355.48,0.01,0.01,3
4748,6.6086e+07,0,-0.51,0,-0.55,22.13,355.48,0.01,0.01,3
4792,6.6096e+07,0,-0.51,0,-0.55,22.13,355.48,0.01,0.01,3
4838,6.6107e+07,0,-0.51,0,-0.55,22.13,355.48,0.01,0.01,3
4883,6.6117e+07,0,-0.51,0,-0.55,22.13,355.48,0.01,0.01,3
4931,6.6128e+07,0,-0.52,0,-0.56,22.13,355.48,0.01,0.01,3
4976,6.6138e+07,0,-0.52,0,-0.56,22.13,355.48,0.01,0.01,3
5020,6.6148e+07,0,-0.52,0,-0.56,22.13,355.49,0.01,0.01,3
5064,6.6158e+07,0,-0.52,0,-0.56,22.13,355.49,0.01,0.01,3
5108,6.6169e+07,0,-0.51,0,-0.56,22.13,355.49,0.01,0.01,3
5153,6.6179e+07,0,-0.52,0,-0.56,22.13,355.49,0.01,0.01,3
5199,6.619e+07,0,-0.51,0,-0.55,22.13,355.48,0.01,0.01,3
5243,6.6199e+07,0,-0.51,0,-0.55,22.13,355.48,0.01,0.01,3
5288,6.621e+07,0,-0.51,0,-0.55,22.13,355.48,0.01,0.01,3
5332,6.622e+07,0,-0.51,0,-0.55,22.13,355.48,0.01,0.01,3
5381,6.623e+07,0,-0.51,0,-0.55,22.13,355.48,0.01,0.01,3
5426,6.624e+07,0,-0.51,0,-0.55,22.13,355.48,0.01,0.01,3
5471,6.6251e+07,0,-0.51,0,-0.55,22.13,355.48,0.01,0.01,3
5515,6.6264e+07,0,-0.51,0,-0.56,22.13,355.48,0.01,0.01,3
5559,6.6275e+07,0,-0.51,0,-0.56,22.12,355.48,0.01,0.01,3
5604,6.6286e+07,0,-0.51,0,-0.56,22.12,355.48,0.01,0.01,3
5650,6.6296e+07,0,-0.51,0,-0.56,22.12,355.48,0.01,0.01,3
5694,6.6306e+07,0,-0.51,0,-0.55,22.12,355.48,0.01,0.01,3
5740,6.6316e+07,0,-0.51,0,-0.55,22.12,355.48,0.01,0.01,3
5788,6.6326e+07,0,-0.51,0,-0.55,22.12,355.48,0.01,0.01,3
5833,6.6337e+07,0,-0.51,0,-0.55,22.12,355.48,0.01,0,3
5879,6.6347e+07,0,-0.51,0,-0.55,22.12,355.48,0.01,0,3
5924,6.6357e+07,0,-0.51,0,-0.55,22.12,355.48,0.01,0,3
5972,6.637e+07,0,-0.51,0,-0.55,22.12,355.48,0.01,0,3
6016,6.638e+07,0,-0.51,0,-0.55,22.12,355.48,0.01,0,3
6061,6.639e+07,0,-0.51,0,-0.55,22.12,355.48,0.01,0,3
6105,6.6401e+07,0,-0.51,0,-0.56,22.12,355.48,0.01,0,3
6151,6.6411e+07,0,-0.51,0,-0.55,22.12,355.47,0.01,0,3
6196,6.6421e+07,0,-0.52,0,-0.55,22.12,355.47,0.01,0,3
6244,6.6431e+07,0,-0.51,0,-0.55,22.12,355.47,0.01,0,3
6290,6.6441e+07,0,-0.51,0,-0.55,22.12,355.47,0.01,0,3
6334,6.6451e+07,0,-0.51,0,-0.55,22.12,355.47,0.01,0,3
6381,6.6462e+07,0,-0.51,0,-0.55,22.12,355.47,0.01,0,3
