LineNo,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
192,33254959,0,1.93,-1.62,10.29,-0.00226775,0.00202163,-0.04575879,-0.09201693,0,0,0.7066243,-0.05,-0.02,-0.8100000000000001,0
530,33333696,0,1.93,-1.63,10.38,-0.001506762,0.002739945,-0.04906702,-0.08339191999999999,0,0,0.7005954,-0.05,-0.02,-0.8100000000000001,0
988,33434939,0,1.94,-1.63,10.47,-0.003137969,0.002754317,-0.05304999,-0.07492609,0,0,0.6922346,-0.05,-0.02,-0.8,0
1306,33612414,0,1.94,-1.63,10.58,-0.003450147,0.002938319,-0.503452,-0.4909974,0,0,0.6479868,-0.05,-0.02,-0.75,0
1491,33647382,0,1.94,-1.63,10.61,-0.004007556,0.002644233,-0.5046809,-0.5058693,0,0,0.6290675999999999,-0.05,-0.02,-0.76,0
1580,33659850,0,1.94,-1.63,10.63,-0.004451458,0.002597712,-0.5049933,-0.5123982,0,0,0.6219274,-0.05,-0.02,-0.75,0
1626,33669891,0,1.94,-1.63,10.64,-0.004575871,0.002447816,-0.5049294,-0.5169016,0,0,0.6163406,-0.05,-0.02,-0.76,0
1670,33683191,0,1.94,-1.63,10.65,-0.004357881,0.00253846,-0.5054566,-0.5240639,0,0,0.6089177,-0.05,-0.02,-0.76,0
1710,33693461,0,1.94,-1.63,10.66,-0.004177038,0.002435786,-0.5059348,-0.5305085,0,0,0.60306,-0.05,-0.02,-0.76,0
1751,33703939,0,1.94,-1.63,10.67,-0.004026025,0.002546068,-0.5064281,-0.5378554,0,0,0.5967441999999999,-0.05,-0.02,-0.77,0
1791,33713946,0,1.94,-1.63,10.68,-0.00386539,0.002477468,-0.5072156,-0.5442232,0,0,0.5909759,-0.05,-0.02,-0.77,0
1838,33723836,0,1.94,-1.63,10.69,-0.003918173,0.002464581,-0.507829,-0.5493382,0,0,0.5852443000000001,-0.05,-0.02,-0.77,0
1878,33734946,0,1.94,-1.63,10.7,-0.003957822,0.002643822,-0.5080152999999999,-0.5542886,0,0,0.5790486,-0.05,-0.02,-0.77,0
1919,33745281,0,1.94,-1.62,10.71,-0.003760325,0.002814962,-0.5082678,-0.5586238,0,0,0.5739738,-0.05,-0.02,-0.77,0
1960,33755244,0,1.94,-1.62,10.72,-0.003536435,0.00283009,-0.5085739,-0.5615731,0,0,0.5683172,-0.05,-0.02,-0.77,0
