LineNo,TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt
1295,33614156,0,0,0,0.2585996,-0.6479868,-0.6479868,-0.62,NaN,0,-88.94844999999999,50,50
1822,33722789,0,0,0,0.2585996,-0.587429,-0.587429,-0.41,NaN,0,-88.73934,50,50
2232,33825330,0,0,0,0.2585996,-0.5238286,-0.5238286,-0.36,NaN,0,-88.68866,51,51
2648,33928491,0,0,0,0.2585996,-0.4551977,-0.4551977,-0.43,NaN,0,-88.76212,52,52
3059,34029899,0,0,0,0.2585996,-0.3887068,-0.3887068,-0.58,NaN,0,-88.90826,53,53
3447,34131662,0,0,0,0.2585996,-0.3315021,-0.3315021,-0.5,NaN,0,-88.82913000000001,53,53
3859,34233345,0,0,0,0.2585996,-0.2794454,-0.2794454,-0.63,NaN,0,-88.95992,53,53
4270,34336604,0,0,0,0.2585996,-0.2352767,-0.2352767,-0.48,NaN,0,-88.81119,53,53
4680,34439643,0,0,0,0.2585996,-0.1986665,-0.1986665,-0.79,NaN,0,-89.11636,52,52
5093,34540864,0,0,0,0.2585996,-0.1731159,-0.1731159,-0.65,NaN,0,-88.97911999999999,51,51
5504,34642562,0,0,0,0.2585996,-0.1536767,-0.1536767,-0.75,NaN,0,-89.0752,50,50
5916,34745595,0,0,0,0.2585996,-0.1435505,-0.1435505,-0.77,NaN,0,-89.09798000000001,48,48
6326,34848898,0,0,0,0.2585996,-0.1395323,-0.1395323,-0.6,NaN,0,-88.92843999999999,47,47
6710,34951266,0,0,0,0.2585996,-0.14203,-0.14203,-0.66,NaN,0,-88.98477,45,45
7121,35054421,0,0,0,0.2585996,-0.1405897,-0.1405897,-0.61,NaN,0,-88.93391,43,43
7533,35157588,0,0,0,0.2585996,-0.1438914,-0.1438914,-0.4,NaN,0,-88.73206999999999,41,41
7940,35260601,0,0,0,0.2585996,-0.1386435,-0.1386435,-0.5600000000000001,NaN,0,-88.89031,40,40
8353,35363159,0,0,0,0.2585996,-0.1336991,-0.1336991,-0.48,NaN,0,-88.80537,38,38
8737,35466767,0,0,0,0.2585996,-0.1317043,-0.1317043,-0.57,NaN,0,-88.90145,37,37
