LineNo,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
183,33256349,1,-0.003823026,0.003455658,-0.003035119,-0.4083094,-0.1710509,-9.800917999999999,0,0,41.37292,1,1,755,998
214,33259140,1,-0.008572076,-0.0003926846,-0.003119276,-0.3935282,-0.1571523,-9.745734000000001,0,0,41.37292,1,1,755,998
290,33285681,1,0.001123503,0.004804539,0.009664305,-0.5658157,0.01090206,-9.697725,0,0,41.37389,1,1,755,998
406,33309404,1,-0.004226845,0.007739619,-0.002286031,-0.3953493,-0.1248961,-9.761081000000001,0,0,41.37529,1,1,755,998
521,33334855,1,-0.004628555,0.002254855,0.003079588,-0.450282,-0.1778354,-9.847568000000001,0,0,41.37626,1,1,755,998
552,33337667,1,-0.005898794,0.002010435,0.002963765,-0.4572645,-0.2037831,-9.819827999999999,0,0,41.37626,1,1,755,998
632,33358133,1,0.002541061,0.0013778,0.002102974,-0.4921028,-0.1531921,-9.620092,0,0,41.37723,1,1,755,998
748,33384900,1,0.003581391,0.005710373,0.003593629,-0.505394,-0.1023066,-9.643687999999999,0,0,41.37805,1,1,755,998
863,33405910,1,-0.005750894,-0.000550209,-0.01293025,-0.4670881,-0.1957813,-9.610721,0,0,41.3788,1,1,755,998
979,33436545,1,-4.138783e-05,8.996719e-05,0.003305553,-0.4860337,-0.1087518,-9.636274999999999,0,0,41.37982,1,1,755,998
1010,33439609,1,-0.001192342,0.002008818,0.0008387675,-0.4748436,-0.1178898,-9.589883,0,0,41.37982,1,1,755,998
1090,33476225,1,0.001526719,0.01048385,0.001854662,-0.452309,-0.1881908,-9.625011000000001,0,0,41.38091,1,1,755,998
1205,33569561,1,0.004623181,0.0006090266,0.0008601427,-0.4256979,-0.2340672,-9.683234000000001,0,0,41.38383,1,1,755,998
1297,33614185,1,-0.004434654,0.001065145,-0.003510966,-0.4519477,-0.110805,-9.564829,0,0,41.3852,1,1,755,998
1328,33617187,1,0.002116475,0.001035685,-0.001236463,-0.4769868,-0.1298962,-9.646927,0,0,41.38554,1,1,755,998
1389,33633490,1,0.001357996,0.0009841559000000001,0.0004158201,-0.5064949,-0.1477582,-9.778476,0,0,41.38587,1,1,755,998
1482,33648343,1,0.000836061,0.002468474,-0.001876648,-0.5001451,-0.14384,-9.750259,0,0,41.3862,1,1,755,998
