TimeUS,RPM,Curr,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,Guasto
77480176,6433,4.49,-5.85,-5.3,-4.14,-4.15,8.29,7.88,0.07513721,-0.3631493,0.04529677,-0.6677815,1.061721,-9.428946,2
77589760,6600,4.53,-5.55,-4.64,-4.93,-5.03,8.37,8.08,0.188791,-0.02686732,0.0210065,-0.4769053,1.141749,-9.932121,2
77699000,6603,4.37,-5.38,-4.22,-5.11,-5.41,8.39,8.19,-0.004386809,-0.02568234,0.0035663,-0.6799831,0.9718653,-9.904645,2
77810480,6630,4.43,-5.3,-4.39,-4.69,-5.23,8.35,8.25,-0.09699512,0.09270246,-0.03296805,-0.2273714,0.9111199,-9.685974,2
77920458,6540,4.27,-5.33,-4.64,-3.68,-4.12,8.26,8.14,-0.115731,0.2198251,-0.03745387,-0.5276175,0.8610764,-10.16625,2
78031261,6534,4.32,-5.41,-4.91,-2.81,-2.59,8.18,7.97,-0.1140861,0.306922,0.002745242,-0.3777327,0.9115133,-9.822858,2
78129848,6585,4.09,-5.33,-5.06,-2.29,-1.73,8.13,7.73,0.06460836,0.2078414,-0.04647024,-0.7686188,1.148047,-9.666164,2
78238471,6626,4.29,-4.69,-4.71,-2.14,-1.37,8.11,7.51,0.156616,0.02215568,-0.03543479,-0.1477151,1.042756,-9.963126,2
78363460,6552,4.29,-3.73,-3.52,-2.05,-1.81,8.11,7.3,0.142302,-0.06212624,-0.00455931,-0.455875,1.003466,-9.975572,2
78469796,6513,4.43,-3.03,-2.39,-2.04,-2.34,8.11,7.14,0.1855015,-0.03860765,0.01136492,-0.970717,0.9209071,-9.729709,2
78570391,6627,4.02,-2.82,-1.73,-2.03,-2.58,8.1,7.12,0.1367793,0.02663896,0.02634136,-0.3499937,0.9138025,-9.689037,2
78683954,6623,4.47,-2.79,-1.73,-2.05,-2.43,8.11,7.04,-0.229703,0.1053077,-0.02445157,-0.7330744,0.6522762,-9.621906,2
78784080,6738,4.13,-2.81,-2.1,-2.33,-1.72,8.12,7.04,-0.2685683,0.1954778,0.02408165,-0.6267562,0.937223,-9.612314,2
78902642,6483,4.5,-2.96,-2.36,-2.7,-1.42,8.14,7.01,0.07465018,0.07890236,-0.004089649,-0.6555226,0.7844424,-9.781556,2
79010823,6478,4.2,-3.35,-2.72,-3.08,-1.8,8.16,6.95,-0.1072547,-0.08685629,-0.008725184,-0.4490046,0.7096356,-10.07356,2
79114113,6553,4.5,-4.06,-3.85,-3.54,-2.17,8.19,6.68,-0.1569364,0.0397891,-0.08713812,-0.5035793,0.7480981,-9.631564,2
79226719,6468,3.74,-4.46,-5.8,-4.01,-2.14,8.22,6.31,-0.2578678,0.09385917,-0.07248242,-0.6986889,0.997976,-9.998096,2
79326630,6442,3.66,-4.36,-6.9,-4.54,-1.91,8.27,5.98,-0.1179296,0.05244596,-0.03303764,-0.4601845,0.8038988,-9.81182,2
79442067,6454,4.0,-3.65,-6.97,-5.19,-2.41,8.31,5.74,0.1736002,-0.1035239,-0.06645591,-0.3752018,0.8579262,-9.994134,2
