tempo,<>(GyrX),var(GyrX),kurt(GyrX),RMS(GyrX),freq1(GyrX),freq2(GyrX),amp1(GyrX),amp2(GyrX),<>(GyrY),var(GyrY),kurt(GyrY),RMS(GyrY),freq1(GyrY),freq2(GyrY),amp1(GyrY),amp2(GyrY),<>(GyrZ),var(GyrZ),kurt(GyrZ),RMS(GyrZ),freq1(GyrZ),freq2(GyrZ),amp1(GyrZ),amp2(GyrZ),<>(AccX),var(AccX),kurt(AccX),RMS(AccX),freq1(AccX),freq2(AccX),amp1(AccX),amp2(AccX),<>(AccY),var(AccY),kurt(AccY),RMS(AccY),freq1(AccY),freq2(AccY),amp1(AccY),amp2(AccY),<>(AccZ),var(AccZ),kurt(AccZ),RMS(AccZ),freq1(AccZ),freq2(AccZ),amp1(AccZ),amp2(AccZ),<>(Roll),var(Roll),kurt(Roll),RMS(Roll),freq1(Roll),freq2(Roll),amp1(Roll),amp2(Roll),<>(Pitch),var(Pitch),kurt(Pitch),RMS(Pitch),freq1(Pitch),freq2(Pitch),amp1(Pitch),amp2(Pitch),<>(Yaw),var(Yaw),kurt(Yaw),RMS(Yaw),freq1(Yaw),freq2(Yaw),amp1(Yaw),amp2(Yaw),<>(C9),var(C9),kurt(C9),RMS(C9),freq1(C9),freq2(C9),amp1(C9),amp2(C9),<>(C10),var(C10),kurt(C10),RMS(C10),freq1(C10),freq2(C10),amp1(C10),amp2(C10),<>(C11),var(C11),kurt(C11),RMS(C11),freq1(C11),freq2(C11),amp1(C11),amp2(C11),<>(C12),var(C12),kurt(C12),RMS(C12),freq1(C12),freq2(C12),amp1(C12),amp2(C12),<>(C13),var(C13),kurt(C13),RMS(C13),freq1(C13),freq2(C13),amp1(C13),amp2(C13),<>(C14),var(C14),kurt(C14),RMS(C14),freq1(C14),freq2(C14),amp1(C14),amp2(C14),Guasto
0.0,-0.1047043969893637,0.039568474610698075,-0.3943232045207772,0.22454120927506335,47.0,60.0,5.90665499622882,2.9758213560314375,0.04946126610248814,0.01070927185696353,-0.7808376889879138,0.11456516903227372,89.0,64.0,7.1143360550153805,2.4323628732300735,0.11375333606277305,0.0045920347559104185,-0.9217435524961308,0.13235850369816923,74.0,62.0,1.0420696565311576,0.5643466916410516,0.12102302665631527,0.10269236893676456,-0.6534234581916207,0.34212040434055974,94.0,99.0,9.94830487252558,8.087049335265895,0.24825034534662865,0.056720709695686614,1.6149314101635888,0.34378386552729095,82.0,66.0,11.316682083552754,7.3623928734551365,-10.917528566001899,0.8251234370787841,-1.1860941848812034,10.955145030875826,0.0,109.0,211.3356562248074,11.13131686672758,0.14700854700854682,3.308917597069597,1.3990287095750071,1.8223890897121813,51.0,67.0,6.119757604217977,4.9746929453801805,0.45507122507122505,2.012610780626781,-1.7769497192874588,1.4879404109932184,128.0,126.0,25.944361818526687,1.4049458038466538,31.318290598290595,5.017454783882784,-1.3155686068259027,31.39806500470825,80.0,106.0,-1.6074716886323606,-2.126593532517994,1590.179487179487,8038.519120879118,0.9023196144224501,1592.6978429078815,55.0,52.0,2025.866333671015,781.7377720703583,1492.5840455840455,2579.895059015059,-0.4646020287600927,1493.4455725143378,75.0,72.0,2027.9256575078748,860.4067723563276,1577.2649572649573,2951.0867399267395,1.8970580751382835,1578.1975239181643,101.0,103.0,1212.55693271641,950.618403263469,1510.2250712250711,3855.409198209198,-0.7314677256808757,1511.4973340642023,91.0,94.0,902.585157782694,870.185263302735,1542.4444444444443,3219.2361904761906,0.7611715921925488,1543.4846707288443,85.0,83.0,2371.532625732522,881.9319523917547,1546.2535612535612,4234.246951566952,0.6921095733063742,1547.61825372385,87.0,86.0,1572.189807033826,1223.458119442604,1
1.0,-0.10545394017973485,0.03965350279177106,-0.4031795255047106,0.22508083946581206,49.0,64.0,6.858856307443871,2.8636591147538386,0.049234633083257574,0.010696840719875051,-0.7759979733088476,0.1144137275971418,93.0,64.0,7.0722095912521805,1.8780029784836294,0.11367999504176135,0.004580845410495897,-0.9207550165826768,0.13225344198855485,77.0,55.0,0.9450833315753522,0.5901799418000071,0.12118661067149623,0.10240921751006084,-0.6462353775681815,0.3417666994297257,103.0,108.0,9.488531341082478,7.862544986806402,0.24910259133522725,0.05681477800739513,1.6025395052628189,0.3445366067604154,84.0,66.0,9.540625398401552,6.347245207235217,-10.915809232954546,0.8238132074127261,-1.1820112859929035,10.953372267901713,0.0,105.0,211.7484408209987,11.097761079744638,0.13136363636363632,3.3856471380471382,1.3661228713449973,1.8420871931786307,51.0,68.0,5.64602137714548,5.102631414762383,0.4584943181818183,2.011001430167055,-1.7747399802882522,1.4884573886165748,127.0,125.0,26.64216496476325,1.4091842852351122,31.329914772727275,5.050722784738411,-1.3185776464315546,31.410188375856922,109.0,85.0,-2.2345765511808895,-2.4127228066409665,1590.3948863636363,8031.949033605282,0.9132878683639793,1592.9108655440145,67.0,64.0,2016.6835272846042,641.2242302044347,1492.3863636363637,2586.3004403004406,-0.4809024911021327,1493.2501502975435,83.0,80.0,1997.885250921349,992.1074942822947,1577.440340909091,2953.5064021626517,1.9004606073991988,1578.3735758325288,104.0,106.0,1183.8558369408722,916.2304053021542,1510.0795454545455,3851.8796943796942,-0.736878267514999,1511.3507767737262,101.0,100.0,823.4919269859904,797.250913496057,1542.3579545454545,3212.6977143227136,0.7590599187610931,1543.3961353721922,96.0,95.0,2332.924405255362,860.9459173877717,1546.3948863636363,4229.213990870241,0.7023974751322859,1547.7578440279344,98.0,96.0,1536.5657019655175,1110.5402478849726,1
2.0,-0.1061992366664778,0.03973693059436598,-0.4118216205587988,0.2256161325225347,50.0,66.0,6.835985540844496,2.706003060743277,0.049009284103796034,0.01068437807120811,-0.7711201256047917,0.11426294517296334,95.0,72.0,7.028093115223461,2.1102587124497805,0.11360706955061378,0.004569708944047638,-0.9197457998046437,0.13214889271124952,78.0,55.0,0.8491839213788652,0.6571670339317012,0.1213492678650614,0.10212762168204796,-0.6390448379775844,0.34141463518362036,98.0,103.0,8.618544476134172,7.592628966115612,0.2499500087346553,0.056906867423901206,1.5904491496081747,0.3452834560679053,89.0,93.0,7.239032402317702,6.557949541240529,-10.914099641170916,0.8225045435181051,-1.1778949341575067,10.951609264383272,0.0,117.0,212.14337675066506,11.048416910550127,0.1158073654390934,3.4614539627865053,1.329318272314039,1.861467026322246,75.0,66.0,5.281684109754289,4.210198870419862,0.46189801699716715,2.009377921388102,-1.772484750983133,1.4889712592138484,124.0,122.0,27.34350739114875,1.402083556640859,31.3414730878187,5.083533051120268,-1.3218001039607286,31.422238421571677,79.0,105.0,-1.6227249150826883,-2.3596490761590196,1590.6090651558075,8025.324008498585,0.9242694758243566,1593.1226530105619,65.0,63.0,2006.3235060838124,569.9148010798767,1492.1898016997168,2592.5917138810196,-0.49683775890182424,1493.0558099274367,82.0,79.0,1963.2723903373048,1040.051267424863,1577.614730878187,2955.8511460211175,1.9039295529042382,1578.5486108175069,105.0,107.0,1224.6020177590901,879.3902297725955,1509.9348441926345,3848.3281290239506,-0.7421698919777922,1511.2050357435476,114.0,113.0,837.4554476440065,811.0995488303206,1542.271954674221,3206.181512361576,0.7570096995947573,1543.308096596344,97.0,95.0,2292.700089674508,931.0301258342765,1546.5354107648725,4224.169907288178,0.7127065185742012,1547.8966309705474,105.0,103.0,1490.1501891473347,994.141638411737,1
3.0,-0.10694032243860642,0.03981878106094796,-0.4202539628099906,0.22614714500043007,49.0,65.0,5.869829528201613,2.507761322849843,0.04878520828241055,0.010671885041933287,-0.7662046858384111,0.11411281707668257,91.0,66.0,6.981992627842811,2.3794766753556718,0.11353455606789076,0.0045586249975638786,-0.9187161167594193,0.1320448520289692,69.0,49.0,0.7544322353452764,0.549067245554682,0.12151100609143128,0.10184756868204783,-0.6318518617493081,0.34106419965619783,97.0,95.0,8.859075314323903,7.392869723165239,0.25079263846516003,0.05699700696914943,1.57865385432943,0.346024487548501,64.0,85.0,8.169931334160468,7.131052711086339,-10.912399708097928,0.8211974817665706,-1.1737455767605527,10.9498559398818,0.0,107.0,212.5206581359452,10.984509186522601,0.10033898305084732,3.5363500264080288,1.289387531005017,1.8805393504491126,76.0,58.0,5.502730782943967,4.428207681747532,0.46528248587570614,2.007740571533746,-1.7701847288067423,1.4894820508018944,119.0,117.0,28.04817767426087,1.3827105386507024,31.352966101694918,5.115891743890143,-1.3252141947044,31.434215807720207,81.0,105.0,-1.8543568839172622,-2.4337829499431165,1590.822033898305,8018.645292168818,0.9352643698046168,1593.333216024864,55.0,53.0,1994.825782139861,556.8796795309706,1491.9943502824858,2598.770506233895,-0.5124170126162206,1492.862542440351,82.0,79.0,1925.708530796603,1001.5309919214985,1577.7881355932204,2958.122125126039,1.9074644161446659,1578.7226376620647,104.0,106.0,1315.6313757101525,840.2775352683219,1509.7909604519773,3844.7550455338423,-0.7473445195041304,1511.0601041712666,105.0,104.0,852.4047803098158,817.4438347446023,1542.1864406779662,3199.687521006386,0.7550201968158685,1543.2205502346924,100.0,98.0,2251.08444969828,972.3350223380191,1546.6751412429378,4219.115130999824,0.7230364546237618,1548.034621468634,96.0,94.0,1433.9890095273963,877.4936710332161,1
4.0,-0.10748524753971833,0.039811713523439145,-0.42330378015425785,0.2263904730553313,49.0,67.0,5.658057714334726,2.4926826664779305,0.04852435053138028,0.010665895076044983,-0.7622914273835439,0.11397571186737623,85.0,62.0,6.92041763918439,2.186613909497864,0.11350207951558684,0.0045461219537089375,-0.9145810329213204,0.13196983757941486,74.0,59.0,0.6749452211660303,0.46790813399367664,0.12224947076910801,0.10175345586423341,-0.628856803184485,0.3411916756229873,94.0,97.0,10.210155723260232,7.127149679779447,0.2518679330046948,0.057246470187983706,1.5554957461995298,0.3471637483976974,80.0,85.0,7.838325287787086,7.752503423679506,-10.910021605633803,0.8208853716910324,-1.1712296519448775,10.947472057691117,0.0,107.0,213.12459071012816,11.15080897584862,0.08495774647887307,3.6103471027293703,1.2469762190544933,1.8993143314305467,58.0,77.0,6.054200791888096,5.751130724334447,0.4686478873239437,2.0060896920506086,-1.7678405971019617,1.489989791060593,132.0,130.0,28.75596173028498,1.350241959955024,31.364394366197185,5.147804928781729,-1.3287998225999813,31.446121192098847,83.0,84.0,-1.6718272466409543,-2.3464030164649614,1591.0338028169015,8011.914108379089,0.946272482129968,1593.5425651805645,65.0,63.0,1982.23284597031,525.6189563970587,1491.8,2604.8384180790963,-0.5276491284759248,1492.6703389714255,88.0,85.0,1886.715022096835,890.486935620221,1577.9605633802817,2960.3204742579774,1.9110646942605762,1578.8956650541418,103.0,105.0,1389.1460148969911,799.0765787072186,1509.6478873239437,3841.1609771624094,-0.7524040300536177,1510.9159753298798,98.0,97.0,868.3200541022824,819.1756353038334,1542.1014084507042,3193.2156759767654,0.7530906842041412,1543.133492167119,91.0,88.0,2208.299948389866,983.1528192913865,1546.8140845070423,4214.05008355216,0.7333870380621548,1548.1718223599394,91.0,89.0,1369.212604661493,815.9285738678831,1
5.0,-0.10802855676947565,0.039804653682755806,-0.4262763701764345,0.226634092615167,46.0,63.0,6.629648357403772,2.6560830546019005,0.04840203594187266,0.01064117636691797,-0.7552969121322808,0.11381582713043659,93.0,92.0,6.905667373298907,1.6400363523566792,0.1134170237304307,0.004535891453600062,-0.9147491671088996,0.13185814899861534,73.0,53.0,0.5779205482229404,0.4980437475493409,0.12255765680627342,0.10150063880462208,-0.6219678648567366,0.3409338702630187,101.0,104.0,11.151216948204201,6.779353357354236,0.25266956661985013,0.0573139839827315,1.5459547747663867,0.3478432111477299,84.0,89.0,8.91810425400909,8.232150715155573,-10.907444282771536,0.8209377816878854,-1.1691009335016382,10.94490623799257,0.0,115.0,213.7868097127198,11.378687340137063,0.06896067415730317,3.691279761829403,1.2184791145944156,1.9198089938933267,73.0,58.0,5.772101959065022,5.385960047129072,0.47188202247191013,2.0041623635068846,-1.7653856065724,1.4903708723262987,123.0,121.0,29.426667963633385,1.264281506395943,31.37601123595506,5.1813468618452285,-1.3314356486009586,31.45824015413934,107.0,79.0,-2.3322851520600794,-2.3561873380796254,1591.2640449438202,8008.217407817692,0.9561535538673125,1593.771308295537,61.0,58.0,1975.5724900598163,486.09646862682337,1491.5758426966293,2615.388597879412,-0.5446405982084088,1492.4498438865053,86.0,82.0,1837.0141753995654,723.7296618287476,1578.1404494382023,2963.501345149549,1.9131646432983307,1579.0764563681455,110.0,112.0,1447.3052689969632,758.9633976356918,1509.4943820224719,3838.7295458142116,-0.7586151635663905,1510.7618064920282,109.0,108.0,881.1844330960023,817.4847417142441,1542.0393258426966,3185.59281531888,0.7555966027364347,1543.068996178166,88.0,85.0,2172.534501790393,971.0622079061035,1546.9325842696628,4207.178540908372,0.7449657108750469,1548.2880161322946,98.0,96.0,1290.0858892134868,840.5611387197007,1
6.0,-0.10868936249281046,0.0398487319786294,-0.43256879872044873,0.22704732634352606,48.0,67.0,6.878493275633446,2.7745796439671473,0.04835362848638655,0.010612121973650628,-0.7481719036386392,0.11366824327661253,97.0,70.0,6.915030894127428,1.9984699697350419,0.11330979427086833,0.004527255027520272,-0.9171607917702382,0.13173337890828982,52.0,74.0,0.6522025665054938,0.4741179058999021,0.12284653479841272,0.10124531647715672,-0.6149991686456171,0.34066550641775856,100.0,69.0,11.810952686585162,7.389032800183333,0.2535640935107376,0.05743865331969326,1.531662565973757,0.3486724971248602,84.0,89.0,9.677669850073219,8.691099125313116,-10.904626553688143,0.8214662128790469,-1.167314451585628,10.942122530042937,0.0,113.0,214.52269861352107,11.682910913089621,0.05305322128851516,3.771248797721336,1.1861583809654825,1.9399741544381346,76.0,62.0,5.820677088277847,4.465994350801483,0.47509803921568633,2.002225060586032,-1.7628890879924828,1.4907497220840116,116.0,113.0,30.10012676764255,1.1953449718931384,31.387563025210085,5.214431965820037,-1.3342874315611046,31.470286595062163,87.0,117.0,-1.7648531130927756,-2.2540998791713447,1591.4929971988795,8004.436046328644,0.9660484569407557,1593.9987373865501,69.0,66.0,1967.8581398141237,434.57707733092894,1491.3529411764705,2625.779576999339,-0.5612633831391665,1492.230551760633,82.0,79.0,1789.4736520773424,547.0293744202598,1578.3193277310925,2966.599990558022,1.9153378336953142,1579.2562143224861,103.0,105.0,1487.1348196646964,717.105118110408,1509.3417366946778,3836.2649104585657,-0.7646927297465811,1510.6084857430399,110.0,104.0,894.9840754346931,891.0226772423764,1541.9775910364147,3178.0051144053127,0.7581287088915789,1543.0048588380268,105.0,102.0,2135.9415658354433,928.870475601282,1547.0504201680671,4200.317675384761,0.75656018924054,1548.4035503129824,109.0,107.0,1204.9852024478494,876.1927004635241,1
7.0,-0.10940959043743019,0.03992281560926163,-0.44018661575530693,0.2275560542904303,54.0,73.0,6.296252594561962,2.868521185251888,0.048230807631210425,0.010587796558354559,-0.7411808091999501,0.11350961418484225,95.0,69.0,6.895582208823001,2.4415130044107927,0.11316781204292364,0.004521790546081229,-0.9233845600543296,0.1315907045684243,49.0,56.0,0.6294777380832718,0.5266687160548502,0.12351084792281192,0.10111970582084534,-0.6111579065651886,0.34072302255149745,99.0,98.0,12.321026016257612,7.1342690385521355,0.25450022835195524,0.05759149347522069,1.5153755166902418,0.3495725813231236,82.0,87.0,10.006582376520186,9.102728533977638,-10.902231526070764,0.8212187313817689,-1.1647743213143846,10.93972472562094,0.0,119.0,215.09567918716758,11.826455779737017,0.037234636871508096,3.8502665610378233,1.1507325615474344,1.959820921587668,75.0,56.0,5.8968569868500715,5.252143577809324,0.4782960893854749,2.000278040937045,-1.7603516569959596,1.4911263599135558,129.0,126.0,30.776165371514857,1.2526389781131095,31.39905027932961,5.24706632239488,-1.3373339477435435,31.482261166511275,83.0,109.0,-1.8110343362560204,-2.188232559414756,1591.7206703910615,8000.571616356039,0.975957194799657,1594.2248637507562,69.0,64.0,1959.1064920999013,412.4252823039687,1491.1312849162011,2636.0135283163545,-0.5775265013492872,1492.0124527690368,86.0,87.0,1745.7093998625446,670.907148764383,1578.4972067039107,2969.617639234464,1.9175837595930827,1579.4349477550331,104.0,106.0,1509.5501060633333,673.6709207854377,1509.1899441340781,3833.7677417335644,-0.7706389839917849,1510.4560061017055,99.0,105.0,925.9588316933803,909.7025406205503,1541.9162011173185,3170.4523418305866,0.7606867322009552,1542.9410771632745,102.0,99.0,2098.6712913569845,858.7720461411777,1547.167597765363,4193.46763062767,0.7681702866644535,1548.5184305034727,108.0,107.0,1115.305621770945,923.2277351822482,1
8.0,-0.10994136855134634,0.03991282024305907,-0.442703945849483,0.2277910160426378,55.0,77.0,5.60697424046069,3.026602691054414,0.04817381363595172,0.010559387852895803,-0.7339817373560211,0.11336088759572073,99.0,76.0,6.897399613487261,1.8992011219731453,0.11295689603909005,0.004525130162513494,-0.9370920845968644,0.13142216596109307,60.0,58.0,0.5560562082838585,0.5203663104646634,0.1237666674457753,0.10086074280458637,-0.6040769576469702,0.3404379262522275,94.0,97.0,12.405625133810593,7.317895827481366,0.2555035240947075,0.057791993624439965,1.4960255875578161,0.35058959477660084,86.0,91.0,9.856369186515035,9.468457745186456,-10.900087547818012,0.820575019057498,-1.1616401561969136,10.937559044177442,0.0,107.0,215.56623686349255,11.869934929186552,0.021002785515319995,3.9340984329531126,1.123901729317283,1.9808031347147605,72.0,56.0,5.8254243978626805,5.78763226365267,0.48158774373259067,1.9985804329219898,-1.7578394750745732,1.491623314185124,130.0,127.0,31.49458352743695,1.3537654060339745,31.410529247910866,5.2797139649242935,-1.3403189816348708,31.494227326204577,84.0,110.0,-1.740394914091118,-2.1150626987865273,1591.9470752089137,7996.625682762485,0.9858797664018963,1594.4496985560966,61.0,56.0,1949.3374070936256,633.083182346526,1490.9108635097493,2646.0925911517097,-0.5934386869621977,1491.7955371937155,84.0,85.0,1707.0394950222696,819.001486482355,1578.674094707521,2972.555500225642,1.9199019036329963,1579.6126654031202,103.0,105.0,1516.2278220356243,628.8311655451565,1509.0389972144847,3831.2386984329537,-0.7764561320138315,1510.3043606632539,102.0,96.0,925.3209014786042,887.5814749010073,1541.8551532033425,3162.9342680630552,0.7632704058899842,1542.8776482034812,109.0,106.0,2060.8700703826726,764.15657683611,1547.2841225626742,4186.628546085495,0.7797958195580139,1548.6326622419772,103.0,101.0,1022.4400661966826,981.0192477423551,1
9.0,-0.11038088280537037,0.039871184671410785,-0.4424929002936846,0.22791307700426014,54.0,75.0,6.4145336606826895,3.2145937597855334,0.04800922290085185,0.010539726955887266,-0.7276673500561235,0.11320483832464516,95.0,67.0,6.8582149652380355,1.8223949565277848,0.11278966421675926,0.004522593276783334,-0.9460565291018108,0.13126895623798662,59.0,49.0,0.5756619583589981,0.45292550647945523,0.12389041578620372,0.10058530657491707,-0.5969060760639837,0.3400804876337671,97.0,100.0,12.189600509451108,7.821988757895063,0.2565380143055555,0.058016274339488985,1.4754664920889855,0.3516630074456463,89.0,84.0,9.768497018841988,9.19895621750858,-10.898046591666667,0.8197888754946483,-1.1582420261125157,10.935489527145611,0.0,115.0,215.9870577948131,11.866460651972345,0.004861111111111032,4.016939256422161,1.0934655150746062,2.001450654455968,81.0,63.0,5.795175812608503,5.294503311118535,0.48486111111111113,1.99687073274528,-1.755286375593984,1.4921173434642019,131.0,128.0,32.21515440972072,1.4843353493816207,31.42194444444445,5.311917657072113,-1.3434779664308227,31.506122500237936,116.0,87.0,-2.05494673863992,-2.148589850695307,1592.15,7989.175208913649,0.9971048752966976,1594.649994687096,67.0,62.0,1930.5932763540316,795.8277260193324,1490.7277777777779,2650.789198390591,-0.6064121784067602,1491.6141368776757,88.0,89.0,1687.063765500504,966.3839647391636,1578.8166666666666,2971.5930362116987,1.928181892030449,1579.7548561582444,103.0,99.0,1497.8514249694858,643.6279659466416,1508.9361111111111,3824.377522438873,-0.7771107292054724,1510.1993052794942,101.0,95.0,958.7945610032408,870.5315207328528,1541.713888888889,3161.3078845558653,0.7474143302843657,1542.735959802152,102.0,99.0,1993.7904865762544,621.3533295120403,1547.4722222222222,4187.70396162179,0.7858084442458639,1548.8209547910953,96.0,97.0,1073.7959366531236,1048.6012092393103,1
