TimeUS,RPM,Curr,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,Guasto
61511367,5920,3.5,-8.09,-9.9,-4.42,-4.56,358.22,354.84,0.1155664,0.1739582,-0.07288264,-0.4657233,1.3188,-8.982294,1
61623001,6033,3.23,-7.53,-8.06,-4.03,-3.74,358.17,354.56,0.3131775,0.07687698,0.02936783,-0.5301364,1.080447,-8.808942,1
61733217,5904,3.32,-7.02,-7.12,-3.98,-3.58,358.16,354.61,0.1092832,-0.03587332,0.06398947,-0.6537764,0.8498689,-9.591661,1
61834505,5816,3.25,-6.61,-6.23,-4.56,-3.5,358.23,354.84,0.05389544,0.03327673,0.08158798,-0.6552753,0.7746036,-9.117117,1
62059133,5905,3.23,-6.34,-5.27,-5.04,-4.64,358.28,355.73,-0.02309745,0.0538538,0.05835572,-0.9606808,1.035529,-9.469675,1
62169746,6066,3.66,-7.43,-6.1,-4.74,-4.21,358.25,356.25,-0.1733662,0.05820576,0.08834673,-0.5881144,0.9748266,-10.0824,1
62278562,6152,3.14,-9.24,-7.48,-4.05,-4.05,358.15,356.91,-0.1859712,-0.1078202,0.106203,-0.3757139,0.9445012,-10.31445,1
62381789,6072,3.47,-10.47,-8.99,-3.49,-3.71,358.05,357.35,-0.2212715,0.126549,0.0657704,-0.05201688,1.397365,-9.718069,1
62494215,6096,3.46,-11.39,-10.37,-3.04,-3.3,357.96,357.46,-0.2855164,0.1103002,-0.02927112,-0.4800583,0.9879851,-9.601335,1
62593708,6171,3.71,-11.66,-11.34,-2.59,-3.04,357.87,357.58,-0.156977,0.1019083,0.01721447,-0.3892999,1.450005,-9.320085,1
62701735,6182,3.63,-11.51,-11.0,-1.86,-2.65,357.72,357.91,0.1201874,0.1831062,0.06702582,-0.2866988,1.278745,-9.356019,1
62813336,6125,3.39,-11.09,-10.01,-1.31,-2.16,357.61,358.04,0.03694037,0.1468327,0.02973079,-0.4266659,1.02299,-10.48179,1
62922507,6086,3.37,-10.85,-10.07,-1.13,-2.09,357.57,358.11,0.01498254,-0.09632179,-0.0117728,-0.08568769,1.667468,-9.72313,1
63038271,6134,3.71,-10.96,-9.93,-0.93,-1.94,357.54,358.05,0.06486762,0.01052088,-0.008814659,-0.1943362,1.533331,-10.24982,1
63146750,6072,3.81,-10.94,-10.13,-0.88,-1.56,357.52,357.79,0.04282292,0.1143187,-0.02417857,-0.1038888,1.728657,-9.944435,1
63253608,6304,3.63,-10.85,-9.91,-0.85,-1.25,357.52,357.56,-0.00645202,0.02555522,-0.01297943,-0.8701301,1.570339,-10.46462,1
63471174,6349,3.87,-11.06,-9.64,-0.14,-1.37,357.38,357.09,-0.1789414,0.2376239,-0.03790474,-0.7256839,1.105384,-10.31633,1
63579744,6061,4.26,-10.77,-10.38,0.1,-0.17,357.33,356.59,0.09831055,0.1044605,-0.0448658,-0.04682935,1.475435,-10.80107,1
63691819,6524,4.19,-10.63,-9.94,0.17,0.68,357.32,356.35,0.06760639,0.05003734,0.04861905,-0.1833645,1.343985,-11.20514,1
63807698,6460,3.65,-9.87,-9.37,-0.19,0.58,357.39,356.44,-0.06012229,-0.01456692,0.007496801,-0.5940444,1.264824,-10.91803,1
63915003,6342,3.57,-9.45,-8.77,-0.93,0.04,357.51,356.69,0.1240793,-0.1490179,0.05558711,-0.5749393,1.445135,-10.21826,1
64017202,6201,3.07,-9.15,-8.22,-1.49,-0.82,357.6,357.16,0.04918156,-0.08495427,0.1153005,-0.480542,1.625263,-10.48349,1
64127736,6215,3.03,-8.88,-7.88,-1.84,-2.11,357.66,357.98,-0.1066501,-0.2125887,0.1342779,-0.500365,1.70434,-10.12616,1
64339564,6027,3.39,-8.22,-9.31,-1.89,-2.6,357.67,358.12,-0.286258,-0.05567514,-0.04250599,-0.5740177,1.488396,-8.765929,1
64459825,6029,4.16,-6.33,-8.55,-2.89,-2.66,357.79,357.8,0.315018,-0.03761208,-0.07316034,0.1744687,1.977866,-9.55042,1
