LineNo,TimeUS,C,NI,FIX,FIY,AFI,HAGL,offset,RI,rng,Herr,eAng,eVel,ePos
3787,1.5953e+07,0,0,0,0,0,0.25,0.05,0,0,0.5,0.0019196,0.024322,0.10785
3828,1.5963e+07,0,0,0,0,0,0.25,0.05,0,0,0.5,0.0019196,0.024322,0.10785
3868,1.5973e+07,0,0,0,0,0,0.25,0.05,0,0,0.5,0.0018787,0.023794,0.10853
3909,1.5983e+07,0,0,0,0,0,0.26,0.05,0,0,0.5,0.0018412,0.023288,0.10911
3953,1.5993e+07,0,0,0,0,0,0.26,0.05,0,0,0.5,0.0018073,0.022801,0.10962
3994,1.6003e+07,0,0,0,0,0,0.27,0.05,0,0,0.5,0.0017772,0.022335,0.11009
4035,1.6013e+07,0,0,0,0,0,0.27,0.05,0,0,0.5,0.0017772,0.022335,0.11009
4078,1.6023e+07,0,0,0,0,0,0.27,0.05,0,0,0.5,0.0017503,0.021885,0.11047
4119,1.6033e+07,0,0,0,0,0,0.28,0.05,0,0,0.5,0.0017268,0.021454,0.11082
4156,1.6043e+07,0,0,0,0,0,0.29,0.05,0,0,0.5,0.0017479,0.021258,0.11171
4198,1.6053e+07,0,0,0,0,0,0.29,0.05,0,0,0.5,0.0016532,0.020838,0.11186
4242,1.6066e+07,0,0,0,0,0,0.3,0.05,0,0,0.5,0.0015351,0.020434,0.11199
4284,1.6076e+07,0,0,0,0,0,0.3,0.05,0,0,0.5,0.0014197,0.020043,0.1121
4324,1.6086e+07,0,0,0,0,0,0.3,0.05,0,0,0.5,0.0014197,0.020043,0.1121
4369,1.6096e+07,0,0,0,0,0,0.31,0.05,0,0,0.5,0.0013077,0.019666,0.11212
4410,1.6106e+07,0,0,0,0,0,0.31,0.05,0,0,0.5,0.0011966,0.019303,0.11212
4450,1.6116e+07,0,0,0,0,0,0.32,0.05,0,0,0.5,0.0010863,0.018954,0.11207
4496,1.6131e+07,0,0,0,0,0,0.33,0.05,0,0,0.5,0.00097888,0.017026,0.10814
4539,1.6144e+07,0,0,0,0,0,0.33,0.05,0,0,0.5,0.0008986,0.016782,0.1082
4579,1.6154e+07,0,0,0,0,0,0.34,0.05,0,0,0.5,0.00078787,0.016545,0.10824
4620,1.6164e+07,0,0,0,0,0,0.34,0.05,0,0,0.5,0.00068518,0.016317,0.10822
4662,1.6174e+07,0,0,0,0,0,0.34,0.05,0,0,0.5,0.00068518,0.016317,0.10822
4702,1.6184e+07,0,0,0,0,0,0.35,0.05,0,0,0.5,0.00060893,0.016097,0.10815
4747,1.6194e+07,0,0,0,0,0,0.35,0.05,0,0,0.5,0.00051789,0.015884,0.10806
4787,1.6204e+07,0,0,0,0,0,0.36,0.05,0,0,0.5,0.00043496,0.015678,0.10796
4829,1.6214e+07,0,0,0,0,0,0.37,0.05,0,0,0.5,0.00035906,0.015479,0.1078
4869,1.6224e+07,0,0,0,0,0,0.37,0.05,0,0,0.5,0.00035906,0.015479,0.1078
4910,1.6234e+07,0,0,0,0,0,0.37,0.05,0,0,0.5,0.00029012,0.015286,0.10765
4948,1.6244e+07,0,0,0,0,0,0.37,0.05,0,0,0.5,7.4818e-05,0.017658,0.11376
4985,1.6254e+07,0,0,0,0,0,0.38,0.05,0,0,0.5,0.00013205,0.017355,0.11324
5027,1.6264e+07,0,0,0,0,0,0.38,0.05,0,0,0.5,0.00013205,0.017355,0.11324
5069,1.6274e+07,0,0,0,0,0,0.38,0.05,0,0,0.5,0.00018221,0.017065,0.11276
5109,1.6284e+07,0,0,0,0,0,0.39,0.05,0,0,0.5,0.0002261,0.016781,0.11223
5154,1.6294e+07,0,0,0,0,0,0.39,0.05,0,0,0.5,0.00026411,0.016507,0.11171
5195,1.6304e+07,0,0,0,0,0,0.4,0.05,0,0,0.5,0.00029637,0.016242,0.11116
5236,1.6314e+07,0,0,0,0,0,0.41,0.05,0,0,0.5,0.00032368,0.015986,0.11062
5276,1.6324e+07,0,0,0,0,0,0.41,0.05,0,0,0.5,0.00032368,0.015986,0.11062
5319,1.6337e+07,0,0,0,0,0,0.41,0.05,0,0,0.5,0.00034638,0.015739,0.11008
5356,1.6346e+07,0,0,0,0,0,0.4,0.05,0,0,0.5,0.0002414,0.020401,0.12175
5401,1.6359e+07,0,0,0,0,0,0.41,0.05,0,0,0.5,0.00023548,0.019928,0.12068
5442,1.6369e+07,0,0,0,0,0,0.42,0.05,0,0,0.5,0.0002269,0.01947,0.11957
5482,1.6379e+07,0,0,0,0,0,0.42,0.05,0,0,0.5,0.00021769,0.01903,0.11844
5524,1.6389e+07,0,0,0,0,0,0.42,0.05,0,0,0.5,0.00021769,0.01903,0.11844
5568,1.6399e+07,0,0,0,0,0,0.43,0.05,0,0,0.5,0.00020332,0.018611,0.11739
5610,1.6409e+07,0,0,0,0,0,0.43,0.05,0,0,0.5,0.00018627,0.018205,0.11634
5651,1.6419e+07,0,0,0,0,0,0.44,0.05,0,0,0.5,0.00016728,0.017816,0.11532
5691,1.6429e+07,0,0,0,0,0,0.44,0.05,0,0,0.5,0.00014676,0.017441,0.11429
5726,1.6439e+07,0,0,0,0,0,0.43,0.05,0,0,0.5,0.00069593,0.025112,0.13365
5767,1.645e+07,0,0,0,0,0,0.44,0.05,0,0,0.5,0.0007168,0.024361,0.13179
5808,1.646e+07,0,0,0,0,0,0.44,0.05,0,0,0.5,0.0007344,0.023636,0.1299
5848,1.647e+07,0,0,0,0,0,0.44,0.05,0,0,0.5,0.0007344,0.023636,0.1299
5890,1.648e+07,0,0,0,0,0,0.45,0.05,0,0,0.5,0.0007516,0.022943,0.12809
5932,1.649e+07,0,0,0,0,0,0.45,0.05,0,0,0.5,0.00076746,0.022279,0.1263
5976,1.65e+07,0,0,0,0,0,0.46,0.05,0,0,0.5,0.00077985,0.021641,0.12452
6017,1.651e+07,0,0,0,0,0,0.46,0.05,0,0,0.5,0.00079392,0.021036,0.12286
