LineNo,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
202,15036236,1,0.89,-0.98,13.65,-0.002197633,0.009851735,0.008449702999999999,-0.7437889,0,0,0.9954575,-0.01,0.09,-0.34,0
305,15069805,1,0.89,-0.98,13.67,-0.003353014,0.01014691,0.003600299,-1.783183,0,0,0.893352,-0.01,0.09,-0.33,0
647,15131902,1,0.9,-0.98,13.71,-0.002560215,0.008009397999999999,-0.0003084402,-2.818485,0,0,0.7535493,-0.01,0.08,-0.32,0
760,15148065,1,0.9,-0.99,13.72,-0.002433698,0.01034667,-0.0008403858,-2.884157,0,0,0.7102962,-0.01,0.08,-0.32,0
873,15163825,1,0.89,-0.99,13.72,-0.001565823,0.01108265,-0.001706602,-2.943739,0,0,0.6689076,-0.01,0.08,-0.32,0
986,15180972,1,0.9,-0.99,13.73,-0.001342655,0.01187219,-0.00279424,-2.987876,0,0,0.6292564,-0.01,0.08,-0.32,0
1217,15259226,1,0.9,-1,13.77,-0.001934613,0.01052662,-0.1225198,-2.638128,0,0,0.5151603,-0.01,0.08,-0.31,0
1601,15414256,1,0.9,-1.01,13.83,-0.000458057,0.01548214,-0.4785335,-2.124658,0,0,0.2886364,-0.01,0.08,-0.3,0
1679,15425231,1,0.9,-1.01,13.84,2.533157e-05,0.01538894,-0.4791707,-2.15157,0,0,0.2584788,-0.01,0.08,-0.3,0
1721,15435203,1,0.9,-1.01,13.85,-0.00058482,0.01558373,-0.4788073,-2.178601,0,0,0.2301961,-0.01,0.08,-0.3,0
1761,15445153,1,0.91,-1.01,13.85,-0.001126254,0.01588844,-0.4784272,-2.191049,0,0,0.2032131,-0.01,0.08,-0.3,0
1802,15458166,1,0.91,-1.01,13.86,-0.0007933716,0.0159732,-0.4766699,-2.210781,0,0,0.1759337,-0.01,0.08,-0.31,0
1845,15471700,1,0.9,-1.01,13.86,-7.488664000000001e-05,0.01550386,-0.4773505,-2.23478,0,0,0.1503674,-0.01,0.08,-0.31,0
1887,15481377,1,0.9,-1.01,13.87,-0.0001555684,0.0156596,-0.4749982,-2.228754,0,0,0.1272434,-0.01,0.08,-0.32,0
1932,15491344,1,0.9,-1.01,13.88,0.001157797,0.01579707,-0.4734344,-2.227973,0,0,0.1224796,-0.01,0.08,-0.32,0
1972,15501391,1,0.91,-1.01,13.89,0.0003983297,0.01635798,-0.4735039,-2.195303,0,0,0.100341,-0.01,0.08,-0.31,0
2013,15511380,1,0.91,-1.01,13.9,0.002325219,0.01659576,-0.4719586,-2.147568,0,0,0.07920921,-0.01,0.08,-0.32,0
2056,15521354,1,0.91,-1.01,13.9,0.003675942,0.01702149,-0.4736251,-2.098992,0,0,0.05896906,-0.01,0.08,-0.32,0
2100,15536972,1,0.92,-1.01,13.92,0.004094203,0.01891067,-0.4736165,-2.028082,0,0,0.03734412,-0.01,0.08,-0.32,0
2144,15546987,1,0.92,-1.01,13.92,0.004652526,0.01941378,-0.473071,-1.968542,0,0,0.0330865,-0.01,0.08,-0.32,0
2184,15556732,1,0.92,-1.01,13.93,0.00533346,0.01928979,-0.4725661,-1.901067,0,0,0.01505765,-0.01,0.08,-0.32,0
2225,15566805,1,0.92,-1.01,13.93,0.006005761,0.01976144,-0.4703868,-1.841488,0,0,-0.002169471,-0.01,0.08,-0.32,0
2266,15576724,1,0.91,-1.02,13.95,0.00546923,0.02191122,-0.4703632,-1.780626,0,0,-0.01864481,-0.01,0.08,-0.32,0
2310,15586742,1,0.91,-1.02,13.95,0.005602735,0.02219838,-0.4700435,-1.711828,0,0,-0.03443103,-0.01,0.08,-0.32,0
2352,15596745,1,0.91,-1.02,13.96,0.003976526,0.02376515,-0.4714339,-1.643788,0,0,-0.04960791,-0.01,0.08,-0.32,0
2393,15607201,1,0.91,-1.02,13.97,0.003660358,0.02345577,-0.4712492,-1.575898,0,0,-0.05479539,-0.01,0.08,-0.32,0
2437,15617308,1,0.91,-1.02,13.98,0.003788721,0.02428053,-0.4717231,-1.512882,0,0,-0.06937216,-0.01,0.08,-0.32,0
2477,15627006,1,0.92,-1.02,13.98,0.003500521,0.02477791,-0.4705234,-1.437408,0,0,-0.08341757,-0.01,0.08,-0.32,0
2515,15637867,1,0.91,-1.02,13.99,0.00322993,0.02514055,-0.4720742,-1.372542,0,0,-0.09625627,-0.01,0.08,-0.32,0
2558,15648017,1,0.91,-1.02,14,0.002894188,0.02522517,-0.4709388,-1.305648,0,0,-0.1009503,-0.01,0.08,-0.32,0
2598,15658156,1,0.92,-1.02,14.01,0.00309724,0.02537245,-0.4714358,-1.234082,0,0,-0.1134175,-0.01,0.08,-0.32,0
