LineNo,TimeUS,RDes,R,ROut,PDes,P,POut,YDes,Y,YOut,ADes,A,AOut
1.7794e+05,5.7825e+07,-5.8864,-9.7177,-0.076387,-5.7709,8.5539,-0.056427,11.436,-0.75469,-0.054229,-52.641,-22.957,0.23194
1.7798e+05,5.7836e+07,-5.4787,-8.698,-0.089346,-6.0602,8.5907,-0.063223,11.435,-0.069441,-0.054457,-54.001,-24.492,0.23136
1.7803e+05,5.7847e+07,-5.044,-8.7689,-0.08705,-6.3134,7.7418,-0.060902,11.548,-2.5887,-0.054199,-55.322,-49.636,0.23065
1.7807e+05,5.7857e+07,-4.266,-10.617,-0.065019,-6.4799,7.1894,-0.06287,11.588,-0.38311,-0.05418,-57.275,-34.431,0.23027
1.7812e+05,5.7867e+07,-4.3407,-1.9545,-0.13953,-6.7012,8.0214,-0.091065,11.638,-0.82003,-0.054387,-58.949,-36.428,0.22973
1.7817e+05,5.7877e+07,-4.6288,-4.9615,-0.098373,-6.78,3.9271,-0.057042,11.796,-3.9293,-0.05326,-60.571,-49.703,0.22906
1.7821e+05,5.7887e+07,-4.3154,-2.8315,-0.12183,-6.8391,3.7016,-0.046281,11.913,-1.9188,-0.052449,-61.55,-67.901,0.22889
1.7826e+05,5.7897e+07,-4.1845,0.43544,-0.17099,-6.9197,3.4317,-0.048141,12.016,-1.1035,-0.052228,-63.097,-29.924,0.22908
1.783e+05,5.7908e+07,-3.7193,-4.1349,-0.1395,-6.8968,-1.1057,-0.021609,12.165,-2.5663,-0.051774,-64.766,-45.092,0.22828
1.7834e+05,5.7926e+07,-3.9822,-10.348,-0.082992,-7.1622,5.8734,-0.091755,12.114,0.44473,-0.052006,-66.249,-68.682,0.22733
1.7839e+05,5.7936e+07,-3.7578,-9.5805,-0.063486,-7.1069,3.7116,-0.062492,12.272,-2.3106,-0.051731,-68.077,-59.171,0.22727
1.7844e+05,5.7947e+07,-3.6283,-4.7322,-0.10244,-7.1489,3.7829,-0.064893,12.299,0.50982,-0.051239,-69.855,-45.659,0.22718
1.7848e+05,5.7957e+07,-3.3427,-3.0969,-0.13838,-7.022,-3.9201,-0.0015625,12.331,-0.42591,-0.051403,-71.791,-60.767,0.22679
1.7853e+05,5.7967e+07,-3.1172,2.7733,-0.18974,-6.9546,-4.4593,0.0069477,12.393,-2.1006,-0.051491,-73.788,-36.538,0.22646
1.7858e+05,5.7977e+07,-2.8228,1.238,-0.18484,-6.9445,-2.9074,-0.020385,12.377,-1.1156,-0.051742,-74.992,-60.082,0.22566
1.7862e+05,5.7987e+07,-3.3162,-6.5152,-0.11539,-6.7808,-5.0198,-0.0025399,12.337,-0.23784,-0.051915,-76.162,-71.069,0.22562
1.7866e+05,5.7997e+07,-2.6623,-11.053,-0.083245,-6.5765,-4.5254,-0.015333,12.341,-0.44909,-0.052368,-77.322,-54.714,0.22588
1.7871e+05,5.8008e+07,-2.016,-10.809,-0.099216,-6.3048,-8.116,0.0058589,12.283,0.58468,-0.052496,-77.912,-86.879,0.22568
1.7875e+05,5.8019e+07,-1.0401,-12.49,-0.056681,-5.9498,-8.6846,0.010361,12.398,-3.7469,-0.052581,-78.459,-67.034,0.22577
1.7879e+05,5.8031e+07,-0.39066,-13.216,-0.053605,-5.6273,-9.2866,0.011094,12.334,0.6294,-0.052493,-79.205,-34.288,0.22558
1.7884e+05,5.8042e+07,3.4082,-15.458,-0.038234,-5.3439,-5.1149,-0.033852,12.364,-0.28326,-0.052939,-80.283,-38.858,0.22471
1.7888e+05,5.8052e+07,4.0322,-17.366,-0.01303,-5.0376,-7.8429,-0.014653,12.39,-1.6793,-0.052434,-80.728,-57.32,0.22366
1.7893e+05,5.8062e+07,1.5918,-13.838,-0.041757,-4.8415,-1.0748,-0.071435,12.298,0.54195,-0.052558,-80.959,-79.491,0.22341
1.7897e+05,5.8072e+07,2.0327,-12.463,-0.058414,-4.5393,-1.6729,-0.06925,12.261,1.1344,-0.052774,-81.783,-40.911,0.22358
1.7902e+05,5.8082e+07,2.4335,-8.1386,-0.093888,-4.1237,-4.9794,-0.028035,12.229,0.76978,-0.052985,-81.641,-88.002,0.22306
1.7906e+05,5.8093e+07,2.8711,-6.0963,-0.12093,-3.9471,-1.0409,-0.056044,12.154,1.5553,-0.053484,-82.091,-68.359,0.22347
1.7911e+05,5.8103e+07,2.3733,-6.539,-0.11587,-3.6772,-5.3716,-0.016418,12.005,2.8218,-0.054127,-82.045,-72.364,0.22348
1.7915e+05,5.8114e+07,2.883,-5.8957,-0.12518,-3.3446,-6.7592,0.0083247,11.964,-0.25863,-0.055151,-81.636,-117.55,0.22367
1.792e+05,5.8129e+07,3.5933,-6.6833,-0.10585,-3.3611,-7.5684,0.0041634,11.782,1.8659,-0.05542,-81.179,-70.032,0.22536
1.7924e+05,5.8139e+07,3.9759,-7.4057,-0.081689,-3.1431,-7.2539,-0.0080167,11.717,-0.13247,-0.055343,-79.75,-87.028,0.22629
1.7929e+05,5.8149e+07,3.9508,-8.3312,-0.070076,-3.0419,-1.602,-0.056387,11.514,4.4192,-0.056655,-77.265,-125.49,0.22785
1.7933e+05,5.816e+07,4.5256,-9.948,-0.062131,-2.8322,-1.192,-0.041617,11.391,2.8857,-0.057358,-75.821,-66.962,0.22999
1.7938e+05,5.817e+07,4.7932,-5.7792,-0.094263,-2.6581,-0.94303,-0.042396,11.334,1.2959,-0.057784,-73.487,-93.646,0.23071
1.7942e+05,5.818e+07,3.9905,-8.8696,-0.080991,-2.5486,-1.1603,-0.030305,11.181,3.0661,-0.058502,-71.404,-80.76,0.23165
1.7947e+05,5.819e+07,4.3384,-12.418,-0.048232,-2.4409,0.43021,-0.059032,10.958,5.2086,-0.059996,-69.876,-51.758,0.23228
1.7952e+05,5.82e+07,5.6007,-11.371,-0.043074,-1.9936,0.89103,-0.060192,10.874,2.8888,-0.060622,-67.422,-77.934,0.23204
1.7956e+05,5.821e+07,6.0693,-9.7895,-0.039487,-1.92,3.0953,-0.069486,10.701,3.9227,-0.06129,-64.866,-89.879,0.23262
1.796e+05,5.822e+07,4.7776,-4.7894,-0.095031,-1.8178,-0.4039,-0.042986,10.457,4.9289,-0.062498,-63.416,-37.998,0.23351
1.7965e+05,5.8232e+07,4.88,-1.6831,-0.11339,-1.598,-4.2896,-0.012698,10.301,2.0052,-0.063407,-61.915,-65.114,0.23307
1.7969e+05,5.8247e+07,5.3537,2.931,-0.13973,-1.3442,-7.0662,0.02027,10.086,2.8587,-0.064041,-59.845,-52.101,0.2335
1.7974e+05,5.8257e+07,5.1488,1.6425,-0.12233,-1.2806,-8.3153,0.039503,9.8686,4.0935,-0.065365,-57.888,-40.344,0.23324
1.7978e+05,5.8267e+07,4.7779,4.3637,-0.14163,-1.5172,-1.3418,-0.018204,9.7706,-0.25808,-0.065682,-55.22,-71.168,0.23311
1.7982e+05,5.8277e+07,4.9569,0.42914,-0.10919,-1.535,0.91549,-0.042311,9.6678,1.2116,-0.065658,-53.273,-29.563,0.23381
1.7987e+05,5.8288e+07,5.0919,-2.2192,-0.068853,-1.4747,1.9674,-0.049416,9.447,3.7793,-0.06629,-51.599,-28.462,0.2333
1.7992e+05,5.8298e+07,5.0603,-4.5961,-0.035968,-1.5414,5.3962,-0.080354,9.3462,2.8066,-0.066882,-49.076,-75.526,0.23276
1.7996e+05,5.8308e+07,4.4155,-2.5974,-0.059249,-1.5877,3.128,-0.05383,9.2323,2.8699,-0.066922,-47.731,-22.132,0.23343
1.8001e+05,5.8319e+07,4.2846,2.5115,-0.10713,-1.5841,5.4227,-0.078317,9.1403,3.1789,-0.067495,-46.27,-36.306,0.23274
1.8005e+05,5.8329e+07,4.2574,3.1961,-0.116,-1.5838,6.2216,-0.086378,9.0669,2.277,-0.06713,-44.032,-83.649,0.23241
1.801e+05,5.8346e+07,4.0381,-0.30955,-0.078156,-1.6071,3.5633,-0.060542,8.8704,2.2639,-0.06807,-42.218,-51.206,0.233
1.8014e+05,5.8358e+07,3.3614,-0.33672,-0.094539,-1.0976,-3.1537,0.006632,8.8968,0.81993,-0.067823,-40.739,-61.148,0.23342
1.8019e+05,5.8368e+07,3.4427,-1.0499,-0.097001,-1.1841,-1.1977,-0.014745,8.77,1.9826,-0.068165,-38.711,-32.444,0.23381
1.8023e+05,5.8378e+07,4.0742,-0.38593,-0.099519,-1.2913,0.61027,-0.037582,8.6402,2.4776,-0.068329,-36.421,-51.395,0.23389
1.8028e+05,5.8389e+07,4.2402,-3.944,-0.050145,-1.2342,-1.8316,-0.015555,8.5731,1.8083,-0.06881,-34.876,-17.335,0.23426
1.8032e+05,5.8399e+07,4.1615,1.0246,-0.094927,-1.1685,-2.2561,-0.010643,8.5844,-0.8306,-0.068466,-32.756,-54.965,0.23386
1.8037e+05,5.8409e+07,4.0051,6.4696,-0.14742,-1.0396,-5.2164,0.013679,8.4698,1.7325,-0.068486,-30.826,-56.896,0.23439
1.8041e+05,5.8419e+07,3.5124,5.8076,-0.14358,-0.93675,-6.2209,0.016695,8.4796,-1.2273,-0.068359,-29.397,-30.162,0.23487
1.8046e+05,5.8429e+07,3.4112,7.7723,-0.16738,-0.80344,-4.609,-0.0032355,8.4439,0.20692,-0.067842,-27.568,-50.237,0.23491
1.805e+05,5.844e+07,3.4147,3.9101,-0.13273,-0.47309,-7.408,0.019232,8.4346,0.59521,-0.067979,-25.489,-57.746,0.2355
1.8055e+05,5.845e+07,3.88,4.9753,-0.14285,0.062984,-7.9033,0.022236,8.4644,-1.2155,-0.067847,-23.47,-56.412,0.23664
1.8059e+05,5.8462e+07,3.8781,2.5163,-0.12843,0.17974,-10.512,0.036558,8.3933,0.30086,-0.067462,-21.84,-39.71,0.2379
1.8063e+05,5.8473e+07,3.6839,-0.93427,-0.10652,0.52771,-7.4174,0.0029978,8.298,1.0604,-0.067582,-20.023,-49.855,0.23896
1.8068e+05,5.8483e+07,3.5942,0.83858,-0.11707,0.87808,-4.4373,-0.031167,8.2351,1.3015,-0.067855,-17.48,-43.25,0.24036
1.8072e+05,5.8493e+07,3.6402,-2.72,-0.08122,1.2815,-8.7668,-0.00021065,8.1815,1.341,-0.068055,-14.672,-37.382,0.24152
1.8077e+05,5.8503e+07,3.7888,-4.0022,-0.065133,1.6333,-6.4156,-0.021081,8.1878,-0.10207,-0.067685,-11.186,-78.861,0.24271
1.8082e+05,5.8513e+07,3.8781,-1.8384,-0.080828,2.1125,-5.5045,-0.030514,8.0858,3.2647,-0.067949,-8.7275,-40.236,0.24474
1.8086e+05,5.8523e+07,4.0876,-6.3401,-0.0434,2.711,-8.671,-0.009983,8.0692,1.5621,-0.068247,-6.1216,-61.543,0.24579
1.809e+05,5.8533e+07,3.0615,-5.0204,-0.062645,3.1729,-9.8412,0.012561,8.0035,1.9729,-0.068333,-2.848,-83.756,0.24718
1.8095e+05,5.8543e+07,2.8887,0.70056,-0.11798,3.4518,-8.071,-0.0057056,7.9146,2.9375,-0.068743,-0.4687,-16.152,0.24919
1.8099e+05,5.8555e+07,3.1525,-1.6693,-0.096513,4.1925,-13.649,0.044961,7.8317,1.6948,-0.068981,1.932,-61.283,0.24985
1.8104e+05,5.8565e+07,5.7731,1.9265,-0.10516,4.672,-12.692,0.052392,7.6411,1.5187,-0.069778,4.5931,-35.895,0.25147
1.8108e+05,5.8575e+07,4.6955,0.22211,-0.096968,4.9684,-12.721,0.048405,7.4456,3.4974,-0.070644,6.6275,4.4359,0.25242
1.8113e+05,5.8586e+07,4.7556,-3.5683,-0.059337,5.2754,-6.7764,0.0035709,7.2554,2.6626,-0.071518,8.9934,-23.564,0.25225
1.8117e+05,5.8596e+07,4.6954,1.4523,-0.10145,5.71,-5.8762,-0.0062436,7.0523,4.3139,-0.072346,11.02,-6.7045,0.25252
1.8122e+05,5.8607e+07,4.5658,3.476,-0.11675,6.2948,-7.6723,0.010665,6.7987,5.6322,-0.073718,12.092,1.7977,0.25258
1.8126e+05,5.8617e+07,4.3324,4.0095,-0.12647,6.7423,-11.641,0.051443,6.6656,3.4708,-0.074485,13.587,-16.035,0.25218
1.8131e+05,5.8627e+07,6.0914,9.0353,-0.17235,7.2294,-10.329,0.047579,6.3673,4.843,-0.075858,15.223,-25.265,0.25217
1.8135e+05,5.8638e+07,6.1639,1.09,-0.087265,7.5951,-8.1752,0.032634,6.0642,6.0206,-0.077424,16.066,0.72756,0.25222
1.814e+05,5.8652e+07,7.7452,2.3961,-0.09626,7.6309,-5.3976,0.017682,5.4816,6.6787,-0.079905,17.758,-13.243,0.25182
1.8144e+05,5.8666e+07,7.5129,0.11712,-0.068662,7.9572,-6.9386,0.038615,4.9704,6.5043,-0.082365,19.154,-16.489,0.25198
1.8149e+05,5.8679e+07,7.1836,-0.61871,-0.05759,8.0641,2.1076,-0.042115,4.4047,9.0058,-0.085104,21.72,-34.034,0.25301
1.8153e+05,5.869e+07,8.0632,-0.74234,-0.056155,8.1927,3.3025,-0.049567,3.9571,10.09,-0.087343,23.566,-32.676,0.25457
1.8158e+05,5.87e+07,7.8295,-2.1593,-0.034068,8.2846,0.35779,-0.012376,3.5692,8.7406,-0.089272,25.373,-20.506,0.25596
1.8163e+05,5.871e+07,6.4,3.3512,-0.102,8.2737,1.937,-0.023333,3.1307,10.709,-0.091868,27.884,-47.016,0.25719
1.8167e+05,5.8721e+07,6.4013,2.8961,-0.094956,8.3538,-1.322,0.019961,2.6335,9.6576,-0.094208,29.603,-12.713,0.2588
1.8172e+05,5.8732e+07,6.1026,5.075,-0.10631,8.3776,-6.2939,0.059232,2.1972,8.8912,-0.096329,31.999,-40.652,0.25971
1.8176e+05,5.8742e+07,5.7271,10.44,-0.14943,8.3069,-3.8708,0.029489,1.7083,7.6548,-0.098147,33.656,-7.634,0.26116
1.8181e+05,5.8753e+07,5.5813,6.2348,-0.12397,8.2104,-3.127,0.025909,0.98821,12.672,-0.10123,35.668,-8.4705,0.26178
1.8185e+05,5.8766e+07,6.981,0.87371,-0.067605,8.4562,-0.5149,0.0066324,0.39533,9.4086,-0.10373,36.63,-11.198,0.2624
1.8189e+05,5.8776e+07,6.8141,3.5377,-0.1007,8.2685,2.8967,-0.013135,-0.16579,12.572,-0.1066,37.577,33.916,0.26229
1.8194e+05,5.8787e+07,4.4903,3.9071,-0.113,8.2084,2.2265,-0.0093104,-0.63963,10.314,-0.10861,39.518,-27.551,0.26152
