LineNo,TimeUS,IMU,VibeX,VibeY,VibeZ,Clip
214,1.5038e+07,2,0,0,0,0
317,1.5072e+07,2,0,0,0,0
659,1.5134e+07,2,0,0,0,0
772,1.515e+07,2,0,0,0,0
885,1.5165e+07,2,0,0,0,0
998,1.5183e+07,2,0,0,0,0
1229,1.5261e+07,2,0,0,0,0
1613,1.5416e+07,2,0,0,0,0
1691,1.5427e+07,2,0,0,0,0
1733,1.5437e+07,2,0,0,0,0
1773,1.5447e+07,2,0,0,0,0
1814,1.5461e+07,2,0,0,0,0
1857,1.5473e+07,2,0,0,0,0
1899,1.5484e+07,2,0,0,0,0
1944,1.5493e+07,2,0,0,0,0
1984,1.5503e+07,2,0,0,0,0
2025,1.5514e+07,2,0,0,0,0
2068,1.5524e+07,2,0,0,0,0
2112,1.5539e+07,2,0,0,0,0
2156,1.5549e+07,2,0,0,0,0
2196,1.5559e+07,2,0,0,0,0
2237,1.5569e+07,2,0,0,0,0
2278,1.5579e+07,2,0,0,0,0
2322,1.5589e+07,2,0,0,0,0
2364,1.5599e+07,2,0,0,0,0
2405,1.5609e+07,2,0,0,0,0
2449,1.5619e+07,2,0,0,0,0
2489,1.5629e+07,2,0,0,0,0
2527,1.564e+07,2,0,0,0,0
2570,1.565e+07,2,0,0,0,0
2610,1.566e+07,2,0,0,0,0
2651,1.567e+07,2,0,0,0,0
2691,1.568e+07,2,0,0,0,0
2736,1.569e+07,2,0,0,0,0
2777,1.57e+07,2,0,0,0,0
2818,1.571e+07,2,0,0,0,0
2859,1.572e+07,2,0,0,0,0
2899,1.573e+07,2,0,0,0,0
2941,1.574e+07,2,0,0,0,0
2983,1.575e+07,2,0,0,0,0
3022,1.576e+07,2,0,0,0,0
3064,1.577e+07,2,0,0,0,0
3104,1.578e+07,2,0,0,0,0
3150,1.5791e+07,2,0,0,0,0
3192,1.58e+07,2,0,0,0,0
3233,1.581e+07,2,0,0,0,0
3274,1.5821e+07,2,0,0,0,0
3316,1.5834e+07,2,0,0,0,0
3353,1.5844e+07,2,0,0,0,0
3395,1.5854e+07,2,0,0,0,0
3436,1.5864e+07,2,0,0,0,0
3476,1.5874e+07,2,0,0,0,0
3517,1.5884e+07,2,0,0,0,0
3561,1.5894e+07,2,0,0,0,0
3602,1.5904e+07,2,0,0,0,0
3644,1.5914e+07,2,0,0,0,0
3686,1.5924e+07,2,0,0,0,0
3724,1.5934e+07,2,0,0,0,0
3761,1.5945e+07,2,0,0,0,0
3803,1.5955e+07,2,0,0,0,0
3844,1.5965e+07,2,0,0,0,0
3884,1.5975e+07,2,0,0,0,0
3925,1.5985e+07,2,0,0,0,0
3969,1.5995e+07,2,0,0,0,0
4010,1.6005e+07,2,0,0,0,0
4053,1.6015e+07,2,0,0,0,0
4094,1.6025e+07,2,0,0,0,0
4135,1.6035e+07,2,0,0,0,0
4172,1.6045e+07,2,0,0,0,0
4214,1.6055e+07,2,0,0,0,0
4258,1.6068e+07,2,0,0,0,0
4300,1.6078e+07,2,0,0,0,0
4340,1.6088e+07,2,0,0,0,0
4385,1.6097e+07,2,0,0,0,0
4426,1.6108e+07,2,0,0,0,0
4466,1.6118e+07,2,0,0,0,0
4512,1.6133e+07,2,0,0,0,0
4555,1.6145e+07,2,0,0,0,0
4595,1.6156e+07,2,0,0,0,0
4636,1.6166e+07,2,0,0,0,0
4678,1.6176e+07,2,0,0,0,0
4718,1.6186e+07,2,0,0,0,0
4763,1.6196e+07,2,0,0,0,0
4803,1.6206e+07,2,0,0,0,0
4845,1.6216e+07,2,0,0,0,0
4885,1.6226e+07,2,0,0,0,0
4926,1.6236e+07,2,0,0,0,0
4964,1.6246e+07,2,0,0,0,0
5001,1.6256e+07,2,0,0,0,0
5043,1.6266e+07,2,0,0,0,0
5085,1.6276e+07,2,0,0,0,0
5125,1.6286e+07,2,0,0,0,0
5170,1.6296e+07,2,0,0,0,0
5211,1.6306e+07,2,0,0,0,0
5252,1.6316e+07,2,0,0,0,0
5292,1.6326e+07,2,0,0,0,0
5335,1.6338e+07,2,0,0,0,0
5372,1.6348e+07,2,0,0,0,0
5417,1.6361e+07,2,0,0,0,0
5458,1.6371e+07,2,0,0,0,0
5498,1.6381e+07,2,0,0,0,0
5540,1.6391e+07,2,0,0,0,0
5584,1.6401e+07,2,0,0,0,0
5626,1.6411e+07,2,0,0,0,0
5667,1.6421e+07,2,0,0,0,0
5707,1.6431e+07,2,0,0,0,0
5742,1.6441e+07,2,0,0,0,0
5783,1.6452e+07,2,0,0,0,0
5824,1.6462e+07,2,0,0,0,0
5864,1.6472e+07,2,0,0,0,0
5906,1.6482e+07,2,0,0,0,0
5948,1.6492e+07,2,0,0,0,0
5992,1.6502e+07,2,0,0,0,0
6035,1.6512e+07,2,0,0,0,0
6075,1.6522e+07,2,0,0,0,0
6119,1.6533e+07,2,0,0,0,0
6156,1.6543e+07,2,0,0,0,0
6196,1.6553e+07,2,0,0,0,0
6236,1.6563e+07,2,0,0,0,0
6277,1.6573e+07,2,0,0,0,0
6318,1.6583e+07,2,0,0,0,0
6359,1.6593e+07,2,0,0,0,0
6407,1.6603e+07,2,0,0,0,0
6449,1.6614e+07,2,0,0,0,0
6490,1.6624e+07,2,0,0,0,0
6531,1.6634e+07,2,0,0,0,0
6569,1.6646e+07,2,0,0,0,0
6610,1.6656e+07,2,0,0,0,0
6650,1.6666e+07,2,0,0,0,0
6692,1.6676e+07,2,0,0,0,0
6732,1.6686e+07,2,0,0,0,0
6777,1.6696e+07,2,0,0,0,0
6819,1.6706e+07,2,0,0,0,0
6860,1.6716e+07,2,0,0,0,0
6901,1.6726e+07,2,0,0,0,0
6943,1.6736e+07,2,0,0,0,0
6978,1.6746e+07,2,0,0,0,0
7018,1.6756e+07,2,0,0,0,0
7059,1.6766e+07,2,0,0,0,0
7100,1.6776e+07,2,0,0,0,0
7141,1.6786e+07,2,0,0,0,0
7188,1.6797e+07,2,0,0,0,0
7229,1.6806e+07,2,0,0,0,0
7271,1.6816e+07,2,0,0,0,0
7312,1.6826e+07,2,0,0,0,0
7352,1.6836e+07,2,0,0,0,0
7393,1.6846e+07,2,0,0,0,0
7430,1.6857e+07,2,0,0,0,0
7471,1.6866e+07,2,0,0,0,0
7513,1.6877e+07,2,0,0,0,0
7553,1.6887e+07,2,0,0,0,0
7597,1.6897e+07,2,0,0,0,0
7639,1.6907e+07,2,0,0,0,0
7681,1.6917e+07,2,0,0,0,0
7722,1.6927e+07,2,0,0,0,0
7764,1.694e+07,2,0,0,0,0
7805,1.695e+07,2,0,0,0,0
7842,1.696e+07,2,0,0,0,0
7884,1.697e+07,2,0,0,0,0
