LineNo,TimeUS,I,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOX,MOY,MOZ,Health,S
1906,1.5487e+07,1,146,-4,291,47,-57,-99,0,0,0,1,1.5487e+07
2291,1.5588e+07,1,148,-3,292,47,-57,-99,0,0,0,1,1.5588e+07
2705,1.5689e+07,1,145,-5,289,47,-57,-99,0,0,0,1,1.5689e+07
3117,1.5789e+07,1,146,-5,290,47,-57,-99,0,0,0,1,1.5789e+07
3526,1.5891e+07,1,147,-6,288,47,-57,-99,0,0,0,1,1.5891e+07
3934,1.5992e+07,1,145,-8,287,47,-57,-99,0,0,0,1,1.5992e+07
4347,1.6092e+07,1,146,-3,287,47,-57,-99,0,0,0,1,1.6092e+07
4728,1.6193e+07,1,145,-7,289,47,-57,-99,0,0,0,1,1.6193e+07
5134,1.6293e+07,1,146,-6,293,47,-57,-99,0,0,0,1,1.6293e+07
5543,1.6393e+07,1,146,-7,290,47,-57,-99,0,0,0,1,1.6393e+07
5951,1.6494e+07,1,146,-5,290,47,-57,-99,0,0,0,1,1.6494e+07
6362,1.6595e+07,1,146,-4,289,47,-57,-99,0,0,0,1,1.6595e+07
6746,1.6695e+07,1,146,-8,290,47,-57,-99,0,0,0,1,1.6695e+07
7155,1.6796e+07,1,146,-5,290,47,-57,-99,0,0,0,1,1.6796e+07
7566,1.6896e+07,1,145,-5,292,47,-57,-99,0,0,0,1,1.6896e+07
7976,1.6997e+07,1,146,-5,293,47,-57,-99,0,0,0,1,1.6996e+07
8385,1.7097e+07,1,145,-8,291,47,-57,-99,0,0,0,1,1.7097e+07
8793,1.7198e+07,1,144,-6,299,47,-57,-99,0,0,0,1,1.7197e+07
9197,1.7299e+07,1,144,-8,298,47,-57,-99,0,0,0,1,1.7299e+07
9518,1.7398e+07,1,143,-12,296,47,-57,-99,0,0,0,1,1.7398e+07
9925,1.7498e+07,1,144,-10,292,47,-57,-99,0,0,0,1,1.7498e+07
