LineNo,TimeUS,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
1.5951e+05,5.3429e+07,43.601,13.482,89.24,4.2742,4.2742
1.5956e+05,5.3438e+07,43.601,13.482,89.24,4.2738,4.2738
1.596e+05,5.3449e+07,43.601,13.482,89.24,4.2734,4.2734
1.5965e+05,5.3459e+07,43.601,13.482,89.24,4.2728,4.2728
1.5969e+05,5.347e+07,43.601,13.482,89.24,4.2719,4.2719
1.5974e+05,5.3479e+07,43.601,13.482,89.24,4.2714,4.2714
1.5978e+05,5.349e+07,43.601,13.482,89.24,4.2707,4.2707
1.5982e+05,5.3505e+07,43.601,13.482,89.24,4.2695,4.2695
1.5987e+05,5.3515e+07,43.601,13.482,89.24,4.2687,4.2687
1.5992e+05,5.3526e+07,43.601,13.482,89.24,4.268,4.268
1.5996e+05,5.3537e+07,43.601,13.482,89.24,4.2673,4.2673
1.6001e+05,5.3546e+07,43.601,13.482,89.25,4.2662,4.2662
1.6005e+05,5.3557e+07,43.601,13.482,89.25,4.2654,4.2654
1.601e+05,5.3566e+07,43.601,13.482,89.25,4.2646,4.2646
1.6014e+05,5.3577e+07,43.601,13.482,89.25,4.2638,4.2638
1.6019e+05,5.3587e+07,43.601,13.482,89.25,4.2628,4.2628
1.6023e+05,5.3597e+07,43.601,13.482,89.25,4.2617,4.2617
1.6027e+05,5.3611e+07,43.601,13.482,89.25,4.2604,4.2604
1.6032e+05,5.3621e+07,43.601,13.482,89.25,4.26,4.26
1.6036e+05,5.3631e+07,43.601,13.482,89.25,4.2596,4.2596
1.6041e+05,5.3641e+07,43.601,13.482,89.25,4.2592,4.2592
1.6045e+05,5.3651e+07,43.601,13.482,89.25,4.2587,4.2587
1.605e+05,5.3662e+07,43.601,13.482,89.25,4.2581,4.2581
1.6054e+05,5.3672e+07,43.601,13.482,89.25,4.2575,4.2575
1.6059e+05,5.3683e+07,43.601,13.482,89.25,4.2564,4.2564
1.6063e+05,5.3693e+07,43.601,13.482,89.25,4.2558,4.2558
1.6068e+05,5.3703e+07,43.601,13.482,89.25,4.2552,4.2552
1.6072e+05,5.3718e+07,43.601,13.482,89.25,4.254,4.254
1.6077e+05,5.373e+07,43.601,13.482,89.25,4.2539,4.2539
1.6081e+05,5.374e+07,43.601,13.482,89.22,4.2539,4.2539
1.6086e+05,5.375e+07,43.601,13.482,89.22,4.2538,4.2538
1.609e+05,5.3761e+07,43.601,13.482,89.22,4.2537,4.2537
1.6095e+05,5.3771e+07,43.601,13.482,89.22,4.2526,4.2526
1.6099e+05,5.3781e+07,43.601,13.482,89.22,4.2525,4.2525
1.6104e+05,5.3791e+07,43.601,13.482,89.22,4.2523,4.2523
1.6108e+05,5.3801e+07,43.601,13.482,89.22,4.252,4.252
1.6112e+05,5.3813e+07,43.601,13.482,89.22,4.2517,4.2517
1.6117e+05,5.3824e+07,43.601,13.482,89.22,4.2512,4.2512
1.6121e+05,5.3836e+07,43.601,13.482,89.22,4.2507,4.2507
1.6126e+05,5.3846e+07,43.601,13.482,89.22,4.2503,4.2503
