LineNo,TimeUS,C,IVN0,IVN1,IVN2,IVN3,IVN4,IVE0,IVE1,IVE2,IVE3,IVE4
28613,2.2138e+07,1,0,0,0,0,0,0,0,0,0,0
28657,2.2148e+07,1,0,0,0,0,0,0,0,0,0,0
28702,2.2162e+07,1,0,0,0,0,0,0,0,0,0,0
28749,2.2175e+07,1,0,0,0,0,0,0,0,0,0,0
28794,2.2185e+07,1,0,0,0,0,0,0,0,0,0,0
28840,2.2195e+07,1,0,0,0,0,0,0,0,0,0,0
28881,2.2206e+07,1,0,0,0,0,0,0,0,0,0,0
28926,2.2215e+07,1,0,0,0,0,0,0,0,0,0,0
28975,2.2225e+07,1,0,0,0,0,0,0,0,0,0,0
29020,2.2235e+07,1,0,0,0,0,0,0,0,0,0,0
29066,2.2246e+07,1,0,0,0,0,0,0,0,0,0,0
29110,2.2256e+07,1,0,0,0,0,0,0,0,0,0,0
29155,2.2266e+07,1,0,0,0,0,0,0,0,0,0,0
29193,2.2277e+07,1,0,0,0,0,0,0,0,0,0,0
29241,2.229e+07,1,0,0,0,0,0,0,0,0,0,0
29285,2.23e+07,1,0,0,0,0,0,0,0,0,0,0
29330,2.231e+07,1,0,0,0,0,0,0,0,0,0,0
29375,2.232e+07,1,0,0,0,0,0,0,0,0,0,0
29424,2.233e+07,1,0,0,0,0,0,0,0,0,0,0
29472,2.2341e+07,1,0,0,0,0,0,0,0,0,0,0
29516,2.2351e+07,1,0.030482,-0.011165,-0.012507,0.028311,0.054879,0.018722,0.0066005,-0.036754,-0.051427,-0.017141
29561,2.2361e+07,1,0.030482,-0.011165,-0.012507,0.028311,0.054879,0.018722,0.0066005,-0.036754,-0.051427,-0.017141
29603,2.2371e+07,1,0.030482,-0.011165,-0.012507,0.028311,0.054879,0.018722,0.0066005,-0.036754,-0.051427,-0.017141
29647,2.2381e+07,1,0.030482,-0.011165,-0.012507,0.028311,0.054879,0.018722,0.0066005,-0.036754,-0.051427,-0.017141
29689,2.2391e+07,1,0.030482,-0.011165,-0.012507,0.028311,0.054879,0.018722,0.0066005,-0.036754,-0.051427,-0.017141
