LineNo,TimeUS,C,Cnt,IMUMin,IMUMax,EKFMin,EKFMax,AngMin,AngMax,VMin,VMax
6399,1.6602e+07,1,382,0.0025,0.0025,0.012386,0.014359,0.010805,0.035001,0.009931,0.035027
26463,2.1611e+07,1,371,0.0025,0.0025,0.012944,0.014191,0.01076,0.02317,0.009175,0.023142
47725,2.6619e+07,1,369,0.0025,0.0025,0.013065,0.014286,0.01078,0.024753,0.009965,0.024075
68648,3.162e+07,1,371,0.0025,0.0025,0.012983,0.014076,0.010769,0.024042,0.00946,0.024042
89549,3.6629e+07,1,370,0.0025,0.0025,0.013107,0.014175,0.010766,0.024036,0.009968,0.02407
1.1048e+05,4.1637e+07,1,366,0.0025,0.0025,0.013098,0.014474,0.010755,0.024027,0.009953,0.024043
1.3136e+05,4.6645e+07,1,374,0.0025,0.0025,0.013029,0.013854,0.010786,0.024027,0.00893,0.024027
1.521e+05,5.1654e+07,1,376,0.0025,0.0025,0.012744,0.013767,0.010756,0.022979,0.009953,0.023057
1.7307e+05,5.6663e+07,1,362,0.0025,0.0025,0.013442,0.014207,0.010767,0.025195,0.009672,0.024186
1.9393e+05,6.1667e+07,1,370,0.0025,0.0025,0.013054,0.014237,0.010762,0.023736,0.009082,0.024686
2.1478e+05,6.6673e+07,1,365,0.0025,0.0025,0.013064,0.014444,0.010753,0.025071,0.009025,0.025004
2.3571e+05,7.1676e+07,1,365,0.0025,0.0025,0.013022,0.014615,0.010764,0.024218,0.00995,0.024249
2.5711e+05,7.6685e+07,1,377,0.0025,0.0025,0.012768,0.013681,0.010767,0.023991,0.009962,0.023991
2.7858e+05,8.1695e+07,1,374,0.0025,0.0025,0.013065,0.013862,0.010764,0.024206,0.00993,0.024226
2.9992e+05,8.67e+07,1,379,0.0025,0.0025,0.012775,0.013776,0.01075,0.022175,0.009929,0.022964
