LineNo,TimeUS,I,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOX,MOY,MOZ,Health,S
1907,1.5487e+07,2,128,-39,384,-399,44,42,0,0,0,1,1.5487e+07
2292,1.5588e+07,2,133,-44,384,-399,44,42,0,0,0,1,1.5588e+07
2706,1.5689e+07,2,134,-35,378,-399,44,42,0,0,0,1,1.5689e+07
3118,1.5789e+07,2,130,-45,378,-399,44,42,0,0,0,1,1.5789e+07
3527,1.5891e+07,2,123,-46,392,-399,44,42,0,0,0,1,1.5891e+07
3935,1.5992e+07,2,127,-43,379,-399,44,42,0,0,0,1,1.5992e+07
4348,1.6092e+07,2,131,-39,378,-399,44,42,0,0,0,1,1.6092e+07
4729,1.6193e+07,2,123,-41,386,-399,44,42,0,0,0,1,1.6193e+07
5135,1.6293e+07,2,135,-43,391,-399,44,42,0,0,0,1,1.6293e+07
5544,1.6393e+07,2,122,-39,384,-399,44,42,0,0,0,1,1.6393e+07
5952,1.6494e+07,2,133,-38,386,-399,44,42,0,0,0,1,1.6494e+07
6363,1.6595e+07,2,130,-43,380,-399,44,42,0,0,0,1,1.6595e+07
6747,1.6695e+07,2,130,-39,379,-399,44,42,0,0,0,1,1.6695e+07
7156,1.6796e+07,2,130,-36,373,-399,44,42,0,0,0,1,1.6796e+07
7567,1.6896e+07,2,129,-35,381,-399,44,42,0,0,0,1,1.6896e+07
7977,1.6997e+07,2,129,-42,378,-399,44,42,0,0,0,1,1.6997e+07
8386,1.7097e+07,2,126,-43,378,-399,44,42,0,0,0,1,1.7097e+07
8794,1.7198e+07,2,127,-37,383,-399,44,42,0,0,0,1,1.7198e+07
9198,1.7299e+07,2,134,-40,383,-399,44,42,0,0,0,1,1.7299e+07
9519,1.7398e+07,2,125,-45,387,-399,44,42,0,0,0,1,1.7398e+07
9926,1.7498e+07,2,125,-48,384,-399,44,42,0,0,0,1,1.7498e+07
10336,1.7599e+07,2,126,-49,389,-399,44,42,0,0,0,1,1.7599e+07
10717,1.7699e+07,2,123,-45,384,-399,44,42,0,0,0,1,1.7699e+07
11130,1.78e+07,2,122,-44,376,-399,44,42,0,0,0,1,1.78e+07
11543,1.7901e+07,2,129,-49,389,-399,44,42,0,0,0,1,1.7901e+07
11957,1.8002e+07,2,129,-41,378,-399,44,42,0,0,0,1,1.8002e+07
12339,1.8102e+07,2,131,-44,387,-399,44,42,0,0,0,1,1.8102e+07
12751,1.8203e+07,2,129,-48,387,-399,44,42,0,0,0,1,1.8203e+07
13157,1.8304e+07,2,129,-42,382,-399,44,42,0,0,0,1,1.8304e+07
13566,1.8404e+07,2,127,-48,384,-399,44,42,0,0,0,1,1.8404e+07
13973,1.8505e+07,2,131,-43,386,-399,44,42,0,0,0,1,1.8505e+07
14357,1.8606e+07,2,128,-45,388,-399,44,42,0,0,0,1,1.8606e+07
14768,1.8707e+07,2,130,-41,386,-399,44,42,0,0,0,1,1.8707e+07
15175,1.8808e+07,2,129,-45,382,-399,44,42,0,0,0,1,1.8808e+07
15585,1.8909e+07,2,131,-42,377,-399,44,42,0,0,0,1,1.8909e+07
15996,1.901e+07,2,134,-42,377,-399,44,42,0,0,0,1,1.901e+07
