LineNo,TimeUS,C,YC,YCS,Y0,Y1,Y2,Y3,Y4,W0,W1,W2,W3,W4
28603,2.2138e+07,0,0,4.756,216,288,0,72,144,0.2,0.2,0.2,0.2,0.2
28647,2.2148e+07,0,147.28,14.275,216.01,288.01,0.0065767,72.007,144.01,0.2,0.2,0.2,0.2,0.2
28692,2.2162e+07,0,180.72,15.011,216.02,288.02,0.023327,72.023,144.02,0.2,0.2,0.2,0.2,0.2
28739,2.2175e+07,0,172.44,14.755,215.99,287.99,359.99,71.99,143.99,0.2,0.2,0.2,0.2,0.2
28784,2.2185e+07,0,153.21,14.32,216.02,288.02,0.018981,72.019,144.02,0.2,0.2,0.2,0.2,0.2
28830,2.2195e+07,0,155.19,14.344,216,288,0.003013,72.003,144,0.2,0.2,0.2,0.2,0.2
28871,2.2206e+07,0,155.19,14.344,216,288,0.003013,72.003,144,0.2,0.2,0.2,0.2,0.2
28916,2.2215e+07,0,162.71,14.48,216.02,288.02,0.024539,72.025,144.02,0.2,0.2,0.2,0.2,0.2
28965,2.2225e+07,0,179.11,15.002,216.02,288.02,0.022894,72.023,144.02,0.2,0.2,0.2,0.2,0.2
29010,2.2235e+07,0,150.57,14.294,216.03,288.03,0.033231,72.033,144.03,0.2,0.2,0.2,0.2,0.2
29056,2.2246e+07,0,145.33,14.269,216.06,288.06,0.055803,72.056,144.06,0.2,0.2,0.2,0.2,0.2
29100,2.2256e+07,0,145.33,14.269,216.06,288.06,0.055803,72.056,144.06,0.2,0.2,0.2,0.2,0.2
29145,2.2266e+07,0,162.86,14.483,216.03,288.03,0.034276,72.034,144.03,0.2,0.2,0.2,0.2,0.2
29183,2.2277e+07,0,137.03,14.298,216.05,288.05,0.0502,72.05,144.05,0.2,0.2,0.2,0.2,0.2
29231,2.229e+07,0,132.53,14.349,216.04,288.04,0.041757,72.042,144.04,0.2,0.2,0.2,0.2,0.2
29275,2.23e+07,0,132.45,14.35,216.05,288.05,0.054011,72.054,144.05,0.2,0.2,0.2,0.2,0.2
29320,2.231e+07,0,141.6,14.272,216.06,288.06,0.057379,72.057,144.06,0.2,0.2,0.2,0.2,0.2
29365,2.232e+07,0,145.59,14.269,216.06,288.06,0.056889,72.057,144.06,0.2,0.2,0.2,0.2,0.2
29414,2.233e+07,0,164.95,14.532,216.08,288.08,0.075725,72.076,144.08,0.2,0.2,0.2,0.2,0.2
29462,2.2341e+07,0,164.95,14.532,216.08,288.08,0.075725,72.076,144.08,0.2,0.2,0.2,0.2,0.2
29506,2.2351e+07,0,160.59,14.434,216.05,288.07,0.091995,72.089,144.06,0.19998,0.19979,0.19989,0.20014,0.2002
29551,2.2361e+07,0,120.22,14.606,216.05,288.07,0.097029,72.094,144.07,0.19998,0.19979,0.19989,0.20014,0.2002
29593,2.2371e+07,0,120.22,14.606,216.05,288.07,0.097053,72.094,144.07,0.19998,0.19979,0.19989,0.20014,0.2002
29637,2.2381e+07,0,120.23,14.606,216.06,288.08,0.1032,72.1,144.07,0.19998,0.19979,0.19989,0.20014,0.2002
29679,2.2391e+07,0,120.23,14.606,216.06,288.08,0.1032,72.1,144.07,0.19998,0.19979,0.19989,0.20014,0.2002
29723,2.2401e+07,0,120.22,14.606,216.06,288.08,0.10256,72.1,144.07,0.19998,0.19979,0.19989,0.20014,0.2002
