LineNo,TimeUS,C,MI,BI,GI,AI,SS
205,1.5036e+07,1,0,0,0,0,0
308,1.507e+07,1,0,0,0,0,0
650,1.5132e+07,1,0,0,0,0,0
763,1.5148e+07,1,0,0,0,0,0
876,1.5164e+07,1,0,0,0,0,0
989,1.5181e+07,1,0,0,0,0,0
1220,1.5259e+07,1,0,0,0,0,0
1604,1.5414e+07,1,0,0,0,0,0
1682,1.5425e+07,1,0,0,0,0,0
1724,1.5435e+07,1,0,0,0,0,0
1764,1.5445e+07,1,0,0,0,0,0
1805,1.5458e+07,1,0,0,0,0,0
1848,1.5472e+07,1,0,0,0,0,0
1890,1.5481e+07,1,0,0,0,0,0
1935,1.5491e+07,1,0,0,0,0,0
1975,1.5501e+07,1,0,0,0,0,0
2016,1.5511e+07,1,0,0,0,0,0
2059,1.5521e+07,1,0,0,0,0,0
2103,1.5537e+07,1,0,0,0,0,0
2147,1.5547e+07,1,0,0,0,0,0
2187,1.5557e+07,1,0,0,0,0,0
2228,1.5567e+07,1,0,0,0,0,0
2269,1.5577e+07,1,0,0,0,0,0
2313,1.5587e+07,1,0,0,0,0,0
2355,1.5597e+07,1,0,0,0,0,0
2396,1.5607e+07,1,0,0,0,0,0
2440,1.5617e+07,1,0,0,0,0,0
2480,1.5627e+07,1,0,0,0,0,0
2518,1.5638e+07,1,0,0,0,0,0
2561,1.5648e+07,1,0,0,0,0,0
2601,1.5658e+07,1,0,0,0,0,0
2642,1.5668e+07,1,0,0,0,0,0
2682,1.5678e+07,1,0,0,0,0,0
2727,1.5688e+07,1,0,0,0,0,0
2768,1.5698e+07,1,0,0,0,0,0
2809,1.5708e+07,1,0,0,0,0,0
2850,1.5718e+07,1,0,0,0,0,0
2890,1.5728e+07,1,0,0,0,0,0
2932,1.5738e+07,1,0,0,0,0,0
2974,1.5748e+07,1,0,0,0,0,0
3013,1.5758e+07,1,0,0,0,0,0
3055,1.5768e+07,1,0,0,0,0,0
3095,1.5778e+07,1,0,0,0,0,0
3141,1.5788e+07,1,0,0,0,0,0
3183,1.5798e+07,1,0,0,0,0,0
3224,1.5808e+07,1,0,0,0,0,0
3265,1.5819e+07,1,0,0,0,0,0
3307,1.5832e+07,1,0,0,0,0,0
3344,1.5842e+07,1,0,0,0,0,0
3386,1.5852e+07,1,0,0,0,0,0
3427,1.5862e+07,1,0,0,0,0,0
3467,1.5872e+07,1,0,0,0,0,0
3508,1.5882e+07,1,0,0,0,0,0
3552,1.5892e+07,1,0,0,0,0,0
3593,1.5902e+07,1,0,0,0,0,0
3635,1.5912e+07,1,0,0,0,0,0
3677,1.5922e+07,1,0,0,0,0,0
3715,1.5932e+07,1,0,0,0,0,0
3752,1.5942e+07,1,0,0,0,0,0
3794,1.5953e+07,1,0,0,0,0,0
3835,1.5963e+07,1,0,0,0,0,0
3875,1.5973e+07,1,0,0,0,0,0
3916,1.5983e+07,1,0,0,0,0,0
3960,1.5993e+07,1,0,0,0,0,0
4001,1.6003e+07,1,0,0,0,0,0
4044,1.6013e+07,1,0,0,0,0,0
4085,1.6023e+07,1,0,0,0,0,0
4126,1.6033e+07,1,0,0,0,0,0
4163,1.6043e+07,1,0,0,0,0,0
4205,1.6053e+07,1,0,0,0,0,0
4249,1.6066e+07,1,0,0,0,0,0
4291,1.6076e+07,1,0,0,0,0,0
4331,1.6086e+07,1,0,0,0,0,0
4376,1.6096e+07,1,0,0,0,0,0
4417,1.6106e+07,1,0,0,0,0,0
4457,1.6116e+07,1,0,0,0,0,0
4503,1.6131e+07,1,0,0,0,0,0
4546,1.6144e+07,1,0,0,0,0,0
4586,1.6154e+07,1,0,0,0,0,0
4627,1.6164e+07,1,0,0,0,0,0
4669,1.6174e+07,1,0,0,0,0,0
4709,1.6184e+07,1,0,0,0,0,0
4754,1.6194e+07,1,0,0,0,0,0
4794,1.6204e+07,1,0,0,0,0,0
4836,1.6214e+07,1,0,0,0,0,0
4876,1.6224e+07,1,0,0,0,0,0
4917,1.6234e+07,1,0,0,0,0,0
4955,1.6244e+07,1,0,0,0,0,0
4992,1.6254e+07,1,0,0,0,0,0
5034,1.6264e+07,1,0,0,0,0,0
5076,1.6274e+07,1,0,0,0,0,0
5116,1.6284e+07,1,0,0,0,0,0
5161,1.6294e+07,1,0,0,0,0,0
5202,1.6304e+07,1,0,0,0,0,0
5243,1.6314e+07,1,0,0,0,0,0
5283,1.6324e+07,1,0,0,0,0,0
5326,1.6337e+07,1,0,0,0,0,0
5363,1.6346e+07,1,0,0,0,0,0
5408,1.6359e+07,1,0,0,0,0,0
5449,1.6369e+07,1,0,0,0,0,0
5489,1.6379e+07,1,0,0,0,0,0
5531,1.6389e+07,1,0,0,0,0,0
5575,1.6399e+07,1,0,0,0,0,0
5617,1.6409e+07,1,0,0,0,0,0
5658,1.6419e+07,1,0,0,0,0,0
5698,1.6429e+07,1,0,0,0,0,0
5733,1.6439e+07,1,0,0,0,0,0
5774,1.645e+07,1,0,0,0,0,0
5815,1.646e+07,1,0,0,0,0,0
5855,1.647e+07,1,0,0,0,0,0
5897,1.648e+07,1,0,0,0,0,0
5939,1.649e+07,1,0,0,0,0,0
5983,1.65e+07,1,0,0,0,0,0
6026,1.651e+07,1,0,0,0,0,0
6066,1.652e+07,1,0,0,0,0,0
6110,1.653e+07,1,0,0,0,0,0
6147,1.6541e+07,1,0,0,0,0,0
6187,1.6551e+07,1,0,0,0,0,0
6227,1.6561e+07,1,0,0,0,0,0
6268,1.6571e+07,1,0,0,0,0,0
6309,1.6581e+07,1,0,0,0,0,0
6350,1.6591e+07,1,0,0,0,0,0
6397,1.6602e+07,1,0,0,0,0,0
6440,1.6611e+07,1,0,0,0,0,0
6481,1.6622e+07,1,0,0,0,0,0
6522,1.6632e+07,1,0,0,0,0,0
6560,1.6644e+07,1,0,0,0,0,0
6601,1.6654e+07,1,0,0,0,0,0
6641,1.6664e+07,1,0,0,0,0,0
6683,1.6674e+07,1,0,0,0,0,0
6723,1.6684e+07,1,0,0,0,0,0
6768,1.6694e+07,1,0,0,0,0,0
6810,1.6704e+07,1,0,0,0,0,0
6851,1.6714e+07,1,0,0,0,0,0
6892,1.6724e+07,1,0,0,0,0,0
6934,1.6734e+07,1,0,0,0,0,0
6969,1.6744e+07,1,0,0,0,0,0
7009,1.6754e+07,1,0,0,0,0,0
7050,1.6764e+07,1,0,0,0,0,0
7091,1.6774e+07,1,0,0,0,0,0
7132,1.6784e+07,1,0,0,0,0,0
7179,1.6794e+07,1,0,0,0,0,0
7220,1.6804e+07,1,0,0,0,0,0
7262,1.6814e+07,1,0,0,0,0,0
7303,1.6824e+07,1,0,0,0,0,0
7343,1.6834e+07,1,0,0,0,0,0
7384,1.6844e+07,1,0,0,0,0,0
7421,1.6855e+07,1,0,0,0,0,0
7462,1.6865e+07,1,0,0,0,0,0
7504,1.6875e+07,1,0,0,0,0,0
7544,1.6885e+07,1,0,0,0,0,0
7588,1.6895e+07,1,0,0,0,0,0
7630,1.6905e+07,1,0,0,0,0,0
7672,1.6915e+07,1,0,0,0,0,0
7713,1.6925e+07,1,0,0,0,0,0
7755,1.6938e+07,1,0,0,0,0,0
7796,1.6948e+07,1,0,0,0,0,0
7833,1.6958e+07,1,0,0,0,0,0
7875,1.6968e+07,1,0,0,0,0,0
7915,1.6978e+07,1,0,0,0,0,0
7956,1.6988e+07,1,0,0,0,0,0
8002,1.6998e+07,1,0,0,0,0,0
8046,1.7008e+07,1,0,0,0,0,0
8087,1.7019e+07,1,0,0,0,0,0
8127,1.7029e+07,1,0,0,0,0,0
8165,1.7039e+07,1,0,0,0,0,0
8202,1.7049e+07,1,0,0,0,0,0
8243,1.7059e+07,1,0,0,0,0,0
8283,1.7069e+07,1,0,0,0,0,0
8325,1.7079e+07,1,0,0,0,0,0
8367,1.7089e+07,1,0,0,0,0,0
8411,1.7099e+07,1,0,0,0,0,0
8452,1.7109e+07,1,0,0,0,0,0
8494,1.7119e+07,1,0,0,0,0,0
8535,1.7129e+07,1,0,0,0,0,0
8575,1.7139e+07,1,0,0,0,0,0
8615,1.7151e+07,1,0,0,0,0,0
8656,1.7161e+07,1,0,0,0,0,0
8696,1.7171e+07,1,0,0,0,0,0
8737,1.7181e+07,1,0,0,0,0,0
8778,1.7191e+07,1,0,0,0,0,0
8822,1.7201e+07,1,0,0,0,0,0
8863,1.7211e+07,1,0,0,0,0,0
8903,1.7222e+07,1,0,0,0,0,0
8945,1.7232e+07,1,0,0,0,0,0
8982,1.7242e+07,1,0,0,0,0,0
9020,1.7252e+07,1,0,0,0,0,0
9061,1.7262e+07,1,0,0,0,0,0
9101,1.7272e+07,1,0,0,0,0,0
9142,1.7282e+07,1,0,0,0,0,0
9182,1.7292e+07,1,0,0,0,0,0
9227,1.7302e+07,1,0,0,0,0,0
9262,1.7332e+07,1,0,0,0,0,0
9305,1.7342e+07,1,0,0,0,0,0
9342,1.7352e+07,1,0,0,0,0,0
9380,1.7362e+07,1,0,0,0,0,0
9421,1.7372e+07,1,0,0,0,0,0
9461,1.7382e+07,1,0,0,0,0,0
9503,1.7392e+07,1,0,0,0,0,0
9547,1.7402e+07,1,0,0,0,0,0
9588,1.7412e+07,1,0,0,0,0,0
9628,1.7422e+07,1,0,0,0,0,0
9671,1.7432e+07,1,0,0,0,0,0
9712,1.7442e+07,1,0,0,0,0,0
9749,1.7452e+07,1,0,0,0,0,0
9791,1.7465e+07,1,0,0,0,0,0
9832,1.7475e+07,1,0,0,0,0,0
9872,1.7485e+07,1,0,0,0,0,0
9913,1.7495e+07,1,0,0,0,0,0
9959,1.7505e+07,1,0,0,0,0,0
10001,1.7515e+07,1,0,0,0,0,0
10041,1.7525e+07,1,0,0,0,0,0
10082,1.7535e+07,1,0,0,0,0,0
10121,1.7545e+07,1,0,0,0,0,0
10160,1.7555e+07,1,0,0,0,0,0
10201,1.7565e+07,1,0,0,0,0,0
10241,1.7575e+07,1,0,0,0,0,0
10283,1.7585e+07,1,0,0,0,0,0
10323,1.7595e+07,1,0,0,0,0,0
10369,1.7605e+07,1,0,0,0,0,0
10410,1.7615e+07,1,0,0,0,0,0
10450,1.7625e+07,1,0,0,0,0,0
10492,1.7635e+07,1,0,0,0,0,0
10529,1.7648e+07,1,0,0,0,0,0
10571,1.7658e+07,1,0,0,0,0,0
10613,1.7668e+07,1,0,0,0,0,0
10654,1.7678e+07,1,0,0,0,0,0
10695,1.7688e+07,1,0,0,0,0,0
10738,1.7698e+07,1,0,0,0,0,0
10781,1.7709e+07,1,0,0,0,0,0
10821,1.7719e+07,1,0,0,0,0,0
10862,1.7729e+07,1,0,0,0,0,0
10905,1.7739e+07,1,0,0,0,0,0
10945,1.7752e+07,1,0,0,0,0,0
10988,1.7762e+07,1,0,0,0,0,0
11028,1.7772e+07,1,0,0,0,0,0
11069,1.7782e+07,1,0,0,0,0,0
11109,1.7792e+07,1,0,0,0,0,0
11157,1.7802e+07,1,0,0,0,0,0
11198,1.7812e+07,1,0,0,0,0,0
11238,1.7822e+07,1,0,0,0,0,0
11280,1.7832e+07,1,0,0,0,0,0
11320,1.7842e+07,1,0,0,0,0,0
11358,1.7852e+07,1,0,0,0,0,0
11399,1.7862e+07,1,0,0,0,0,0
11443,1.7875e+07,1,0,0,0,0,0
11484,1.7885e+07,1,0,0,0,0,0
11526,1.7895e+07,1,0,0,0,0,0
11571,1.7905e+07,1,0,0,0,0,0
11612,1.7915e+07,1,0,0,0,0,0
11652,1.7925e+07,1,0,0,0,0,0
