LineNo,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
186,15037020,1,-0.002295911,-0.005961876,0.002234342,-0.3013192,0.07158558,-9.758362999999999,0,0,45.57775,1,1,754,996
217,15039579,1,-0.001105558,-0.004803337,0.0005237909,-0.2947325,0.05975291,-9.767664,0,0,45.57775,1,1,754,996
289,15071017,1,0.004248066,-0.0008009496,-0.0001909212,-0.3176127,0.1429489,-9.849002,0,0,45.57774,1,1,754,996
320,15073159,1,0.002940332,0.0006446797999999999,0.0001777313,-0.2976466,0.1311024,-9.837350000000001,0,0,45.57774,1,1,754,996
400,15090845,1,0.005217727,-0.00621415,0.005105482,-0.2742043,-0.0009262332,-9.77844,0,0,45.57777,1,1,754,996
515,15112284,1,-0.003718072,0.001066709,0.01014688,-0.3229081,0.06238428,-9.737363999999999,0,0,45.57777,1,1,754,996
631,15132723,1,0.005674698,0.003500202,0.003613312,-0.2645123,0.1107451,-9.777087,0,0,45.57784,1,1,754,996
744,15149017,1,-0.003134208,-0.006229931,0.002572434,-0.2548485,0.1810245,-9.754001000000001,0,0,45.57788,1,1,754,996
857,15164609,1,0.001451446,-0.005502793,-0.002987941,-0.2474907,0.1254242,-9.769446,0,0,45.578,1,1,754,996
970,15182013,1,-0.0002035586,0.005737652,-0.001684243,-0.2451696,0.1279859,-9.787944,0,0,45.57807,1,1,754,996
1083,15203857,1,-2.833829e-05,0.0007696074,0.004996828,-0.322111,0.08794821999999999,-9.727563,0,0,45.57825,1,1,754,996
1198,15256035,1,-0.002518935,0.001225185,0.01015357,-0.3453245,0.08427861,-9.850621,0,0,45.57886,1,1,754,996
1201,15259852,1,-0.002632267,-0.001790998,0.01460176,-0.3227144,0.1086673,-9.777855000000001,0,0,45.57886,1,1,754,996
1310,15329590,1,-0.007543098,0.000132029,0.004354634,-0.3046761,0.1369863,-9.807357,0,0,45.57967,1,1,754,996
1404,15386314,1,-0.005667263,0.001429514,0.00404519,-0.2458142,0.1061552,-9.729893000000001,0,0,45.58017,1,1,754,996
1493,15400621,1,0.001330428,-0.003247538,0.003868617,-0.252283,0.0246594,-9.775415000000001,0,0,45.58021,1,1,754,996
1585,15415571,1,-0.002993826,-0.0001166908,-0.001132463,-0.2639125,0.1286636,-9.721067,0,0,45.58026,1,1,754,996
1617,15418088,1,-0.0002115825,-0.0027415,0.002056961,-0.249192,0.1387516,-9.708971999999999,0,0,45.58031,1,1,754,996
1657,15421315,1,0.002934122,-0.005100844,0.003917731,-0.2477506,0.137717,-9.720893999999999,0,0,45.58031,1,1,754,996
1660,15423801,1,0.003803347,-0.004520161,0.00286464,-0.2458348,0.1391698,-9.72973,0,0,45.58031,1,1,754,996
1663,15425931,1,0.002955052,-0.002664169,0.001135494,-0.2453374,0.1391775,-9.731488000000001,0,0,45.58031,1,1,754,996
1695,15428680,1,0.001195172,-0.0003834864,0.002027752,-0.2467519,0.134326,-9.740418,0,0,45.58038,1,1,754,996
1698,15431597,1,-0.0005454102,-0.0008101299,0.004732248,-0.2572013,0.1215486,-9.733143999999999,0,0,45.58038,1,1,754,996
1701,15433929,1,-0.001254749,-0.001225329,0.005478894,-0.272122,0.1201976,-9.722742,0,0,45.58038,1,1,754,996
1705,15436260,1,-0.0002230946,0.0004945569,0.003577536,-0.2959609,0.1176137,-9.718743999999999,0,0,45.58038,1,1,754,996
1736,15438721,1,0.0006684856,0.001479784,0.001596865,-0.3018947,0.1197732,-9.726240000000001,0,0,45.58038,1,1,754,996
1739,15441028,1,9.488693e-05,0.0009183841,0.0009587895,-0.3121805,0.1202692,-9.73352,0,0,45.58044,1,1,754,996
1742,15444052,1,0.0004543118,0.001125226,0.0001986353,-0.3177228,0.1204842,-9.725331000000001,0,0,45.58044,1,1,754,996
1745,15446294,1,0.003460928,0.002346899,-0.002200331,-0.3248626,0.1207736,-9.712078,0,0,45.58044,1,1,754,996
1777,15448620,1,0.003674204,0.002993566,-0.001171541,-0.3311804,0.1234551,-9.710777999999999,0,0,45.58044,1,1,754,996
1780,15451006,1,0.002758311,0.003935554,0.002080059,-0.3419755,0.1182515,-9.698482,0,0,45.5805,1,1,754,996
1783,15453572,1,0.001825957,0.003611921,0.002601296,-0.3409042,0.1101707,-9.675390999999999,0,0,45.5805,1,1,754,996
1786,15459931,1,0.001921614,-0.0004900179,-0.001646751,-0.3087997,0.09733538999999999,-9.634518999999999,0,0,45.5805,1,1,754,996
1817,15462160,1,0.002736139,0.0007084443,-0.003059666,-0.2809404,0.1119927,-9.642153,0,0,45.58054,1,1,754,996
1820,15464629,1,0.003576707,0.002037395,-0.003340243,-0.2504811,0.1239577,-9.669598000000001,0,0,45.58054,1,1,754,996
1823,15467749,1,0.003015468,0.002870848,-0.002508298,-0.2380812,0.126206,-9.696099999999999,0,0,45.58054,1,1,754,996
1826,15470926,1,-0.002380997,0.003724559,-0.00236125,-0.2331029,0.1103729,-9.728598,0,0,45.58054,1,1,754,996
1829,15472270,1,-0.00378387,0.00397621,-0.004665503,-0.236596,0.09112097,-9.745343999999999,0,0,45.58059,1,1,754,996
1861,15474609,1,-0.004922777,0.005380559,-0.008113964,-0.2525361,0.06113106,-9.736378999999999,0,0,45.58059,1,1,754,996
1864,15477154,1,-0.005385105,0.005264025,-0.007788258,-0.2683931,0.04989838,-9.713028,0,0,45.58059,1,1,754,996
1868,15480293,1,-0.006163767,0.004061277,-0.003939048,-0.2842722,0.04002256,-9.680206,0,0,45.58059,1,1,754,996
1871,15482694,1,-0.003932883,0.0006234648,0.002838445,-0.2871879,0.04231209,-9.651107,0,0,45.58059,1,1,754,996
1903,15484839,1,-0.0003373371,-0.005057568,0.008005276,-0.2796874,0.05406381,-9.623483999999999,0,0,45.58064,1,1,754,996
1909,15487232,1,0.0009621859,-0.009468117,0.009307549,-0.2707406,0.05788919,-9.613097,0,0,45.58064,1,1,754,996
1913,15489875,1,0.002071035,-0.01217632,0.008786011,-0.2500446,0.06893225,-9.612557000000001,0,0,45.58064,1,1,754,996
1916,15492418,1,0.002717641,-0.01217608,0.008051071999999999,-0.2321845,0.07107140000000001,-9.608459,0,0,45.58064,1,1,754,996
1947,15495129,1,0.005163361,-0.004187053,0.004394651,-0.2139232,0.07817296999999999,-9.599007,0,0,45.58072,1,1,754,996
1950,15497699,1,0.006166559,-9.693505e-06,0.003531266,-0.2103888,0.08928946,-9.616448999999999,0,0,45.58072,1,1,754,996
1953,15499665,1,0.00841392,0.005985283,0.002083809,-0.215874,0.09868668999999999,-9.649319999999999,0,0,45.58072,1,1,754,996
1956,15502198,1,0.009334531,0.007742525,0.002150715,-0.2332887,0.1075684,-9.663793,0,0,45.58072,1,1,754,996
1988,15504665,1,0.008092781,0.008053516,0.00390466,-0.2534204,0.1157904,-9.685069,0,0,45.58072,1,1,754,996
1991,15507825,1,0.005661577,0.007759239,0.006135396,-0.2516864,0.1134316,-9.702229000000001,0,0,45.58082,1,1,754,996
1994,15510018,1,0.004267527,0.005152321,0.005384639,-0.2371671,0.0994464,-9.716831000000001,0,0,45.58082,1,1,754,996
1997,15512587,1,0.003718199,0.003760925,0.003756847,-0.223266,0.09208813,-9.700302000000001,0,0,45.58082,1,1,754,996
2028,15514674,1,0.002045611,0.001862961,0.0004340211,-0.1992363,0.09883905,-9.67906,0,0,45.58082,1,1,754,996
2031,15517329,1,0.0008441755,0.001210628,-0.0010705,-0.1902744,0.1034154,-9.689264,0,0,45.58094,1,1,754,996
2034,15520125,1,0.0005666768,0.001453151,-0.001593278,-0.1755359,0.105855,-9.726523,0,0,45.58094,1,1,754,996
2038,15522782,1,0.002049647,0.001235231,0.0002510079,-0.1620875,0.1015705,-9.748906,0,0,45.58094,1,1,754,996
2071,15524880,1,0.005009592,-0.0001638952,0.00242873,-0.1541318,0.1054877,-9.781306000000001,0,0,45.58094,1,1,754,996
2075,15527368,1,0.006936959,0.001436307,0.001183122,-0.1537319,0.1262003,-9.8003,0,0,45.58105,1,1,754,996
2078,15529632,1,0.00459621,0.003755555,-0.0002572637,-0.1673774,0.1575735,-9.824828,0,0,45.58105,1,1,754,996
2081,15536313,1,0.005605607,0.006427249,-0.001444365,-0.2129614,0.1608866,-9.829086999999999,0,0,45.58105,1,1,754,996
2084,15537825,1,0.006730231,0.004982803,0.002817241,-0.2132241,0.1540671,-9.817181,0,0,45.58119,1,1,754,996
2118,15540310,1,0.005779898,0.003097643,0.003862008,-0.2144259,0.14993,-9.799045,0,0,45.58119,1,1,754,996
2121,15543080,1,0.005182413,0.001585044,0.002164872,-0.221047,0.1414626,-9.776396,0,0,45.58119,1,1,754,996
2124,15545098,1,0.004232026,-0.001417639,-0.001418514,-0.2325187,0.1313479,-9.761107000000001,0,0,45.58119,1,1,754,996
2128,15547925,1,0.003380819,-0.0006157857,-0.003008217,-0.2356634,0.1260623,-9.748635,0,0,45.58119,1,1,754,996
2159,15550619,1,0.002445009,0.002782394,-0.004104663,-0.2299534,0.1156938,-9.753738999999999,0,0,45.58134,1,1,754,996
2162,15552933,1,0.0009915665000000001,0.0043926,-0.004034655,-0.2303162,0.106626,-9.767258,0,0,45.58134,1,1,754,996
2165,15555582,1,-0.0002944976,0.001850342,-0.004407412,-0.2320247,0.08898093999999999,-9.76976,0,0,45.58134,1,1,754,996
2168,15557884,1,-0.0004298359,-0.0001511917,-0.005021091,-0.2304099,0.08422609,-9.756046,0,0,45.58134,1,1,754,996
2200,15560783,1,-0.003120817,-0.003345383,-0.0061955,-0.226183,0.07093257,-9.731285,0,0,45.58152,1,1,754,996
2203,15562683,1,-0.004652325,-0.003395354,-0.005861938,-0.2265326,0.06670874,-9.713381999999999,0,0,45.58152,1,1,754,996
2206,15565225,1,-0.007930309999999999,-0.00200806,-0.000486392,-0.2189114,0.0698759,-9.690969000000001,0,0,45.58152,1,1,754,996
2209,15567818,1,-0.007216119,-0.002156322,0.001752753,-0.2108977,0.07640497,-9.671066,0,0,45.58152,1,1,754,996
2241,15570906,1,-0.004693873,-0.004790963,0.005319216,-0.2080375,0.09531341,-9.649982,0,0,45.58152,1,1,754,996
2244,15573096,1,-0.002373338,-0.00481172,0.007469807,-0.2142709,0.1143482,-9.659890000000001,0,0,45.58171,1,1,754,996
2247,15575016,1,-0.002807622,-0.004661928,0.009671997,-0.2303915,0.1544184,-9.677519,0,0,45.58171,1,1,754,996
2250,15577936,1,-0.002445039,-0.006556257,0.008900464,-0.239382,0.188208,-9.685805,0,0,45.58171,1,1,754,996
2281,15580106,1,-0.0001886606,-0.007094057,0.005581799,-0.256718,0.2216268,-9.690129000000001,0,0,45.58171,1,1,754,996
2284,15583082,1,0.0009307268,-0.006675771,0.004338586,-0.2656872,0.2284352,-9.698689999999999,0,0,45.58191,1,1,754,996
2288,15585471,1,0.002547086,-0.00360044,0.002955938,-0.2664723,0.2311089,-9.721154,0,0,45.58191,1,1,754,996
2294,15587967,1,0.002102571,-0.003004069,0.003099485,-0.272258,0.2278668,-9.727562000000001,0,0,45.58191,1,1,754,996
2326,15590287,1,-0.003303685,-0.004626974,0.001427813,-0.2867872,0.2121017,-9.737427,0,0,45.58191,1,1,754,996
2330,15593117,1,-0.00430982,-0.00472186,-0.0005133547,-0.3028223,0.2127487,-9.749336,0,0,45.58191,1,1,754,996
2333,15595624,1,-0.003543351,-0.002590739,-0.002733533,-0.3282807,0.2171538,-9.786536,0,0,45.58213,1,1,754,996
2336,15598166,1,-0.002444797,-0.0007571994,-0.0005454945000000001,-0.346107,0.2211485,-9.817332,0,0,45.58213,1,1,754,996
2367,15600582,1,-0.002289488,-0.0002784073,0.0005051651000000001,-0.3663229,0.222373,-9.842991,0,0,45.58213,1,1,754,996
2371,15602933,1,-0.003235366,0.003177768,-0.002445274,-0.3823075,0.206909,-9.858067999999999,0,0,45.58213,1,1,754,996
