LineNo,TimeUS,C15,C16,C17,C18
8331,1.7081e+07,0,0,0,0
8373,1.7091e+07,0,0,0,0
8417,1.7101e+07,0,0,0,0
8458,1.7111e+07,0,0,0,0
8500,1.7121e+07,0,0,0,0
8541,1.7131e+07,0,0,0,0
8581,1.7141e+07,0,0,0,0
8621,1.7153e+07,0,0,0,0
8662,1.7164e+07,0,0,0,0
8702,1.7173e+07,0,0,0,0
8743,1.7183e+07,0,0,0,0
8784,1.7193e+07,0,0,0,0
8828,1.7204e+07,0,0,0,0
8869,1.7214e+07,0,0,0,0
8909,1.7224e+07,0,0,0,0
8951,1.7233e+07,0,0,0,0
8988,1.7244e+07,0,0,0,0
9026,1.7254e+07,0,0,0,0
9067,1.7264e+07,0,0,0,0
9107,1.7274e+07,0,0,0,0
9148,1.7284e+07,0,0,0,0
9188,1.7294e+07,0,0,0,0
9268,1.7334e+07,0,0,0,0
9311,1.7344e+07,0,0,0,0
9348,1.7354e+07,0,0,0,0
9386,1.7364e+07,0,0,0,0
9427,1.7374e+07,0,0,0,0
9467,1.7384e+07,0,0,0,0
9509,1.7394e+07,0,0,0,0
9553,1.7404e+07,0,0,0,0
9594,1.7414e+07,0,0,0,0
9634,1.7424e+07,0,0,0,0
9677,1.7434e+07,0,0,0,0
9718,1.7444e+07,0,0,0,0
9755,1.7454e+07,0,0,0,0
9797,1.7466e+07,0,0,0,0
9838,1.7477e+07,0,0,0,0
9878,1.7487e+07,0,0,0,0
9919,1.7497e+07,0,0,0,0
9965,1.7507e+07,0,0,0,0
10007,1.7517e+07,0,0,0,0
10047,1.7527e+07,0,0,0,0
10088,1.7537e+07,0,0,0,0
10127,1.7547e+07,0,0,0,0
10166,1.7557e+07,0,0,0,0
10207,1.7567e+07,0,0,0,0
10247,1.7577e+07,0,0,0,0
10289,1.7587e+07,0,0,0,0
10329,1.7597e+07,0,0,0,0
10375,1.7607e+07,0,0,0,0
10416,1.7617e+07,0,0,0,0
10456,1.7627e+07,0,0,0,0
10498,1.7637e+07,0,0,0,0
10535,1.765e+07,0,0,0,0
10577,1.766e+07,0,0,0,0
10619,1.767e+07,0,0,0,0
10660,1.768e+07,0,0,0,0
10701,1.769e+07,0,0,0,0
10744,1.7701e+07,0,0,0,0
