LineNo,TimeUS,C,AX,AY,AZ,VWN,VWE,MN,ME,MD,MX,MY,MZ,IDX,IDY,IS
196,1.5036e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
299,1.507e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
641,1.5132e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
754,1.5148e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
867,1.5164e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
980,1.5181e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
1211,1.5259e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
1595,1.5414e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
1673,1.5425e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
1715,1.5435e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
1755,1.5445e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
1796,1.5458e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
1839,1.5472e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
1881,1.5481e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
1926,1.5491e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
1966,1.5501e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
2007,1.5511e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
2048,1.5521e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
2094,1.5537e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
2138,1.5547e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
2178,1.5557e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
2219,1.5567e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
2260,1.5577e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
2304,1.5587e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
2346,1.5597e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
2387,1.5607e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
2431,1.5617e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
2471,1.5627e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
2509,1.5638e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
2552,1.5648e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
2592,1.5658e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
2633,1.5668e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
2673,1.5678e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
2718,1.5688e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
2759,1.5698e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
2800,1.5708e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
2841,1.5718e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
2881,1.5728e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
2923,1.5738e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
2965,1.5748e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
3004,1.5758e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
3046,1.5768e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
3086,1.5778e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
3132,1.5788e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
3174,1.5798e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
3215,1.5808e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
3256,1.5819e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
3298,1.5832e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
3335,1.5842e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
3377,1.5852e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
3418,1.5862e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
3458,1.5872e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
3499,1.5882e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
3543,1.5892e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
3584,1.5902e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
3626,1.5912e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
3668,1.5922e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
3706,1.5932e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
3743,1.5942e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
3785,1.5953e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
3826,1.5963e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
3866,1.5973e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
3907,1.5983e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
3951,1.5993e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
3992,1.6003e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
4033,1.6013e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
4076,1.6023e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
4117,1.6033e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
4154,1.6043e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
4196,1.6053e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
4240,1.6066e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
4282,1.6076e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
4322,1.6086e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
4367,1.6096e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
4408,1.6106e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
4448,1.6116e+07,0,0,0,0.06,0,0,176,0,359,0,0,0,0,0,0
