LineNo,TimeUS,Id,Mult
1422,1.5387e+07,45,0
1423,1.5387e+07,63,1
1424,1.5387e+07,50,100
1425,1.5387e+07,49,10
1426,1.5387e+07,48,1
1427,1.5387e+07,65,0.1
1428,1.5387e+07,66,0.01
1429,1.5387e+07,67,0.001
1430,1.5387e+07,68,0.0001
1431,1.5387e+07,69,1e-05
1432,1.5387e+07,70,1e-06
1433,1.5387e+07,71,1e-07
1434,1.5387e+07,73,1e-09
1435,1.5388e+07,33,3.6
1436,1.5388e+07,47,3600
