LineNo,TimeUS,C,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23
2054,1.5521e+07,0,1.1046e-07,6.1796e-06,6.1796e-06,1.269e-06,0,0,0,0,0,0,0,0
4039,1.6013e+07,0,9.4997e-08,6.1796e-06,6.1796e-06,1.1241e-06,0,0,0,0,0,0,0,0
6021,1.651e+07,0,8.1775e-08,6.1796e-06,6.1796e-06,9.6125e-07,0,0,0,0,0,0,0,0
8041,1.7008e+07,0,7.059e-08,6.1796e-06,6.1796e-06,8.0205e-07,0,0,0,0,0,0,0,0
9954,1.7505e+07,0,6.1189e-08,6.1795e-06,6.1795e-06,6.5997e-07,0,0,0,0,0,0,0,0
11935,1.7996e+07,0,5.3229e-08,6.1794e-06,6.1793e-06,5.4044e-07,0,0,0,0,0,0,0,0
13913,1.8492e+07,0,4.6482e-08,6.1792e-06,6.179e-06,4.4416e-07,0,0,0,0,0,0,0,0
15930,1.8991e+07,0,4.075e-08,6.1789e-06,6.1786e-06,3.6758e-07,0,0,0,0,0,0,0,0
17876,1.9485e+07,0,3.5867e-08,6.1785e-06,6.1782e-06,3.0708e-07,0,0,0,0,0,0,0,0
19898,1.9984e+07,0,3.1694e-08,6.178e-06,6.1776e-06,2.5921e-07,0,0,0,0,0,0,0,0
21907,2.0482e+07,0,2.8115e-08,6.1775e-06,6.1769e-06,2.21e-07,0,0,0,0,0,0,0,0
23933,2.0983e+07,0,2.5038e-08,6.1768e-06,6.176e-06,1.904e-07,0,0,0,0,0,0,0,0
25919,2.1478e+07,0,2.2403e-08,6.1761e-06,6.1751e-06,1.6559e-07,0,0,0,0,0,0,0,0
27943,2.1977e+07,0,2.012e-08,6.1753e-06,6.1741e-06,1.4525e-07,0,0,0,0,0,0,0,0
30049,2.2476e+07,0,1.8123e-08,6.1744e-06,6.173e-06,1.2841e-07,0,0,0,0,0,0,0,0
32221,2.2974e+07,0,1.6705e-08,6.1736e-06,6.172e-06,1.1695e-07,0,0,0,0,0,0,0,0
34354,2.3473e+07,0,1.5121e-08,6.1725e-06,6.1707e-06,1.046e-07,0,0,0,0,0,0,0,0
36483,2.3964e+07,0,1.3723e-08,6.1708e-06,6.1684e-06,8.9124e-08,0,0,0,0,0,0,0,0
38640,2.4462e+07,0,1.2486e-08,6.1685e-06,6.1643e-06,7.0847e-08,0,0,0,0,0,0,0,0
40769,2.4958e+07,0,1.16e-08,6.1673e-06,6.1605e-06,6.2084e-08,0.0024963,0.0015289,0.0025,0.0025,0.0025,0.0025,0,0
42881,2.5457e+07,0,1.1599e-08,6.1662e-06,6.1563e-06,6.1664e-08,0.0014805,0.000474,0.0013946,0.0015016,0.0016596,0.0013909,0,0
44960,2.5955e+07,0,1.1592e-08,6.164e-06,6.1481e-06,6.1641e-08,0.0014399,0.00031661,0.0013444,0.001459,0.0016087,0.0013394,0,0
47031,2.6455e+07,0,1.1569e-08,6.1592e-06,6.1327e-06,6.1593e-08,0.0014192,0.00022468,0.0012819,0.0014255,0.0015231,0.0012647,0,0
49109,2.6953e+07,0,1.1517e-08,6.1505e-06,6.104e-06,6.1506e-08,0.0014074,0.00017479,0.0012595,0.0014072,0.0014943,0.0012432,0,0
51190,2.7444e+07,0,1.1453e-08,6.1396e-06,6.0691e-06,6.1397e-08,0.0014001,0.00014876,0.0012437,0.0013995,0.0014702,0.0012266,0,0
53252,2.7938e+07,0,1.1334e-08,6.1201e-06,6.0067e-06,6.1202e-08,0.0013853,0.00012568,0.0012276,0.0013866,0.0014435,0.0012111,0,0
