LineNo,TimeUS,C,AX,AY,AZ,VWN,VWE,MN,ME,MD,MX,MY,MZ,IDX,IDY,IS
4374,1.6096e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
4415,1.6106e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
4455,1.6116e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
4501,1.6131e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
4544,1.6144e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
4584,1.6154e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
4625,1.6164e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
4667,1.6174e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
4707,1.6184e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
4752,1.6194e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
4792,1.6204e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
4834,1.6214e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
4874,1.6224e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
4915,1.6234e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
4953,1.6244e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
4990,1.6254e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
5032,1.6264e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
5074,1.6274e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
5114,1.6284e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
5159,1.6294e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
5200,1.6304e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
5241,1.6314e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
5281,1.6324e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
5324,1.6337e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
5361,1.6346e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
5406,1.6359e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
5447,1.6369e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
5487,1.6379e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
5529,1.6389e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
5573,1.6399e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
5615,1.6409e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
5656,1.6419e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
5696,1.6429e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
5731,1.6439e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
5772,1.645e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
5813,1.646e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
5853,1.647e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
5895,1.648e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
5937,1.649e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
5981,1.65e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
6024,1.651e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
6064,1.652e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
6108,1.653e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
6145,1.6541e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
6185,1.6551e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
6225,1.6561e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
6266,1.6571e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
6307,1.6581e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
6348,1.6591e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
6395,1.6602e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
6438,1.6611e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
6479,1.6622e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
6520,1.6632e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
6558,1.6644e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
6599,1.6654e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
6639,1.6664e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
6681,1.6674e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
6721,1.6684e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
6766,1.6694e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
6808,1.6704e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
6849,1.6714e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
6890,1.6724e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
6932,1.6734e+07,1,0,0,0.03,0,0,176,0,359,0,0,0,0,0,0
6967,1.6744e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
7007,1.6754e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
7048,1.6764e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
7089,1.6774e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
7130,1.6784e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
7177,1.6794e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
7218,1.6804e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
7260,1.6814e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
7301,1.6824e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
7341,1.6834e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
7382,1.6844e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
7419,1.6855e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
7460,1.6865e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
7502,1.6875e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
7542,1.6885e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
7586,1.6895e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
7628,1.6905e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
7670,1.6915e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
7711,1.6925e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
7753,1.6938e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
7794,1.6948e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
7831,1.6958e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
7873,1.6968e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
7913,1.6978e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
7954,1.6988e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
8000,1.6998e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
8044,1.7008e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
8085,1.7019e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
8125,1.7029e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
8163,1.7039e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
8200,1.7049e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
8241,1.7059e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
8281,1.7069e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
8323,1.7079e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
8365,1.7089e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
8409,1.7099e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
8450,1.7109e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
8492,1.7119e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
8533,1.7129e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
8573,1.7139e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
8613,1.7151e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
8654,1.7161e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
8694,1.7171e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
8735,1.7181e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
8776,1.7191e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
8820,1.7201e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
8861,1.7211e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
8901,1.7222e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
8943,1.7232e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
8980,1.7242e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
9018,1.7252e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
9059,1.7262e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
9099,1.7272e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
9140,1.7282e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
9180,1.7292e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
9225,1.7302e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
9260,1.7332e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
9303,1.7342e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
9340,1.7352e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
9378,1.7362e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
9419,1.7372e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
9459,1.7382e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
9501,1.7392e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
9545,1.7402e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
9586,1.7412e+07,1,0,0,0.02,0,0,176,0,359,0,0,0,0,0,0
