LineNo,TimeUS,Id,Pri,Total,Free,Name
3773,1.5952e+07,17,176,1360,872,0
13035,1.8272e+07,17,176,1360,872,0
22591,2.0651e+07,17,176,1360,872,0
32371,2.3009e+07,17,176,1360,872,0
42677,2.5409e+07,17,176,1360,872,0
52599,2.778e+07,17,176,1360,872,0
62549,3.0158e+07,17,176,1360,872,0
72576,3.2554e+07,17,176,1360,872,0
82513,3.4936e+07,17,176,1360,872,0
92626,3.7367e+07,17,176,1360,872,0
1.0268e+05,3.9768e+07,17,176,1360,872,0
1.123e+05,4.2074e+07,17,176,1360,872,0
1.2223e+05,4.4454e+07,17,176,1360,872,0
1.3212e+05,4.6855e+07,17,176,1360,872,0
1.4214e+05,4.9255e+07,17,176,1360,872,0
1.5226e+05,5.1692e+07,17,176,1360,872,0
1.6207e+05,5.4037e+07,17,176,1360,872,0
1.7197e+05,5.6407e+07,17,176,1360,872,0
1.8171e+05,5.8723e+07,17,176,1360,872,0
1.9139e+05,6.1061e+07,17,176,1360,872,0
2.013e+05,6.3453e+07,17,176,1360,872,0
2.1109e+05,6.5796e+07,17,176,1360,872,0
2.2118e+05,6.8203e+07,17,176,1360,872,0
2.3126e+05,7.0608e+07,17,176,1360,872,0
2.4165e+05,7.3068e+07,17,176,1360,872,0
2.5181e+05,7.5452e+07,17,176,1360,872,0
2.6204e+05,7.7838e+07,17,176,1360,872,0
2.721e+05,8.0186e+07,17,176,1360,872,0
2.8224e+05,8.2557e+07,17,176,1360,872,0
2.9254e+05,8.4973e+07,17,176,1360,872,0
