LineNo,TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt
1911,15489852,-1.341105e-07,-7.588596e-12,0,0.2091079,-0.0909358,-0.0909358,-0.23,NaN,0,-88.67233,47,47
2324,15590264,-1.341105e-07,-7.617017999999999e-12,0,0.2091079,0.05838599,0.05838599,-0.22,NaN,0,-88.65818,47,47
2738,15691546,-1.341105e-07,-7.47491e-12,0,0.2091079,0.1662975,0.1662975,0.09,NaN,0,-88.3417,47,47
3152,15792092,-1.341105e-07,-7.560175e-12,0,0.2091079,0.2490893,0.2490893,-0.09,NaN,0,-88.53757,47,47
3531,15893068,-1.341105e-07,-7.560175e-12,0,0.2091079,0.3159129,0.3159129,-0.01,NaN,0,-88.45845,47,47
3939,15994080,-1.341105e-07,-7.531752999999999e-12,0,0.2091079,0.367685,0.367685,0.22,NaN,0,-88.22228,47,47
4352,16094615,-1.341105e-07,-7.403855000000001e-12,0,0.2091079,0.4137988,0.4137988,0.35,NaN,0,-88.08947000000001,47,47
4733,16195172,-1.341105e-07,-7.332801e-12,0,0.2091079,0.4590124,0.4590124,0.19,NaN,0,-88.25143,47,47
5140,16294840,-1.341105e-07,-7.219114e-12,0,0.2091079,0.5011342,0.5011342,0.11,NaN,0,-88.32773,47,47
5548,16395165,-1.341105e-07,-7.190692e-12,0,0.2091079,0.5390341,0.5390341,0,NaN,0,-88.45013,46,46
5956,16495898,-1.341105e-07,-7.219114e-12,0,0.2091079,0.5716488,0.5716488,0.22,NaN,0,-88.22408,46,46
6368,16597408,-1.341105e-07,-7.14806e-12,0,0.2091079,0.6014985,0.6014985,0.11,NaN,0,-88.33508999999999,46,46
6779,16697844,-1.341105e-07,-7.247536e-12,0,0.2091079,0.6283273,0.6283273,-0.15,NaN,0,-88.61201,45,45
7190,16798637,-1.341105e-07,-7.020162e-12,0,0.2091079,0.6510149,0.6510149,-0.31,NaN,0,-88.77312999999999,44,44
7599,16899319,-1.341105e-07,-6.920686e-12,0,0.2091079,0.6680533,0.6680533,-0.42,NaN,0,-88.88616,44,44
7981,16999557,-1.341105e-07,-7.077006e-12,0,0.2091079,0.6792271,0.6792271,-0.31,NaN,0,-88.76951,43,43
8390,17100126,-1.341105e-07,-7.105427e-12,0,0.2091079,0.6879035999999999,0.6879035999999999,0.14,NaN,0,-88.31174,42,42
8798,17200232,-1.341105e-07,-6.906475e-12,0,0.2091079,0.6956268,0.6956268,0.44,NaN,0,-88.01211000000001,41,41
9203,17301088,-1.341105e-07,-6.636469e-12,0,0.2091079,0.7079968,0.7079968,0,NaN,0,-88.45856999999999,40,40
9523,17400821,-1.341105e-07,-7.261747e-12,0,0.2091079,0.7232182,0.7232182,-0.06,NaN,0,-88.53133,39,39
9930,17501024,-1.341105e-07,-6.423306e-12,0,0.2091079,0.7301881,0.7301881,-0.19,NaN,0,-88.66131,39,39
10340,17601675,-1.341105e-07,-6.863843e-12,0,0.2091079,0.7338435,0.7338435,-0.12,NaN,0,-88.59012,37,37
10749,17701908,-1.341105e-07,-6.409095e-12,0,0.2091079,0.7359431,0.7359431,-0.19,NaN,0,-88.66359,37,37
11136,17803045,-1.341105e-07,-5.940137e-12,0,0.2091079,0.7357541,0.7357541,-0.51,NaN,0,-88.98303,36,36
11547,17903065,-1.341105e-07,-6.409095e-12,0,0.2091079,0.7335488999999999,0.7335488999999999,0.21,NaN,0,-88.25682,35,35
11961,18003862,-1.341105e-07,-7.062795e-12,0,0.2091079,0.7317781,0.7317781,-0.07000000000000001,NaN,0,-88.55006,33,33
12371,18104104,-1.341105e-07,-7.275957999999999e-12,0,0.2091079,0.7276051,0.7276051,-0.1,NaN,0,-88.57266,32,32
12755,18205285,-1.341105e-07,-7.787548e-12,0,0.2091079,0.7237139,0.7237139,0.23,NaN,0,-88.23844,31,31
13162,18306232,-1.341105e-07,-7.133849e-12,0,0.2091079,0.7199728,0.7199728,0.07000000000000001,NaN,0,-88.39951000000001,30,30
13570,18407014,-1.341105e-07,-6.735945e-12,0,0.2091079,0.7151806000000001,0.7151806000000001,0.49,NaN,0,-87.98434,28,28
13977,18507669,-1.341105e-07,-6.82121e-12,0,0.2091079,0.713612,0.713612,-0.1,NaN,0,-88.57774000000001,27,27
14390,18608611,-1.341105e-07,-6.451728e-12,0,0.2091079,0.7124515,0.7124515,0.12,NaN,0,-88.3484,26,26
14800,18709269,-1.341105e-07,-6.281198e-12,0,0.2091079,0.7079917999999999,0.7079917999999999,0.28,NaN,0,-88.19298999999999,25,25
15209,18810229,-1.341105e-07,-6.508571e-12,0,0.2091079,0.7033901,0.7033901,0.12,NaN,0,-88.35317000000001,24,24
15617,18912062,-1.341105e-07,-6.65068e-12,0,0.2091079,0.6937931000000001,0.6937931000000001,0.22,NaN,0,-88.25427000000001,24,24
16000,19012375,-1.341105e-07,-7.290168e-12,0,0.2091079,0.6869511,0.6869511,0.24,NaN,0,-88.24036,23,23
16408,19112784,-1.341105e-07,-6.735945e-12,0,0.2091079,0.6833555,0.6833555,0.59,NaN,0,-87.88714,22,22
16816,19213777,-1.341105e-07,-6.878054e-12,0,0.2091079,0.6814566,0.6814566,-0.01,NaN,0,-88.49771,20,20
17195,19314844,-1.341105e-07,-6.792789e-12,0,0.2091079,0.6788992,0.6788992,0.32,NaN,0,-88.16428000000001,19,19
17604,19415577,-1.341105e-07,-6.423306e-12,0,0.2091079,0.6722137,0.6722137,-0.07000000000000001,NaN,0,-88.56225000000001,19,19
17988,19515917,-1.341105e-07,-6.1533e-12,0,0.2091079,0.6688021,0.6688021,0.25,NaN,0,-88.23164,18,18
18398,19616573,-1.341105e-07,-6.423306e-12,0,0.2091079,0.6612628,0.6612628,0.48,NaN,0,-88.00769,18,18
18806,19716683,-1.341105e-07,-6.423306e-12,0,0.2091079,0.6563547,0.6563547,0.26,NaN,0,-88.22526999999999,17,17
19219,19817051,-1.341105e-07,-6.622258e-12,0,0.2091079,0.6520585,0.6520585,0.25,NaN,0,-88.24168,16,16
19629,19916719,-1.341105e-07,-6.679102e-12,0,0.2091079,0.6454035,0.6454035,0.25,NaN,0,-88.23602,15,15
20040,20016874,-1.341105e-07,-6.437517e-12,0,0.2091079,0.637971,0.637971,0.23,NaN,0,-88.26365,14,14
20448,20117227,-1.341105e-07,-6.508571e-12,0,0.2091079,0.6303696,0.6303696,0.05,NaN,0,-88.44450000000001,14,14
20826,20217189,-1.341105e-07,-6.48015e-12,0,0.2091079,0.6197691,0.6197691,0.19,NaN,0,-88.30643000000001,12,12
21236,20316699,-1.341105e-07,-5.65592e-12,0,0.2091079,0.6072881999999999,0.6072881999999999,0.17,NaN,0,-88.3262,11,11
21644,20417837,-1.341105e-07,-6.181722e-12,0,0.2091079,0.5940014,0.5940014,-0.09,NaN,0,-88.59135999999999,10,10
22051,20517923,-1.341105e-07,-6.508571e-12,0,0.2091079,0.5786409,0.5786409,0.29,NaN,0,-88.20424,9,9
22462,20618621,-1.341105e-07,-6.309619e-12,0,0.2091079,0.5639004,0.5639004,-0.23,NaN,0,-88.73577,8,8
22870,20718861,-1.341105e-07,-6.494361e-12,0,0.2091079,0.547837,0.547837,-0.18,NaN,0,-88.69056,8,8
23252,20818846,-1.341105e-07,-6.139089e-12,0,0.2091079,0.5311642,0.5311642,0,NaN,0,-88.5065,7,7
23664,20919199,-1.341105e-07,-5.343281e-12,0,0.2091079,0.5127276,0.5127276,0,NaN,0,-88.5065,5,5
24078,21019054,-1.341105e-07,-5.726974e-12,0,0.2091079,0.4929592,0.4929592,0.23,NaN,0,-88.27433000000001,4,4
24458,21119098,-1.341105e-07,-6.238565e-12,0,0.2091079,0.4695898,0.4695898,0.31,NaN,0,-88.19521,3,3
24869,21219679,-1.341105e-07,-6.082246e-12,0,0.2091079,0.4515763,0.4515763,0.38,NaN,0,-88.12188,3,3
25279,21321095,-1.341105e-07,-5.670131e-12,0,0.2091079,0.4386111,0.4386111,-0.27,NaN,0,-88.7831,2,2
25691,21421228,-1.341105e-07,-5.897505e-12,0,0.2091079,0.4240757,0.4240757,0.16,NaN,0,-88.35312,1,1
26105,21521816,-1.341105e-07,-5.599077e-12,0,0.2091079,0.409661,0.409661,0.32,NaN,0,-88.18640000000001,0,0
26486,21622100,-1.341105e-07,-6.451728e-12,0,0.2091079,0.395982,0.395982,0.26,NaN,0,-88.24827000000001,0,0
26896,21723539,-1.341105e-07,-5.31486e-12,0,0.2091079,0.384571,0.384571,0.02,NaN,0,-88.48845,0,0
27310,21822814,-1.341105e-07,-5.499601e-12,0,0.2091079,0.3712928,0.3712928,0.39,NaN,0,-88.12063999999999,-1,-1
27721,21923172,-1.341105e-07,-5.243805e-12,0,0.2091079,0.3605301,0.3605301,-0.02,NaN,0,-88.54733,-1,-1
28129,22023881,-1.341105e-07,-6.167511e-12,0,0.2091079,0.3453048,0.3453048,-0.09,NaN,0,-88.61118999999999,-2,-2
28536,22124293,-1.341105e-07,-4.575895e-12,0,0.2091079,0.3268271,0.3268271,0.16,NaN,0,-88.35687,-3,-3
28954,22226141,-1.341105e-07,-4.646949e-12,0,0.2091079,0.3087556,0.3087556,-0.03,NaN,0,0.3087556,-5,-5
29400,22328375,0.002499834,1.001172e-07,3.80704e-05,0.2091079,0.2900723,0.2900723,-0.08,NaN,0,0.2900723,-6,-6
29847,22429378,0.05249935,2.078712e-06,0.0226555,0.2091079,0.2691821,0.2691821,0.18,NaN,0,0.266817,-6,-6
30297,22531056,0.1012491,3.524125e-06,0.06405585,0.2091079,0.2492574,0.2492574,0.01,NaN,0,0.2436956,-6,-6
30714,22633282,0.1487489,4.693866e-06,0.1100196,0.2091079,0.2304814,0.2304814,0.17,NaN,0,0.2249195,-7,-7
31162,22734756,0.1962489,6.28829e-06,0.157112,0.2091079,0.2130062,0.2130062,0.36,NaN,0,0.2032253,-7,-7
31611,22837002,0.2437488,8.255242999999999e-06,0.2044749,0.2091079,0.1998758,0.1998758,-0.1,NaN,0,0.190095,-7,-7
32059,22939520,0.2924988,6.020069e-06,0.2525898,0.2091079,0.1867068,0.1867068,0.35,NaN,0,0.1737216,-6,-6
32508,23041640,0.3325451,3.904104e-05,0.3008489,0.2091079,0.1793749,0.1792748,-0.01,NaN,0,0.1662896,0,1
32926,23143891,0.3061795,8.830428000000001e-05,0.3130714,0.2091079,0.1875166,0.187199,0.31,NaN,0,0.1718486,16,21
33373,23246355,0.2600269,0.0001123846,0.286999,0.2091079,0.2123817,0.2204234,0.38,NaN,0,0.2050731,31,45
33822,23349086,0.2587895,9.566545e-05,0.2701344,0.2091079,0.2505112,0.2781985,0.02,NaN,0,0.2599795,42,61
