LineNo,TimeUS,Tar,Act,Err,P,I,D,FF,Dmod,SRate,Limit
4318,1.6087e+07,2.5591,0.0045748,2.9292,0.52726,0,0,0,1,0,1
4363,1.6097e+07,2.5105,0.003093,2.8821,0.51878,0,0,0,1,0,1
4404,1.6107e+07,2.4618,0.0045838,2.8347,0.51024,0,0,0,1,0,1
4444,1.6117e+07,2.4131,0.0027058,2.7873,0.50171,0,0,0,1,0,1
4490,1.6133e+07,2.34,0.0065977,2.7156,0.4888,0,0,0,1,0,1
4533,1.6145e+07,2.2792,0.0070005,2.6556,0.47801,0,0,0,1,0,1
4573,1.6156e+07,2.2305,0.0082601,2.6074,0.46932,0,0,0,1,0,1
4614,1.6166e+07,2.1818,0.0085539,2.5589,0.4606,0,0,0,1,0,1
4656,1.6175e+07,2.1331,0.0074967,2.5106,0.4519,0,0,0,1,0,1
4696,1.6185e+07,2.0844,0.0079562,2.4621,0.44317,0,0,0,1,0,1
4741,1.6196e+07,2.0357,0.0070851,2.4137,0.43446,0,0,0,1,0,1
4781,1.6205e+07,1.987,0.0068488,2.3653,0.42576,0,0,0,1,0,1
4823,1.6216e+07,1.9383,0.0049122,2.3171,0.41707,0,0,0,1,0,1
4863,1.6226e+07,1.8896,0.0033975,2.2689,0.40839,0,0,0,1,0,1
4904,1.6236e+07,1.841,0.0023411,2.2208,0.39974,0,0,0,1,0,1
4942,1.6245e+07,1.7923,0.0042375,2.1726,0.39106,0,0,0,1,0,1
4979,1.6255e+07,1.7436,0.0017462,2.1244,0.38238,0,0,0,1,0,1
5021,1.6265e+07,1.6949,0.0064074,2.076,0.37367,0,0,0,1,0,1
5063,1.6276e+07,1.6462,0.00763,2.0271,0.36489,0,0,0,1,0,1
5103,1.6285e+07,1.5975,0.0085877,1.9782,0.35608,0,0,0,1,0,1
5148,1.6295e+07,1.5488,0.0082622,1.9293,0.34728,0,0,0,1,0,1
5189,1.6305e+07,1.5001,0.0067318,1.8807,0.33852,0,0,0,1,0,1
5230,1.6316e+07,1.4514,0.010446,1.8317,0.3297,0,0,0,1,0,1
5270,1.6325e+07,1.4027,0.0095708,1.7827,0.32088,0,0,0,1,0,1
5313,1.6338e+07,1.3451,0.006917,1.7219,0.30994,0,0,0,1,0,1
5350,1.6348e+07,1.3247,0.0077391,1.6755,0.30159,0,0,0,1,0,1
5395,1.636e+07,1.318,0.0063851,1.6235,0.29223,0,0,0,1,0,1
5436,1.6371e+07,1.3167,0.0039332,1.5873,0.28572,0,0,0,1,0,1
5476,1.6381e+07,1.3163,0.0029922,1.5554,0.27997,0,0,0,1,0,1
5518,1.639e+07,1.3161,0.0030714,1.5273,0.27491,0,0,0,1,0,1
5562,1.64e+07,1.3161,0.0031041,1.5022,0.2704,0,0,0,1,0,1
5604,1.641e+07,1.316,0.0061691,1.48,0.2664,0,0,0,1,0,1
5645,1.642e+07,1.316,0.0024642,1.4604,0.26287,0,0,0,1,0,1
5685,1.643e+07,1.3159,0.0048393,1.4432,0.25977,0,0,0,1,0,1
5720,1.6441e+07,1.3158,0.0049152,1.4278,0.257,0,0,0,1,0,1
5761,1.6451e+07,1.3157,0.0079293,1.4139,0.25451,0,0,0,1,0,1
5802,1.6462e+07,1.3156,0.0085146,1.4016,0.2523,0,0,0,1,0,1
5842,1.6471e+07,1.3154,0.0091847,1.3905,0.2503,0,0,0,1,0,1
5884,1.6481e+07,1.3152,0.0097745,1.3807,0.24852,0,0,0,1,0,1
5926,1.6492e+07,1.315,0.0061281,1.3721,0.24699,0,0,0,1,0,1
5970,1.6501e+07,1.3148,0.0059859,1.3647,0.24565,0,0,0,1,0,1
6011,1.6512e+07,1.3146,0.0063512,1.3581,0.24446,0,0,0,1,0,1
6053,1.6522e+07,1.3145,0.0040691,1.3524,0.24343,0,0,0,1,0,1
6097,1.6532e+07,1.3143,0.005937,1.3474,0.24254,0,0,0,1,0,1
6134,1.6542e+07,1.3142,0.0052426,1.3429,0.24173,0,0,0,1,0,1
6174,1.6552e+07,1.314,0.004662,1.339,0.24103,0,0,0,1,0,1
6214,1.6563e+07,1.3139,0.0058444,1.3355,0.24039,0,0,0,1,0,1
6255,1.6572e+07,1.3138,0.0086733,1.332,0.23975,0,0,0,1,0,1
6296,1.6583e+07,1.3137,0.0066018,1.3291,0.23924,0,0,0,1,0,1
6337,1.6593e+07,1.3135,0.0093889,1.3262,0.23872,0,0,0,1,0,1
6383,1.6603e+07,1.3134,0.0059698,1.324,0.23831,0,0,0,1,0,1
6427,1.6613e+07,1.3133,0.0067446,1.3219,0.23793,0,0,0,1,0,1
6468,1.6623e+07,1.3132,0.0075078,1.3201,0.23761,0,0,0,1,0,1
6509,1.6633e+07,1.3131,0.0061242,1.3184,0.23731,0,0,0,1,0,1
6547,1.6645e+07,1.313,0.0053873,1.3169,0.23704,0,0,0,1,0,1
6588,1.6656e+07,1.3129,0.0080932,1.3156,0.23681,0,0,0,1,0,1
6628,1.6666e+07,1.3128,0.0055768,1.3145,0.2366,0,0,0,1,0,1
6670,1.6676e+07,1.3128,0.0030841,1.3139,0.2365,0,0,0,1,0,1
6710,1.6685e+07,1.3127,0.0043809,1.3133,0.23639,0,0,0,1,0,1
6755,1.6695e+07,1.3127,0.0074817,1.3126,0.23626,0,0,0,1,0,1
6797,1.6705e+07,1.3126,0.0049063,1.3118,0.23613,0,0,0,1,0,1
6838,1.6715e+07,1.3126,0.0074596,1.3111,0.236,0,0,0,1,0,1
6879,1.6725e+07,1.3125,0.0052298,1.3106,0.23591,0,0,0,1,0,1
6921,1.6735e+07,1.3124,0.0082666,1.31,0.2358,0,0,0,1,0,1
6956,1.6746e+07,1.3124,0.0041333,1.3096,0.23572,0,0,0,1,0,1
6996,1.6756e+07,1.3124,0.008954,1.309,0.23561,0,0,0,1,0,1
7037,1.6766e+07,1.3124,0.0059435,1.3086,0.23555,0,0,0,1,0,1
7078,1.6776e+07,1.3125,0.006555,1.3083,0.2355,0,0,0,1,0,1
7119,1.6786e+07,1.3125,0.0068553,1.308,0.23544,0,0,0,1,0,1
7166,1.6796e+07,1.3126,0.0069661,1.3078,0.23541,0,0,0,1,0,1
7207,1.6805e+07,1.3126,0.006444,1.3075,0.23536,0,0,0,1,0,1
7249,1.6816e+07,1.3126,0.0051658,1.3075,0.23535,0,0,0,1,0,1
7290,1.6826e+07,1.3127,0.00602,1.3075,0.23535,0,0,0,1,0,1
7330,1.6836e+07,1.3127,0.0066145,1.3074,0.23533,0,0,0,1,0,1
7371,1.6845e+07,1.3128,0.004624,1.3073,0.23531,0,0,0,1,0,1
7408,1.6856e+07,1.3128,0.006966,1.3072,0.2353,0,0,0,1,0,1
7449,1.6866e+07,1.3129,0.0051971,1.3072,0.2353,0,0,0,1,0,1
7491,1.6877e+07,1.3129,0.0062323,1.3071,0.23528,0,0,0,1,0,1
7531,1.6887e+07,1.3129,0.0061647,1.3072,0.23529,0,0,0,1,0,1
7575,1.6897e+07,1.3129,0.0057702,1.307,0.23526,0,0,0,1,0,1
7617,1.6906e+07,1.3129,0.0064221,1.307,0.23526,0,0,0,1,0,1
7659,1.6916e+07,1.3129,0.0060128,1.307,0.23527,0,0,0,1,0,1
7700,1.6927e+07,1.3128,0.0059982,1.307,0.23525,0,0,0,1,0,1
7742,1.6939e+07,1.3128,0.0067956,1.307,0.23527,0,0,0,1,0,1
7783,1.695e+07,1.3128,0.0075921,1.3068,0.23523,0,0,0,1,0,1
7820,1.6959e+07,1.3127,0.0064451,1.3068,0.23522,0,0,0,1,0,1
7862,1.6969e+07,1.3126,0.0075609,1.3065,0.23518,0,0,0,1,0,1
7902,1.6979e+07,1.3126,0.0075547,1.3065,0.23517,0,0,0,1,0,1
7943,1.699e+07,1.3125,0.0055933,1.3064,0.23516,0,0,0,1,0,1
7989,1.7e+07,1.3124,0.0055975,1.3065,0.23517,0,0,0,1,0,1
8031,1.701e+07,1.3123,0.0055422,1.3066,0.23519,0,0,0,1,0,1
8074,1.702e+07,0.38219,0.0084467,1.2277,0.22099,0,0,0,1,0,1
8114,1.703e+07,0.11132,0.0070218,1.1057,0.19902,0,0,0,1,0,1
8152,1.704e+07,0.032442,0.0065883,0.98235,0.17682,0,0,0,1,0,1
8189,1.705e+07,0.0094701,0.00055899,0.86967,0.15654,0,0,0,1,0,1
8230,1.706e+07,0.0027796,-0.0029765,0.76917,0.13845,0,0,0,1,0,1
8270,1.707e+07,0.00083121,0.010231,0.67929,0.12227,0,0,0,1,0,1
8312,1.708e+07,0.00026387,0.0097677,0.59868,0.10776,0,0,0,1,0,1
8354,1.709e+07,9.9913e-05,0.012866,0.52678,0.09482,0,0,0,1,0,1
8398,1.7101e+07,5.271e-05,0.010531,0.46357,0.083443,0,0,0,1,0,1
8439,1.711e+07,3.8205e-05,0.011989,0.40803,0.073446,0,0,0,1,0,1
8481,1.712e+07,3.3542e-05,0.014101,0.35957,0.064723,0,0,0,1,0,1
8522,1.713e+07,3.1531e-05,0.012568,0.31693,0.057047,0,0,0,1,0,1
8562,1.714e+07,2.7009e-05,0.0079921,0.28025,0.050444,0,0,0,1,0,1
8602,1.7153e+07,2.8357e-05,-0.0045172,0.2403,0.043254,0,0,0,1,0,1
8643,1.7163e+07,2.7046e-05,0.0056705,0.2124,0.038233,0,0,0,1,0,1
8683,1.7173e+07,2.7986e-05,0.00019758,0.18831,0.033895,0,0,0,1,0,1
8724,1.7183e+07,2.8684e-05,0.0063249,0.16617,0.02991,0,0,0,1,0,1
8765,1.7193e+07,3.0133e-05,0.0060827,0.14689,0.026441,0,0,0,1,0,1
8809,1.7203e+07,3.1104e-05,0.0040633,0.12914,0.023245,0,0,0,1,0,1
8850,1.7213e+07,3.0578e-05,0.0072293,0.11337,0.020406,0,0,0,1,0,1
8890,1.7223e+07,2.9839e-05,0.0095639,0.099079,0.017834,0,0,0,1,0,1
