LineNo,TimeUS,Tar,Act,Err,P,I,D,FF,Dmod,SRate,Limit
4151,1.6044e+07,-0.35229,-0.35229,0,0,-209.11,0,0,1,0,1
4193,1.6054e+07,-0.53654,-0.53654,0,0,-209.11,0,0,1,0,1
4237,1.6067e+07,-0.57545,-0.57545,0,0,-209.11,0,0,1,0,1
4279,1.6077e+07,-1.2889,-1.2889,0,0,-209.11,0,0,1,0,1
4319,1.6087e+07,0.081921,0.081921,0,0,-209.11,0,0,1,0,1
4364,1.6097e+07,2.0466,2.0466,0,0,-209.11,0,0,1,0,1
4405,1.6107e+07,3.7549,3.7549,0,0,-209.11,0,0,1,0,1
4445,1.6117e+07,2.9752,2.9752,0,0,-209.11,0,0,1,0,1
4491,1.6133e+07,0.92487,0.92487,0,0,-209.11,0,0,1,0,1
4534,1.6145e+07,1.4312,1.4312,0,0,-209.11,0,0,1,0,1
4574,1.6156e+07,0.58804,0.58804,0,0,-209.11,0,0,1,0,1
4615,1.6166e+07,2.5296,2.5296,0,0,-209.11,0,0,1,0,1
4657,1.6175e+07,1.333,1.333,0,0,-209.11,0,0,1,0,1
4697,1.6185e+07,1.3811,1.3811,0,0,-209.11,0,0,1,0,1
4742,1.6196e+07,0.96884,0.96884,0,0,-209.11,0,0,1,0,1
4782,1.6205e+07,2.0047,2.0047,0,0,-209.11,0,0,1,0,1
4824,1.6216e+07,3.7459,3.7459,0,0,-209.11,0,0,1,0,1
4864,1.6226e+07,3.8868,3.8868,0,0,-209.11,0,0,1,0,1
4905,1.6236e+07,1.95,1.95,0,0,-209.11,0,0,1,0,1
4943,1.6246e+07,3.4535,3.4535,0,0,-209.11,0,0,1,0,1
4980,1.6255e+07,1.6302,1.6302,0,0,-209.11,0,0,1,0,1
5022,1.6265e+07,-1.2824,-1.2824,0,0,-209.11,0,0,1,0,1
5064,1.6276e+07,-0.20742,-0.20742,0,0,-209.11,0,0,1,0,1
5104,1.6285e+07,0.34285,0.34285,0,0,-209.11,0,0,1,0,1
5149,1.6295e+07,1.9416,1.9416,0,0,-209.11,0,0,1,0,1
5190,1.6305e+07,0.53186,0.53186,0,0,-209.11,0,0,1,0,1
5231,1.6316e+07,2.433,2.433,0,0,-209.11,0,0,1,0,1
5271,1.6325e+07,3.1899,3.1899,0,0,-209.11,0,0,1,0,1
5314,1.6338e+07,3.8559,3.8559,0,0,-209.11,0,0,1,0,1
5351,1.6348e+07,2.3225,2.3225,0,0,-209.11,0,0,1,0,1
5396,1.636e+07,1.7401,1.7401,0,0,-209.11,0,0,1,0,1
5437,1.6371e+07,0.91915,0.91915,0,0,-209.11,0,0,1,0,1
5477,1.6381e+07,0.9675,0.9675,0,0,-209.11,0,0,1,0,1
5519,1.639e+07,1.4536,1.4536,0,0,-209.11,0,0,1,0,1
5563,1.64e+07,1.1668,1.1668,0,0,-209.11,0,0,1,0,1
5605,1.641e+07,1.328,1.328,0,0,-209.11,0,0,1,0,1
5646,1.642e+07,1.8193,1.8193,0,0,-209.11,0,0,1,0,1
5686,1.643e+07,0.15574,0.15574,0,0,-209.11,0,0,1,0,1
5721,1.6441e+07,0.63791,0.63791,0,0,-209.11,0,0,1,0,1
5762,1.6451e+07,1.715,1.715,0,0,-209.11,0,0,1,0,1
5803,1.6462e+07,2.6756,2.6756,0,0,-209.11,0,0,1,0,1
5843,1.6471e+07,1.7805,1.7805,0,0,-209.11,0,0,1,0,1
5885,1.6481e+07,1.377,1.377,0,0,-209.11,0,0,1,0,1
5927,1.6492e+07,-0.27208,-0.27208,0,0,-209.11,0,0,1,0,1
5971,1.6501e+07,-0.3149,-0.3149,0,0,-209.11,0,0,1,0,1
6012,1.6512e+07,-1.025,-1.025,0,0,-209.11,0,0,1,0,1
6054,1.6522e+07,-2.3745,-2.3745,0,0,-209.11,0,0,1,0,1
6098,1.6532e+07,-1.525,-1.525,0,0,-209.11,0,0,1,0,1
6135,1.6542e+07,-1.2339,-1.2339,0,0,-209.11,0,0,1,0,1
6175,1.6552e+07,-2.0839,-2.0839,0,0,-209.11,0,0,1,0,1
6215,1.6563e+07,-1.4516,-1.4516,0,0,-209.11,0,0,1,0,1
6256,1.6572e+07,0.48027,0.48027,0,0,-209.11,0,0,1,0,1
6297,1.6583e+07,1.4867,1.4867,0,0,-209.11,0,0,1,0,1
6338,1.6593e+07,0.75474,0.75474,0,0,-209.11,0,0,1,0,1
6384,1.6603e+07,1.5709,1.5709,0,0,-209.11,0,0,1,0,1
6428,1.6613e+07,0.69427,0.69427,0,0,-209.11,0,0,1,0,1
6469,1.6623e+07,0.0014305,0.0014305,0,0,-209.11,0,0,1,0,1
6510,1.6633e+07,-0.94109,-0.94109,0,0,-209.11,0,0,1,0,1
6548,1.6645e+07,-0.73862,-0.73862,0,0,-209.11,0,0,1,0,1
6589,1.6656e+07,-0.28172,-0.28172,0,0,-209.11,0,0,1,0,1
6629,1.6666e+07,-0.49772,-0.49772,0,0,-209.11,0,0,1,0,1
6671,1.6676e+07,0.59118,0.59118,0,0,-209.11,0,0,1,0,1
6711,1.6685e+07,1.3752,1.3752,0,0,-209.11,0,0,1,0,1
6756,1.6695e+07,1.2081,1.2081,0,0,-209.11,0,0,1,0,1
6798,1.6705e+07,1.4339,1.4339,0,0,-209.11,0,0,1,0,1
6839,1.6715e+07,1.8581,1.8581,0,0,-209.11,0,0,1,0,1
6880,1.6725e+07,0.5064,0.5064,0,0,-209.11,0,0,1,0,1
6922,1.6735e+07,0.35267,0.35267,0,0,-209.11,0,0,1,0,1
6957,1.6746e+07,0.20523,0.20523,0,0,-209.11,0,0,1,0,1
