LineNo,TimeUS,Tar,Act,Err,P,I,D,FF,Dmod,SRate,Limit
1.9041e+05,6.0828e+07,-0.03535,-0.10536,0.070009,0.0094512,-0.0089829,0.019036,0,1,0,0
1.9046e+05,6.0838e+07,-0.03164,-0.18709,0.15545,0.020986,-0.0088855,0.0437,0,1,0,0
1.905e+05,6.0848e+07,-0.026875,-0.18961,0.16274,0.02197,-0.0087698,0.03753,0,1,0,0
1.9055e+05,6.0859e+07,-0.072122,-0.13075,0.058626,0.0079145,-0.0087187,0.0032324,0,1,0,0
1.9059e+05,6.0869e+07,-0.082639,-0.11543,0.032793,0.004427,-0.0087211,0.0077904,0,1,0,0
1.9063e+05,6.0885e+07,-0.091942,-0.13098,0.039035,0.0052698,-0.0086988,0.011555,0,1,0,0
1.9068e+05,6.0896e+07,-0.1021,-0.10469,0.0025907,0.00034975,-0.0086625,-0.012424,0,1,0,0
1.9072e+05,6.0906e+07,-0.10649,-0.057807,-0.048683,-0.0065722,-0.0086715,-0.028195,0,1,0,0
1.9077e+05,6.0916e+07,-0.10286,-0.062922,-0.03994,-0.0053919,-0.0086984,-0.016818,0,1,0,0
1.9082e+05,6.0927e+07,-0.097399,-0.064802,-0.032598,-0.0044007,-0.0087191,-0.011347,0,1,0,0
1.9086e+05,6.0937e+07,-0.091264,-0.086095,-0.0051683,-0.00069773,-0.0087039,-0.0064397,0,1,0,0
1.9091e+05,6.0947e+07,-0.090534,-0.062963,-0.027571,-0.0037221,-0.0087044,-0.016903,0,1,0,0
1.9095e+05,6.0957e+07,-0.086782,-0.071568,-0.015214,-0.0020538,-0.0086952,-0.012185,0,1,0,0
1.91e+05,6.097e+07,-0.087748,-0.14635,0.058604,0.0079115,-0.0086618,0.016802,0,1,0,0
1.9105e+05,6.0985e+07,-0.086145,-0.048306,-0.037839,-0.0051083,-0.0086292,-0.028335,0,1,0,0
1.9109e+05,6.0996e+07,-0.084951,-0.14573,0.060784,0.0082058,-0.0085808,0.015944,0,1,0,0
1.9113e+05,6.1007e+07,-0.081304,-0.17954,0.09824,0.013262,-0.0085343,0.031424,0,1,0,0
1.9118e+05,6.1017e+07,-0.081824,-0.19826,0.11644,0.015719,-0.0085026,0.040753,0,1,0,0
1.9122e+05,6.1027e+07,-0.076926,-0.16806,0.09113,0.012303,-0.0084686,0.028394,0,1,0,0
1.9127e+05,6.1038e+07,-0.064498,-0.12468,0.060184,0.0081248,-0.0084277,0.01266,0,1,0,0
1.9131e+05,6.1048e+07,-0.056887,-0.028806,-0.028081,-0.003791,-0.0084117,-0.021213,0,1,0,0
1.9136e+05,6.1058e+07,-0.052043,-0.076347,0.024305,0.0032811,-0.0083759,0.0020291,0,1,0,0
1.914e+05,6.1069e+07,-0.046847,-0.10338,0.056536,0.0076323,-0.0083011,0.010309,0,1,0,0
1.9145e+05,6.1079e+07,-0.030763,-0.094428,0.063665,0.0085947,-0.0082339,0.013681,0,1,0,0
1.9149e+05,6.1094e+07,-0.0026242,-0.032648,0.030023,0.0040532,-0.0081377,-0.011281,0,1,0,0
