LineNo,TimeUS,C,IVN,IVE,IVD,IPN,IPE,IPD,IMX,IMY,IMZ,IYAW,IVT,RErr,ErSc
204,1.5036e+07,1,0,0,0,0,0,0.24,0,0,0,-0.44,0,0,0
307,1.507e+07,1,0,0,0,0,0,-0.1,0,0,0,-0.44,0,0,0
649,1.5132e+07,1,0,0,0,0,0,-0.1,0,0,0,-0.44,0,0,0
762,1.5148e+07,1,0,0,0,0,0,-0.1,0,0,0,-0.44,0,0,0
875,1.5164e+07,1,0,0,0,0,0,-0.1,0,0,0,-0.44,0,0,0
988,1.5181e+07,1,0,0,0,0,0,-0.1,0,0,0,-0.44,0,0,0
1219,1.5259e+07,1,0,0,0,0,0,-0.22,0,0,0,-0.44,0,0,0
1603,1.5414e+07,1,0,0,0,0,0,-0.22,0,0,0,-0.8,0,0,0
1681,1.5425e+07,1,0,0,0,0,0,-0.22,0,0,0,-0.8,0,0,0
1723,1.5435e+07,1,0,0,0,0,0,-0.22,0,0,0,-0.8,0,0,0
1763,1.5445e+07,1,0,0,0,0,0,-0.22,0,0,0,-0.8,0,0,0
1804,1.5458e+07,1,0,0,0,0,0,-0.22,0,0,0,-0.97,0,0,0
1847,1.5472e+07,1,0,0,0,0,0,-0.15,0,0,0,-0.97,0,0,0
1889,1.5481e+07,1,0,0,0,0,0,-0.15,0,0,0,-0.97,0,0,0
1934,1.5491e+07,1,0,0,0,0,0,-0.15,0,0,0,-0.97,0,0,0
1974,1.5501e+07,1,0,0,0,0,0,-0.15,0,0,0,-0.97,0,0,0
2015,1.5511e+07,1,0,0,0,0,0,-0.15,0,0,0,-0.97,0,0,0
2058,1.5521e+07,1,0,0,0,0,0,-0.15,0,0,0,-0.97,0,0,0
2102,1.5537e+07,1,0,0,0,0,0,-0.28,0,0,0,-0.28,0,0,0
2146,1.5547e+07,1,0,0,0,0,0,-0.28,0,0,0,-0.28,0,0,0
2186,1.5557e+07,1,0,0,0,0,0,-0.28,0,0,0,-0.28,0,0,0
2227,1.5567e+07,1,0,0,0,0,0,-0.28,0,0,0,-0.28,0,0,0
2268,1.5577e+07,1,0,0,0,0,0,-0.28,0,0,0,-0.28,0,0,0
2312,1.5587e+07,1,0,0,0,0,0,-0.28,0,0,0,-0.28,0,0,0
2354,1.5597e+07,1,0,0,0,0,0,-0.28,0,0,0,-0.28,0,0,0
