LineNo,TimeUS,C,MI,BI,GI,AI,SS
7044,1.6764e+07,0,0,0,0,0,0
7085,1.6774e+07,0,0,0,0,0,0
7126,1.6784e+07,0,0,0,0,0,0
7173,1.6794e+07,0,0,0,0,0,0
7214,1.6804e+07,0,0,0,0,0,0
7256,1.6814e+07,0,0,0,0,0,0
7297,1.6824e+07,0,0,0,0,0,0
7337,1.6834e+07,0,0,0,0,0,0
7378,1.6844e+07,0,0,0,0,0,0
7415,1.6855e+07,0,0,0,0,0,0
7456,1.6865e+07,0,0,0,0,0,0
7498,1.6875e+07,0,0,0,0,0,0
7538,1.6885e+07,0,0,0,0,0,0
7582,1.6895e+07,0,0,0,0,0,0
7624,1.6905e+07,0,0,0,0,0,0
7666,1.6915e+07,0,0,0,0,0,0
7707,1.6925e+07,0,0,0,0,0,0
7749,1.6938e+07,0,0,0,0,0,0
7790,1.6948e+07,0,0,0,0,0,0
7827,1.6958e+07,0,0,0,0,0,0
7869,1.6968e+07,0,0,0,0,0,0
7909,1.6978e+07,0,0,0,0,0,0
7950,1.6988e+07,0,0,0,0,0,0
7996,1.6998e+07,0,0,0,0,0,0
8038,1.7008e+07,0,0,0,0,0,0
8081,1.7019e+07,0,0,0,0,0,0
8121,1.7029e+07,0,0,0,0,0,0
8159,1.7039e+07,0,0,0,0,0,0
8196,1.7049e+07,0,0,0,0,0,0
8237,1.7059e+07,0,0,0,0,0,0
8277,1.7069e+07,0,0,0,0,0,0
8319,1.7079e+07,0,0,0,0,0,0
8361,1.7089e+07,0,0,0,0,0,0
8405,1.7099e+07,0,0,0,0,0,0
8446,1.7109e+07,0,0,0,0,0,0
8488,1.7119e+07,0,0,0,0,0,0
8529,1.7129e+07,0,0,0,0,0,0
8569,1.7139e+07,0,0,0,0,0,0
8609,1.7151e+07,0,0,0,0,0,0
8650,1.7161e+07,0,0,0,0,0,0
8690,1.7171e+07,0,0,0,0,0,0
8731,1.7181e+07,0,0,0,0,0,0
8772,1.7191e+07,0,0,0,0,0,0
8816,1.7201e+07,0,0,0,0,0,0
8857,1.7211e+07,0,0,0,0,0,0
8897,1.7222e+07,0,0,0,0,0,0
8939,1.7232e+07,0,0,0,0,0,0
8976,1.7242e+07,0,0,0,0,0,0
9014,1.7252e+07,0,0,0,0,0,0
9055,1.7262e+07,0,0,0,0,0,0
9095,1.7272e+07,0,0,0,0,0,0
9136,1.7282e+07,0,0,0,0,0,0
9176,1.7292e+07,0,0,0,0,0,0
9221,1.7302e+07,0,0,0,0,0,0
9256,1.7332e+07,0,0,0,0,0,0
9299,1.7342e+07,0,0,0,0,0,0
9336,1.7352e+07,0,0,0,0,0,0
9374,1.7362e+07,0,0,0,0,0,0
9415,1.7372e+07,0,0,0,0,0,0
9455,1.7382e+07,0,0,0,0,0,0
9497,1.7392e+07,0,0,0,0,0,0
9541,1.7402e+07,0,0,0,0,0,0
9582,1.7412e+07,0,0,0,0,0,0
9622,1.7422e+07,0,0,0,0,0,0
9665,1.7432e+07,0,0,0,0,0,0
9706,1.7442e+07,0,0,0,0,0,0
9743,1.7452e+07,0,0,0,0,0,0
9785,1.7465e+07,0,0,0,0,0,0
9826,1.7475e+07,0,0,0,0,0,0
9866,1.7485e+07,0,0,0,0,0,0
9907,1.7495e+07,0,0,0,0,0,0
9951,1.7505e+07,0,0,0,0,0,0
9995,1.7515e+07,0,0,0,0,0,0
10035,1.7525e+07,0,0,0,0,0,0
10076,1.7535e+07,0,0,0,0,0,0
10115,1.7545e+07,0,0,0,0,0,0
10154,1.7555e+07,0,0,0,0,0,0
10195,1.7565e+07,0,0,0,0,0,0
10235,1.7575e+07,0,0,0,0,0,0
10277,1.7585e+07,0,0,0,0,0,0
10317,1.7595e+07,0,0,0,0,0,0
10363,1.7605e+07,0,0,0,0,0,0
10404,1.7615e+07,0,0,0,0,0,0
10444,1.7625e+07,0,0,0,0,0,0
10486,1.7635e+07,0,0,0,0,0,0
10523,1.7648e+07,0,0,0,0,0,0
10565,1.7658e+07,0,0,0,0,0,0
10607,1.7668e+07,0,0,0,0,0,0
10648,1.7678e+07,0,0,0,0,0,0
10689,1.7688e+07,0,0,0,0,0,0
