LineNo,TimeUS,Id,Pri,Total,Free,Name
4603,1.6161e+07,19,181,1360,728,0
13932,1.8495e+07,19,181,1360,728,0
23417,2.0857e+07,19,181,1360,728,0
33282,2.3227e+07,19,181,1360,728,0
43484,2.5603e+07,19,181,1360,728,0
53632,2.8029e+07,19,181,1360,728,0
63416,3.0368e+07,19,181,1360,728,0
73391,3.2753e+07,19,181,1360,728,0
83370,3.5146e+07,19,181,1360,728,0
93484,3.757e+07,19,181,1360,728,0
1.0349e+05,3.9969e+07,19,181,1360,728,0
1.1324e+05,4.2298e+07,19,181,1360,728,0
1.2317e+05,4.4678e+07,19,181,1360,728,0
1.3314e+05,4.7095e+07,19,181,1360,728,0
1.4299e+05,4.9466e+07,19,181,1360,728,0
1.5311e+05,5.1895e+07,19,181,1360,728,0
1.6307e+05,5.4281e+07,19,181,1360,728,0
1.7282e+05,5.6607e+07,19,181,1360,728,0
1.8256e+05,5.8931e+07,19,181,1360,728,0
1.9229e+05,6.1277e+07,19,181,1360,728,0
2.0221e+05,6.3673e+07,19,181,1360,728,0
2.1215e+05,6.6051e+07,19,181,1360,728,0
2.2215e+05,6.8435e+07,19,181,1360,728,0
2.3211e+05,7.082e+07,19,181,1360,728,0
2.4251e+05,7.3271e+07,19,181,1360,728,0
2.5267e+05,7.5655e+07,19,181,1360,728,0
2.6299e+05,7.8059e+07,19,181,1360,728,0
2.73e+05,8.0398e+07,19,181,1360,728,0
2.8324e+05,8.2791e+07,19,181,1360,728,0
2.9343e+05,8.5182e+07,19,181,1360,728,0
