LineNo,TimeUS,Id,Pri,Total,Free,Name
2540,1.5647e+07,14,60,656,384,0
11829,1.7969e+07,14,60,656,384,0
21361,2.0345e+07,14,60,656,384,0
30934,2.2684e+07,14,60,656,384,0
41247,2.5077e+07,14,60,656,384,0
51170,2.7444e+07,14,60,656,384,0
61155,2.9831e+07,14,60,656,384,0
71040,3.2183e+07,14,60,656,384,0
81159,3.4611e+07,14,60,656,384,0
91184,3.7021e+07,14,60,656,384,0
1.0137e+05,3.9457e+07,14,60,656,384,0
1.11e+05,4.1766e+07,14,60,656,384,0
1.2084e+05,4.4124e+07,14,60,656,384,0
1.3075e+05,4.6501e+07,14,60,656,384,0
1.4074e+05,4.8921e+07,14,60,656,384,0
1.5086e+05,5.136e+07,14,60,656,384,0
1.607e+05,5.3708e+07,14,60,656,384,0
1.7058e+05,5.6081e+07,14,60,656,384,0
1.8027e+05,5.8384e+07,14,60,656,384,0
1.9005e+05,6.0736e+07,14,60,656,384,0
1.9986e+05,6.3111e+07,14,60,656,384,0
2.0979e+05,6.5485e+07,14,60,656,384,0
2.1988e+05,6.7892e+07,14,60,656,384,0
2.2987e+05,7.0275e+07,14,60,656,384,0
2.4026e+05,7.2749e+07,14,60,656,384,0
2.5036e+05,7.5107e+07,14,60,656,384,0
2.606e+05,7.7501e+07,14,60,656,384,0
2.7075e+05,7.9866e+07,14,60,656,384,0
2.8072e+05,8.22e+07,14,60,656,384,0
2.9121e+05,8.4652e+07,14,60,656,384,0
3.0124e+05,8.701e+07,14,60,656,384,0
