LineNo,TimeUS,Id,Pri,Total,Free,Name
7606,1.6902e+07,4,183,1360,1008,0
17027,1.9273e+07,4,183,1360,1008,0
26436,2.1607e+07,4,183,1360,1008,0
36552,2.3981e+07,4,183,1360,1008,0
46607,2.6355e+07,4,183,1360,1008,0
56826,2.8791e+07,4,183,1360,1008,0
66583,3.1126e+07,4,183,1360,1008,0
76636,3.3528e+07,4,183,1360,1008,0
86712,3.5955e+07,4,183,1360,1008,0
96725,3.8354e+07,4,183,1360,1008,0
1.065e+05,4.0693e+07,4,183,1360,1008,0
1.1631e+05,4.3046e+07,4,183,1360,1008,0
1.2624e+05,4.5417e+07,4,183,1360,1008,0
1.3624e+05,4.7838e+07,4,183,1360,1008,0
1.4627e+05,5.0257e+07,4,183,1360,1008,0
1.5625e+05,5.2648e+07,4,183,1360,1008,0
1.6613e+05,5.5015e+07,4,183,1360,1008,0
1.759e+05,5.7333e+07,4,183,1360,1008,0
1.8576e+05,5.9699e+07,4,183,1360,1008,0
1.954e+05,6.2028e+07,4,183,1360,1008,0
2.0532e+05,6.4421e+07,4,183,1360,1008,0
2.1542e+05,6.6826e+07,4,183,1360,1008,0
2.2535e+05,6.9199e+07,4,183,1360,1008,0
2.3549e+05,7.1623e+07,4,183,1360,1008,0
2.4566e+05,7.401e+07,4,183,1360,1008,0
2.5586e+05,7.6398e+07,4,183,1360,1008,0
2.6614e+05,7.8792e+07,4,183,1360,1008,0
2.7616e+05,8.1128e+07,4,183,1360,1008,0
2.8644e+05,8.3541e+07,4,183,1360,1008,0
2.9664e+05,8.594e+07,4,183,1360,1008,0
