LineNo,TimeUS,Tar,Act,Err,P,I,D,FF,Dmod,SRate,Limit
2.3662e+05,7.1899e+07,-0.11595,0.038766,-0.15472,-0.020887,-9.7611e-07,-0.014797,0,1,0,1
2.3667e+05,7.1909e+07,-0.11531,0.03882,-0.15412,-0.020807,-9.1741e-07,-0.026411,0,1,0,1
2.3671e+05,7.192e+07,-0.11456,0.05469,-0.16925,-0.022848,-8.6225e-07,-0.033332,0,1,0,1
2.3676e+05,7.1929e+07,-0.11384,0.043538,-0.15737,-0.021246,-8.104e-07,-0.02851,0,1,0,1
2.368e+05,7.194e+07,-0.11445,0.06007,-0.17452,-0.02356,-7.6167e-07,-0.025681,0,1,0,1
2.3684e+05,7.195e+07,-0.11333,0.042232,-0.15556,-0.021,-7.2705e-07,-0.024763,0,1,0,1
2.3689e+05,7.196e+07,-0.1136,0.055465,-0.16906,-0.022823,-6.8333e-07,-0.029806,0,1,0,1
2.3694e+05,7.197e+07,-0.11333,0.047829,-0.16116,-0.021756,-6.4224e-07,-0.026804,0,1,0,1
2.3698e+05,7.198e+07,-0.11389,0.062062,-0.17596,-0.023754,-6.0362e-07,-0.023264,0,1,0,1
2.3702e+05,7.1991e+07,-0.11362,0.033378,-0.147,-0.019845,-5.7619e-07,-0.0178,0,1,0,1
2.3706e+05,7.2003e+07,-0.11332,0.0073164,-0.12064,-0.016286,-5.5e-07,-0.0054026,0,1,0,1
2.3711e+05,7.2013e+07,-0.11285,0.019326,-0.13218,-0.017844,-5.1693e-07,-0.0070053,0,1,0,1
2.3715e+05,7.2023e+07,-0.11327,0.014617,-0.12789,-0.017265,-4.8584e-07,0.0017451,0,1,0,1
2.372e+05,7.2034e+07,-0.11287,-0.016378,-0.096491,-0.013026,-4.5663e-07,0.0062973,0,1,0,1
2.3725e+05,7.2044e+07,-0.11245,0.004457,-0.11691,-0.015783,-4.2917e-07,-0.0018342,0,1,0,1
2.3729e+05,7.2054e+07,-0.11241,0.00046688,-0.11287,-0.015238,-4.0336e-07,0.0027546,0,1,0,1
2.3734e+05,7.2064e+07,-0.11328,-0.019399,-0.09388,-0.012674,-3.7911e-07,0.01787,0,1,0,1
2.3738e+05,7.2074e+07,-0.11272,-0.027029,-0.085695,-0.011569,-3.5631e-07,0.0095615,0,1,0,1
2.3742e+05,7.2086e+07,-0.11296,-0.039317,-0.073644,-0.0099419,-3.4012e-07,0.017592,0,1,0,1
2.3747e+05,7.2099e+07,-0.11235,0.053781,-0.16613,-0.022428,-3.1967e-07,-0.020513,0,1,0,1
2.3751e+05,7.211e+07,-0.11246,-0.024271,-0.088194,-0.011906,-3.0044e-07,0.0059665,0,1,0,1
2.3756e+05,7.212e+07,-0.11263,0.018887,-0.13152,-0.017756,-2.8238e-07,-0.0095159,0,1,0,1
2.376e+05,7.213e+07,-0.11214,0.030538,-0.14268,-0.019262,-2.654e-07,-0.018484,0,1,0,1
2.3765e+05,7.214e+07,-0.11276,0.057346,-0.17011,-0.022964,-2.4944e-07,-0.019502,0,1,0,1
2.377e+05,7.2151e+07,-0.11272,0.0057481,-0.11847,-0.015993,0,-0.0042428,0,1,0,1
2.3774e+05,7.2162e+07,-0.11226,-0.0029528,-0.1093,-0.014756,0,0.0036279,0,1,0,1
2.3778e+05,7.2172e+07,-0.11084,-0.017754,-0.093085,-0.012566,0,0.006321,0,1,0,1
2.3783e+05,7.2185e+07,-0.11007,-0.054186,-0.055886,-0.0075446,0,0.03172,0,1,0,1
2.3788e+05,7.2195e+07,-0.10891,-0.046543,-0.062367,-0.0084195,0,0.021501,0,1,0,1
2.3792e+05,7.2206e+07,-0.10748,-0.036936,-0.070545,-0.0095235,0,0.015935,0,1,0,1
2.3797e+05,7.2217e+07,-0.1064,0.0071145,-0.11351,-0.015324,0,0.0011726,0,1,0,1
2.3801e+05,7.2227e+07,-0.10601,-0.028992,-0.077016,-0.010397,0,0.019805,0,1,0,1
2.3806e+05,7.2237e+07,-0.10457,-0.030642,-0.073927,-0.0099802,0,0.0096267,0,1,0,1
2.381e+05,7.2247e+07,-0.10205,-0.031353,-0.070696,-0.009544,0,0.00070911,0,1,0,1
2.3815e+05,7.2257e+07,-0.10036,-0.0047871,-0.095572,-0.012902,0,-0.002836,0,1,0,1
2.382e+05,7.2268e+07,-0.099134,-0.0007444,-0.09839,-0.013283,0,-8.4037e-05,0,1,0,1
2.3824e+05,7.2278e+07,-0.097515,0.0061018,-0.10362,-0.013988,0,-0.0059505,0,1,0,1
2.3829e+05,7.229e+07,-0.095799,0.023567,-0.11937,-0.016114,0,-0.010373,0,1,0,1
2.3833e+05,7.2301e+07,-0.094557,0.0057142,-0.10027,-0.013537,0,-0.001867,0,1,0,1
2.3838e+05,7.2311e+07,-0.093482,7.0416e-06,-0.093489,-0.012621,0,0.0014666,0,1,0,1
2.3842e+05,7.2322e+07,-0.092534,0.010992,-0.10353,-0.013976,0,-0.0026421,0,1,0,1
2.3847e+05,7.2333e+07,-0.091656,0.0073692,-0.099025,-0.013368,0,-5.0475e-05,0,1,0,1
2.3851e+05,7.2343e+07,-0.090824,0.017555,-0.10838,-0.014631,0,-0.0044678,0,1,0,1
2.3856e+05,7.2353e+07,-0.089965,0.020057,-0.11002,-0.014853,0,-0.0066195,0,1,0,1
