LineNo,TimeUS,Id,Pri,Total,Free,Name
8917,1.7226e+07,7,177,1360,712,0
18308,1.9592e+07,7,177,1360,712,0
27725,2.1924e+07,7,177,1360,712,0
37948,2.4307e+07,7,177,1360,712,0
47956,2.6676e+07,7,177,1360,712,0
58083,2.909e+07,7,177,1360,712,0
67901,3.1441e+07,7,177,1360,712,0
77955,3.385e+07,7,177,1360,712,0
88022,3.627e+07,7,177,1360,712,0
98073,3.8672e+07,7,177,1360,712,0
1.0781e+05,4.1006e+07,7,177,1360,712,0
1.1762e+05,4.3355e+07,7,177,1360,712,0
1.2754e+05,4.573e+07,7,177,1360,712,0
1.3765e+05,4.8177e+07,7,177,1360,712,0
1.4767e+05,5.0595e+07,7,177,1360,712,0
1.5756e+05,5.2962e+07,7,177,1360,712,0
1.6749e+05,5.5346e+07,7,177,1360,712,0
1.7722e+05,5.7653e+07,7,177,1360,712,0
1.8706e+05,6.0012e+07,7,177,1360,712,0
1.9663e+05,6.2333e+07,7,177,1360,712,0
2.0667e+05,6.4742e+07,7,177,1360,712,0
2.1672e+05,6.7133e+07,7,177,1360,712,0
2.2678e+05,6.9535e+07,7,177,1360,712,0
2.3688e+05,7.1956e+07,7,177,1360,712,0
2.4707e+05,7.4339e+07,7,177,1360,712,0
2.5735e+05,7.6748e+07,7,177,1360,712,0
2.6746e+05,7.9103e+07,7,177,1360,712,0
2.7756e+05,8.1461e+07,7,177,1360,712,0
2.8784e+05,8.3867e+07,7,177,1360,712,0
2.98e+05,8.6254e+07,7,177,1360,712,0
