LineNo,TimeUS,C,SV,SP,SH,SM,SVT,errRP,OFN,OFE,FS,TS,SS,GPS,PI
201,1.5036e+07,1,0,0,0.02,0,0,0.046058,0,0,0,50,67751,0,0
304,1.507e+07,1,0,0,0,0,0,0.046358,0,0,0,50,67751,0,0
646,1.5132e+07,1,0,0,0,0,0,0.046806,0,0,0,50,67751,0,0
759,1.5148e+07,1,0,0,0,0,0,0.046958,0,0,0,50,67751,0,0
872,1.5164e+07,1,0,0,0,0,0,0.04711,0,0,0,50,67751,0,0
985,1.5181e+07,1,0,0,0,0,0,0.047262,0,0,0,50,67751,0,0
1216,1.5259e+07,1,0,0,0.01,0,0,0.04772,0,0,0,50,67751,0,0
1600,1.5414e+07,1,0,0,0.01,0,0,0.048624,0,0,0,50,67751,0,0
1678,1.5425e+07,1,0,0,0.01,0,0,0.04878,0,0,0,50,67751,0,0
1720,1.5435e+07,1,0,0,0.01,0,0,0.048932,0,0,0,50,67751,0,0
1760,1.5445e+07,1,0,0,0.01,0,0,0.049087,0,0,0,50,67751,0,0
1801,1.5458e+07,1,0,0,0.01,0.01,0,0.049239,0,0,0,50,67751,0,0
1844,1.5472e+07,1,0,0,0,0.01,0,0.049391,0,0,0,50,67751,0,0
1886,1.5481e+07,1,0,0,0,0.01,0,0.049524,0,0,0,50,67751,0,0
1931,1.5491e+07,1,0,0,0,0.01,0,0.049524,0,0,0,50,67751,0,0
1971,1.5501e+07,1,0,0,0,0.01,0,0.049676,0,0,0,50,67751,0,0
2012,1.5511e+07,1,0,0,0,0.01,0,0.049828,0,0,0,50,67751,0,0
2055,1.5521e+07,1,0,0,0,0.01,0,0.04998,0,0,0,50,67751,0,0
2099,1.5537e+07,1,0,0,0.01,0,0,0.050132,0,0,0,50,67751,0,0
2143,1.5547e+07,1,0,0,0.01,0,0,0.050132,0,0,0,50,67751,0,0
2183,1.5557e+07,1,0,0,0.01,0,0,0.050258,0,0,0,50,67751,0,0
2224,1.5567e+07,1,0,0,0.01,0,0,0.05041,0,0,0,50,67751,0,0
2265,1.5577e+07,1,0,0,0.01,0,0,0.050562,0,0,0,50,67751,0,0
2309,1.5587e+07,1,0,0,0.01,0,0,0.050714,0,0,0,50,67751,0,0
2351,1.5597e+07,1,0,0,0.01,0,0,0.050866,0,0,0,50,67751,0,0
2392,1.5607e+07,1,0,0,0.01,0,0,0.050866,0,0,0,50,67751,0,0
2436,1.5617e+07,1,0,0,0.01,0,0,0.051018,0,0,0,50,67751,0,0
2476,1.5627e+07,1,0,0,0.01,0,0,0.05117,0,0,0,50,67751,0,0
2514,1.5638e+07,1,0,0,0.01,0,0,0.051322,0,0,0,50,67751,0,0
2557,1.5648e+07,1,0,0,0.01,0,0,0.051322,0,0,0,50,67751,0,0
2597,1.5658e+07,1,0,0,0.01,0,0,0.051443,0,0,0,50,67751,0,0
2638,1.5668e+07,1,0,0,0.01,0,0,0.051594,0,0,0,50,67751,0,0
2678,1.5678e+07,1,0,0,0.01,0,0,0.051594,0,0,0,50,67751,0,0
2723,1.5688e+07,1,0,0,0.01,0,0,0.051746,0,0,0,50,67751,0,0
2764,1.5698e+07,1,0,0,0.01,0,0,0.051899,0,0,0,50,67751,0,0
2805,1.5708e+07,1,0,0,0.01,0,0,0.052051,0,0,0,50,67751,0,0
2846,1.5718e+07,1,0,0,0.01,0,0,0.052051,0,0,0,50,67751,0,0
2886,1.5728e+07,1,0,0,0.01,0,0,0.052203,0,0,0,50,67751,0,0
2928,1.5738e+07,1,0,0,0.01,0,0,0.052355,0,0,0,50,67751,0,0
2970,1.5748e+07,1,0,0,0.01,0,0,0.052355,0,0,0,50,67751,0,0
3009,1.5758e+07,1,0,0,0,0.01,0,0.052507,0,0,0,50,67751,0,0
3051,1.5768e+07,1,0,0,0,0.01,0,0.052621,0,0,0,50,67751,0,0
