LineNo,TimeUS,NLon,NLoop,MaxT,Mem,Load,ErrL,IntE,ErrC,SPIC,I2CC,I2CI,Ex
3156,1.5792e+07,22,4000,46011,43880,703,0,0,0,1.4689e+05,2215,9396,200
44890,2.5941e+07,79,4000,4392,44528,577,0,0,0,2.6194e+05,3331,14976,650
88939,3.6493e+07,375,4000,4477,44528,725,0,0,0,3.8104e+05,4492,20786,300
1.328e+05,4.7012e+07,336,4000,4426,44680,704,0,0,0,4.997e+05,5652,26580,350
1.7686e+05,5.7561e+07,353,4001,4691,44680,719,0,0,0,6.1893e+05,6833,32436,300
2.206e+05,6.8064e+07,344,4000,4709,44680,742,0,0,0,7.3756e+05,8009,38279,200
2.6484e+05,7.8491e+07,399,4000,3973,44680,690,0,0,0,8.5532e+05,9177,44074,250
