LineNo,TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt
1877,101495453,0,0,0,0.2585996,-1.325567,-1.325567,-1.36,NaN,0,0.1243035,49,49
2310,101596535,0,0,0,0.2585996,-1.293572,-1.293572,-1.14,NaN,0,0.1562978,48,48
2747,101701637,0,0,0,0.2585996,-1.270004,-1.270004,-1.07,NaN,0,0.1798661,47,47
3202,101804679,0,0,0,0.2585996,-1.242592,-1.242592,-1.08,NaN,0,0.2072785,46,46
3653,101908623,0,0,0,0.2585996,-1.221993,-1.221993,-1.19,NaN,0,0.2276479,45,45
4112,102012661,0,0,0,0.2585996,-1.203587,-1.203587,-1.06,NaN,0,0.2460545,44,44
4559,102115849,0,0,0,0.2585996,-1.185374,-1.185374,-1.19,NaN,0,0.2642671,42,42
5012,102220167,0,0,0,0.2585996,-1.171399,-1.171399,-1.26,NaN,0,0.2779751,41,41
5429,102322882,0,0,0,0.2585996,-1.164394,-1.164394,-1.59,NaN,0,0.2849037,40,40
5880,102425629,0,0,0,0.2585996,-1.150879,-1.150879,-1.39,NaN,0,0.298419,39,39
6315,102529670,0,0,0,0.2585996,-1.150134,-1.150134,-1.14,NaN,0,0.2991638,37,37
6747,102630527,0,0,0,0.2585996,-1.137282,-1.137282,-1.19,NaN,0,0.3120159,36,36
7184,102733219,0,0,0,0.2585996,-1.138306,-1.138306,-1.35,NaN,0,0.3109914,35,35
7634,102835983,0,0,0,0.2585996,-1.129336,-1.129336,-1.47,NaN,0,0.3199622,34,34
8052,102940275,0,0,0,0.2585996,-1.132694,-1.132694,-1.44,NaN,0,0.3164664,32,32
8510,103044850,0,0,0,0.2585996,-1.122777,-1.122777,-1.44,NaN,0,0.3263837,32,32
8959,103147241,0,0,0,0.2585996,-1.126974,-1.126974,-1.57,NaN,0,0.3221867,30,30
9411,103250657,0,0,0,0.2585996,-1.121148,-1.121148,-1.53,NaN,0,0.3280126,29,29
9858,103353318,0,0,0,0.2585996,-1.12633,-1.12633,-1.11,NaN,0,0.3228312,28,28
10271,103455941,0,0,0,0.2585996,-1.12606,-1.12606,-1.44,NaN,0,0.3228333,27,27
10723,103559007,0,0,0,0.2585996,-1.127381,-1.127381,-1.52,NaN,0,0.3215131,26,26
11138,103661070,0,0,0,0.2585996,-1.127919,-1.127919,-1.19,NaN,0,0.3210583,24,24
11570,103763477,0,0,0,0.2585996,-1.129573,-1.129573,-1.47,NaN,0,0.3194043,24,24
12001,103866481,0,0,0,0.2585996,-1.126217,-1.126217,-1.55,NaN,0,0.3226233,22,22
12454,103969621,0,0,0,0.2585996,-1.132819,-1.132819,-1.4,NaN,0,0.3160217,21,21
12906,104073014,0,0,0,0.2585996,-1.133747,-1.133747,-1.61,NaN,0,0.3150938,20,20
13357,104175519,0,0,0,0.2585996,-1.136416,-1.136416,-1.55,NaN,0,0.3124247,19,19
13643,104278861,0,0,0,0.2585996,-1.140747,-1.140747,-1.54,NaN,0,0.3079555,19,19
14095,104383217,0,0,0,0.2585996,-1.142199,-1.142199,-1.67,NaN,0,0.306504,17,17
14513,104485720,0,0,0,0.2585996,-1.147893,-1.147893,-1.92,NaN,0,0.3008101,17,17
14964,104589002,0,0,0,0.2585996,-1.153159,-1.153159,-1.58,NaN,0,0.2955437,15,15
15412,104693086,0,0,0,0.2585996,-1.15903,-1.15903,-1.38,NaN,0,0.2894057,15,15
15864,104795035,0,0,0,0.2585996,-1.163558,-1.163558,-1.35,NaN,0,0.2848783,14,14
16301,104898638,0,0,0,0.2585996,-1.170728,-1.170728,-1.45,NaN,0,0.277708,13,13
16735,105002425,0,0,0,0.2585996,-1.174734,-1.174734,-1.35,NaN,0,0.2737017,12,12
17177,105105450,0,0,0,0.2585996,-1.179461,-1.179461,-1.76,NaN,0,0.2689747,11,11
17627,105208027,0,0,0,0.2585996,-1.18324,-1.18324,-1.35,NaN,0,0.2651956,11,11
18074,105311635,0,0,0,0.2585996,-1.188687,-1.188687,-1.44,NaN,0,0.2596113,9,9
18528,105414670,0,0,0,0.2585996,-1.189696,-1.189696,-1.31,NaN,0,0.2586024,9,9
18946,105519161,0,0,0,0.2585996,-1.193306,-1.193306,-1.31,NaN,0,0.2549923,8,8
19399,105621276,0,0,0,0.2585996,-1.195076,-1.195076,-1.52,NaN,0,0.2532227,8,8
19816,105725402,0,0,0,0.2585996,-1.198711,-1.198711,-1.39,NaN,0,0.249244,7,7
20269,105829712,0,0,0,0.2585996,-1.199789,-1.199789,-1.58,NaN,0,0.248166,7,7
20717,105933105,0,0,0,0.2585996,-1.20265,-1.20265,-1.22,NaN,0,0.2453057,6,6
21141,106034861,0,0,0,0.2585996,-1.204741,-1.204741,-1.67,NaN,0,0.2432142,6,6
21573,106136838,0,0,0,0.2585996,-1.210181,-1.210181,-1.62,NaN,0,0.2377741,5,5
22006,106239223,0,0,0,0.2585996,-1.214139,-1.214139,-1.87,NaN,0,0.2338167,5,5
22421,106341271,0,0,0,0.2585996,-1.221208,-1.221208,-1.52,NaN,0,0.2267468,5,5
22832,106444454,0.01749986,6.072223e-07,0.003866363,0.2585996,-1.227193,-1.227193,-1.45,NaN,0,0.2207622,4,4
23252,106547655,0.06749937,2.630055e-06,0.03441426,0.2585996,-1.234228,-1.234228,-1.16,NaN,0,0.2137273,3,3
23702,106654115,0.116249,4.172325e-06,0.0797339,0.2585996,-1.238627,-1.238627,-1.27,NaN,0,0.209199,1,1
24154,106758003,0.1662488,4.798174e-06,0.126527,0.2585996,-1.243019,-1.243019,-1.62,NaN,0,0.2046463,0,0
24603,106862977,0.2137488,4.634261e-06,0.1754111,0.2585996,-1.246032,-1.246032,-1.45,NaN,0,0.2016331,0,0
25025,106968449,0.2637487,3.069639e-06,0.2234985,0.2585996,-1.247809,-1.247809,-1.84,NaN,0,0.199856,2,2
25441,107073335,0.3112487,2.145767e-06,0.2723061,0.2585996,-1.248589,-1.248589,-1.91,NaN,0,0.1990765,6,6
25896,107177654,0.3018155,4.857779e-06,0.3035576,0.2585996,-1.237788,-1.23922,-1.59,NaN,0,0.2084449,18,21
26305,107283082,0.2788082,2.282858e-05,0.293029,0.2585996,-1.212106,-1.210631,-1.46,NaN,0,0.2370346,35,46
26735,107387800,0.2553644,3.316998e-05,0.2712185,0.2585996,-1.16853,-1.160923,-1.5,NaN,0,0.286742,50,67
27169,107493693,0.2494453,3.685057e-05,0.2544909,0.2585996,-1.112535,-1.09001,-1.1,NaN,0,0.3576553,61,82
27590,107596984,0.2717454,8.198619e-05,0.2617811,0.2585996,-1.04374,-1.007531,-1.5,NaN,0,0.4402944,70,88
28037,107702486,0.2520231,6.115437e-05,0.2587233,0.2585996,-0.9696529,-0.9168172,-1.34,NaN,0,0.5313059,76,95
28489,107807180,0.259953,1.072884e-06,0.2556029,0.2585996,-0.8843579,-0.821331,-0.76,NaN,0,0.6273872,82,97
28937,107914855,0.2578272,7.429719e-05,0.2581928,0.2585996,-0.7975549,-0.7142467,-1.01,NaN,0,0.7351963,85,98
29358,108019481,0.2637016,0.0003046095,0.2600459,0.2585996,-0.7012504000000001,-0.6099654,-0.5,NaN,0,0.8403016,89,101
29806,108125639,0.2602676,0.0005575716,0.2617718,0.2585996,-0.6058633,-0.4956089,-0.78,NaN,0,0.9555355,91,102
30260,108230824,0.2594318,0.0006938577,0.2590429,0.2585996,-0.502093,-0.3832873,-0.61,NaN,0,1.068452,93,102
30710,108339645,0.2569025,0.0006393194,0.2570107,0.2585996,-0.3981572,-0.2714676,-0.58,NaN,0,1.180577,95,103
31160,108444500,0.2508892,0.0004826784,0.2534339,0.2585996,-0.2890837,-0.1677907,-0.36,NaN,0,1.284544,97,105
31607,108551070,0.2642372,0.0004941821000000001,0.2567202,0.2585996,-0.180885,-0.05828089,-0.25,NaN,0,1.394473,99,102
32026,108658185,0.2626263,0.0005307794,0.2618119,0.2585996,-0.07119559,0.04900385,-0.25,NaN,0,1.502048,101,102
32457,108763094,0.2501493,0.0004814565,0.255381,0.2585996,0.04251331,0.1632313,-0.25,NaN,0,1.616504,102,105
32883,108868645,0.2540914,0.0005286634,0.252693,0.2585996,0.154321,0.274646,-0.03,NaN,0,1.728072,103,108
33338,108972994,0.2437372,0.0005112588,0.250631,0.2585996,0.2697948,0.3873369,0.28,NaN,0,1.841174,104,106
33784,109081433,0.2484121,0.000542894,0.2480755,0.2585996,0.3859266,0.5044727,-0.11,NaN,0,1.95831,104,108
34234,109185479,0.2529311,0.0006290078,0.2518255,0.2585996,0.5027919,0.6127626,0.72,NaN,0,2.0666,106,106
34654,109292542,0.2621539,0.0007291734,0.2558819,0.2585996,0.617179,0.7286611,0.38,NaN,0,2.182636,106,107
35106,109400224,0.2590115,0.0008776188,0.2587787,0.2585996,0.7349167,0.8468082,0.85,NaN,0,2.300859,106,107
35559,109508834,0.2500247,0.0008207262,0.256429,0.2585996,0.8499492,0.9744079,0.76,NaN,0,2.428558,105,106
36010,109615408,0.2408647,0.0006677806,0.2491323,0.2585996,0.9681196,1.099375,0.7,NaN,0,2.55303,105,108
36458,109723659,0.2427105,0.0005190074,0.2471989,0.2585996,1.083605,1.226848,0.75,NaN,0,2.680098,104,108
36909,109828630,0.2367898,0.0003679246,0.2396521,0.2585996,1.199244,1.345906,1.12,NaN,0,2.798805,104,110
37356,109937795,0.2479379,0.0003619194,0.2426441,0.2585996,1.312063,1.464097,1.24,NaN,0,2.916447,103,107
37801,110044734,0.2550694,0.0005002022,0.2543197,0.2585996,1.425022,1.574198,1.58,NaN,0,3.026143,104,104
38210,110152890,0.2463227,0.0004935563,0.2507342,0.2585996,1.53807,1.693091,2.09,NaN,0,3.144258,103,104
38659,110264532,0.2453412,0.0004180521,0.2442137,0.2585996,1.657164,1.821356,1.82,NaN,0,3.271837,102,104
39111,110370698,0.2437841,0.0003798008,0.2426065,0.2585996,1.770332,1.95042,1.86,NaN,0,3.400557,101,104
39522,110478842,0.2471961,0.0005200803,0.2461197,0.2585996,1.880597,2.075539,1.85,NaN,0,3.525135,99,104
39968,110586693,0.2535444,0.0007803142,0.2477101,0.2585996,1.99388,2.196059,2.04,NaN,0,3.645098,99,102
40404,110693650,0.2515867,0.0009671748,0.2548846,0.2585996,2.107195,2.308278,2.63,NaN,0,3.756767,99,98
40830,110799685,0.2444626,0.0008570105,0.2497447,0.2585996,2.220578,2.418798,2.01,NaN,0,3.866997,99,99
41260,110907263,0.2670391,0.0008742809,0.2515831,0.2585996,2.330971,2.533734,2.29,NaN,0,3.981933,99,99
41708,111013985,0.2564988,0.0008201003,0.2607484,0.2585996,2.444363,2.642978,2.58,NaN,0,4.091155,99,96
42148,111122661,0.2504778,0.0007042587000000001,0.257073,0.2585996,2.557751,2.753666,2.16,NaN,0,4.202117,99,99
42594,111228787,0.2451546,0.0006581694,0.249203,0.2585996,2.671129,2.8611,2.53,NaN,0,4.309528,100,101
43035,111335720,0.2469627,0.0006434172,0.2482078,0.2585996,2.781519,2.965793,2.74,NaN,0,4.413992,100,102
43487,111441671,0.2624269,0.0006632507,0.2510845,0.2585996,2.894875,3.0686,2.89,NaN,0,4.516418,101,101
43897,111552502,0.2589673,0.0005135536,0.2603884,0.2585996,3.008282,3.178166,3.09,NaN,0,4.626007,102,100
44342,111660812,0.2539394,0.0004341304,0.2595792,0.2585996,3.121692,3.284919,3.08,NaN,0,4.732737,103,101
44788,111768971,0.2554258,0.0004550219,0.2574377,0.2585996,3.235093,3.397109,3.39,NaN,0,4.845201,103,101
45197,111877559,0.2677161,0.0006828904,0.2599201,0.2585996,3.348474,3.509425,3.09,NaN,0,4.95767,103,100
45647,111985775,0.2622974,0.001012981,0.2615223,0.2585996,3.461837,3.616795,3.06,NaN,0,5.06504,103,101
46087,112092927,0.2582365,0.001095861,0.2577252,0.2585996,3.575224,3.718868,3.7,NaN,0,5.167243,104,101
46532,112200192,0.2727718,0.001096576,0.263293,0.2585996,3.688494,3.823547,4.03,NaN,0,5.27196,105,102
46974,112307215,0.2379196,0.0007980317,0.2577681,0.2585996,3.79822,3.932988,3.85,NaN,0,5.381385,103,103
47420,112415244,0.2424031,0.0006673932,0.2481365,0.2585996,3.908004,4.043788,3.97,NaN,0,5.492453,100,101
47821,112524973,0.2262735,0.0006413013,0.2350688,0.2585996,4.013237,4.157549,4.07,NaN,0,5.606061,93,97
48246,112631764,0.2299585,0.0008003563,0.2297707,0.2585996,4.11203,4.261759,4.3,NaN,0,5.710119,85,90
48682,112738278,0.2277997,0.0008720011,0.2248621,0.2585996,4.200176,4.358629,4.73,NaN,0,5.806676,74,80
49095,112845173,0.2347112,0.0007766336,0.2294921,0.2585996,4.282447,4.447304,4.47,NaN,0,5.895045,66,70
49539,112952691,0.2216792,0.0006160736,0.2317125,0.2585996,4.355837,4.529047,4.94,NaN,0,5.976468,58,63
49980,113061684,0.2015722,0.0003860742,0.2142776,0.2585996,4.422998,4.604803,4.8,NaN,0,6.051919,46,54
50394,113166501,0.2150247,0.0002863407,0.2122289,0.2585996,4.479169,4.667336,4.56,NaN,0,6.114063,34,41
50837,113275441,0.2283256,0.0002989471,0.2220819,0.2585996,4.525607,4.715106,5.33,NaN,0,6.161933,25,29
51283,113381088,0.2305809,0.0002903789,0.2279684,0.2585996,4.564002,4.753786,5.13,NaN,0,6.200307,17,20
51695,113489053,0.2283933,0.0002552271,0.2287061,0.2585996,4.594997,4.78413,5.3,NaN,0,6.230636,11,11
52144,113596610,0.2475879,0.0006159991,0.2340712,0.2585996,4.621381,4.810577,5.31,NaN,0,6.257197,6,5
52553,113704747,0.2527514,0.002356529,0.2454192,0.2585996,4.642161,4.829883,4.91,NaN,0,6.276122,2,-2
52967,113812020,0.2498112,0.005433321,0.2551284,0.2585996,4.660419,4.837442,5.3,NaN,0,6.283452,0,-7
