LineNo,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw,AEKF
4491,1.4092e+07,0,1.49,0.01,-0.89,7.34,7.32,0,0.01,3
4531,1.4102e+07,0,1.49,0.01,-0.89,7.35,7.33,0,0.01,3
4573,1.4112e+07,0,1.49,0.01,-0.89,7.36,7.34,0,0.01,3
4614,1.4122e+07,0,1.49,0.01,-0.89,7.37,7.35,0,0.01,3
4658,1.4132e+07,0,1.49,0.01,-0.89,7.38,7.36,0,0.01,3
4699,1.4142e+07,0,1.49,0.01,-0.89,7.39,7.37,0,0.01,3
4740,1.4152e+07,0,1.49,0.01,-0.89,7.4,7.38,0,0.01,3
4781,1.4162e+07,0,1.49,0.01,-0.89,7.41,7.39,0,0.01,3
4821,1.4175e+07,0,1.49,0.01,-0.89,7.42,7.41,0,0.01,3
4859,1.4186e+07,0,1.49,0.01,-0.89,7.43,7.42,0,0.01,3
4900,1.4196e+07,0,1.49,0.01,-0.89,7.44,7.43,0,0.01,3
4940,1.4206e+07,0,1.49,0.01,-0.89,7.45,7.44,0,0.01,3
4981,1.4216e+07,0,1.49,0.01,-0.89,7.46,7.44,0,0.01,3
5021,1.4226e+07,0,1.49,0.01,-0.89,7.47,7.45,0,0.01,3
5067,1.4237e+07,0,1.49,0.01,-0.89,7.48,7.46,0,0.01,3
5108,1.4247e+07,0,1.49,0.01,-0.89,7.48,7.47,0,0.01,3
5149,1.4257e+07,0,1.49,0.01,-0.89,7.49,7.47,0,0.01,3
5191,1.4267e+07,0,1.49,0.01,-0.89,7.5,7.48,0,0.01,3
5229,1.4278e+07,0,1.49,0.01,-0.89,7.5,7.49,0,0.01,3
5273,1.4288e+07,0,1.49,0.01,-0.89,7.51,7.49,0,0.01,3
5313,1.4298e+07,0,1.48,0.01,-0.89,7.52,7.5,0,0.01,3
5354,1.4309e+07,0,1.48,0.01,-0.89,7.53,7.52,0,0.01,3
5394,1.432e+07,0,1.49,0.01,-0.89,7.54,7.53,0,0.01,3
5435,1.433e+07,0,1.49,0.01,-0.89,7.55,7.53,0,0.01,3
5480,1.434e+07,0,1.49,0.01,-0.89,7.56,7.54,0,0.01,3
5520,1.4351e+07,0,1.49,0.01,-0.89,7.57,7.55,0,0.01,3
5561,1.4361e+07,0,1.49,0.01,-0.89,7.58,7.56,0,0.01,3
5606,1.4374e+07,0,1.49,0.01,-0.89,7.59,7.57,0,0.01,3
5650,1.439e+07,0,1.49,0.01,-0.89,7.6,7.58,0,0.01,3
5690,1.44e+07,0,1.49,0.01,-0.89,7.61,7.59,0,0.01,3
5731,1.4411e+07,0,1.49,0.01,-0.89,7.62,7.6,0,0.01,3
5774,1.4421e+07,0,1.49,0.01,-0.89,7.63,7.61,0,0.01,3
5814,1.4431e+07,0,1.49,0.01,-0.88,7.63,7.62,0,0.01,3
5859,1.4441e+07,0,1.49,0.01,-0.88,7.64,7.62,0,0.01,3
5902,1.4451e+07,0,1.49,0.01,-0.88,7.65,7.63,0,0.01,3
5943,1.4462e+07,0,1.49,0.01,-0.88,7.66,7.64,0,0.01,3
5984,1.4472e+07,0,1.49,0.01,-0.88,7.67,7.65,0,0.01,3
6024,1.4482e+07,0,1.49,0.01,-0.88,7.68,7.66,0,0.01,3
6063,1.4492e+07,0,1.49,0.01,-0.88,7.69,7.67,0,0.01,3
6104,1.4502e+07,0,1.49,0.01,-0.88,7.7,7.68,0,0.01,3
6144,1.4512e+07,0,1.49,0.01,-0.89,7.72,7.7,0,0.01,3
6185,1.4523e+07,0,1.49,0.01,-0.89,7.73,7.71,0,0.01,3
6225,1.4533e+07,0,1.49,0.01,-0.89,7.74,7.72,0,0.01,3
6270,1.4543e+07,0,1.49,0.01,-0.89,7.75,7.73,0,0.01,3
6310,1.4553e+07,0,1.49,0.01,-0.89,7.76,7.74,0,0.01,3
6352,1.4563e+07,0,1.49,0.01,-0.89,7.77,7.75,0,0.01,3
6393,1.4573e+07,0,1.49,0.01,-0.89,7.78,7.76,0,0.01,3
6434,1.4585e+07,0,1.49,0.01,-0.89,7.79,7.78,0,0.01,3
6472,1.4596e+07,0,1.49,0.01,-0.88,7.8,7.79,0,0.01,3
6512,1.4606e+07,0,1.49,0.01,-0.88,7.81,7.79,0,0.01,3
6553,1.4616e+07,0,1.49,0.01,-0.88,7.82,7.8,0,0.01,3
6594,1.4626e+07,0,1.49,0.01,-0.88,7.83,7.81,0,0.01,3
6635,1.4637e+07,0,1.49,0.01,-0.88,7.84,7.82,0,0.01,3
6680,1.4647e+07,0,1.49,0.01,-0.88,7.85,7.83,0,0.01,3
6722,1.4657e+07,0,1.49,0.01,-0.88,7.86,7.84,0,0.01,3
6763,1.4667e+07,0,1.49,0.01,-0.88,7.86,7.85,0,0.01,3
6806,1.4677e+07,0,1.49,0.01,-0.88,7.87,7.85,0,0.01,3
6846,1.469e+07,0,1.49,0.01,-0.88,7.88,7.86,0,0.01,3
6887,1.47e+07,0,1.49,0.01,-0.88,7.89,7.87,0,0.01,3
6927,1.471e+07,0,1.49,0.01,-0.88,7.9,7.88,0,0.01,3
6968,1.4721e+07,0,1.49,0.01,-0.88,7.9,7.88,0,0.01,3
7008,1.4731e+07,0,1.49,0.01,-0.88,7.91,7.89,0,0.01,3
7050,1.4741e+07,0,1.49,0.01,-0.88,7.92,7.9,0,0.01,3
7094,1.4752e+07,0,1.49,0.01,-0.88,7.92,7.9,0,0.01,3
7135,1.4762e+07,0,1.49,0.01,-0.88,7.93,7.91,0,0.01,3
7176,1.4773e+07,0,1.49,0.01,-0.89,7.94,7.92,0,0.01,3
7219,1.4783e+07,0,1.49,0.01,-0.89,7.94,7.92,0,0.01,3
7257,1.4797e+07,0,1.49,0.01,-0.88,7.95,7.94,0,0.01,3
7298,1.4807e+07,0,1.49,0.01,-0.88,7.96,7.94,0,0.01,3
7339,1.4818e+07,0,1.49,0.01,-0.88,7.97,7.95,0,0.01,3
7380,1.4827e+07,0,1.49,0.01,-0.88,7.98,7.96,0,0.01,3
7420,1.4838e+07,0,1.5,0.01,-0.88,7.98,7.97,0,0.01,3
7462,1.4848e+07,0,1.52,0.01,-0.89,7.99,7.97,0,0.01,3
7507,1.4858e+07,0,1.55,0.01,-0.88,7.98,7.96,0,0.01,3
7550,1.4868e+07,0,1.58,0.01,-0.89,7.97,7.95,0,0.01,3
7590,1.4878e+07,0,1.61,0.01,-0.89,7.95,7.93,0,0.01,3
7632,1.4888e+07,0,1.65,0.01,-0.9,7.95,7.93,0,0.01,3
7670,1.4899e+07,0,1.68,0.01,-0.91,7.94,7.92,0,0.01,3
7714,1.4911e+07,0,1.68,0.01,-0.94,7.95,7.93,0,0.01,3
7755,1.4922e+07,0,1.67,0.01,-0.95,7.97,7.95,0,0.01,3
7795,1.4932e+07,0,1.65,0.01,-0.97,7.99,7.97,0,0.01,3
7836,1.4942e+07,0,1.63,0.01,-0.98,8.01,7.99,0,0.01,3
7885,1.4955e+07,0,1.6,0.01,-0.98,8.05,8.03,0,0.01,3
7925,1.4965e+07,0,1.57,0.01,-0.97,8.07,8.05,0,0.01,3
7966,1.4976e+07,0,1.55,0.01,-0.96,8.09,8.07,0,0.01,3
8006,1.4986e+07,0,1.53,0.01,-0.95,8.09,8.07,0,0.01,3
8048,1.4996e+07,0,1.52,0.01,-0.94,8.09,8.07,0,0.01,3
8087,1.5007e+07,0,1.53,0.01,-0.92,8.1,8.08,0,0.01,3
8127,1.5017e+07,0,1.54,0.01,-0.9,8.1,8.08,0,0.01,3
8168,1.5027e+07,0,1.55,0.01,-0.89,8.1,8.08,0,0.01,3
8208,1.5038e+07,0,1.54,0.01,-0.88,8.1,8.08,0,0.01,3
8250,1.5048e+07,0,1.5,0.01,-0.86,8.11,8.09,0,0.01,3
8297,1.5059e+07,0,1.41,0.01,-0.83,8.14,8.13,0,0.01,3
8339,1.5069e+07,0,1.3,0.01,-0.81,8.2,8.18,0,0.01,3
8380,1.5079e+07,0,1.17,0.01,-0.78,8.26,8.25,0,0.01,3
8420,1.5089e+07,0,1.02,0.01,-0.75,8.33,8.32,0,0.01,3
8459,1.5102e+07,0,0.8,0.01,-0.71,8.41,8.4,0,0.01,3
8501,1.5112e+07,0,0.64,0.01,-0.67,8.46,8.45,0,0.01,3
8541,1.5123e+07,0,0.48,0.01,-0.62,8.5,8.5,0,0.01,3
8583,1.5132e+07,0,0.29,0.01,-0.58,8.55,8.54,0,0.01,3
8623,1.5142e+07,0,0.07,0.01,-0.53,8.6,8.6,0,0.01,3
8664,1.5152e+07,0,-0.15,0.01,-0.5,8.67,8.67,0,0.01,3
8708,1.5163e+07,0,-0.4,0.01,-0.47,8.74,8.75,0,0.02,3
8749,1.5173e+07,0,-0.67,0.01,-0.44,8.83,8.84,0,0.02,3
8789,1.5183e+07,0,-0.93,0.01,-0.42,8.92,8.93,0,0.02,3
8831,1.5193e+07,0,-1.19,0.01,-0.37,9.02,9.03,0,0.02,3
8870,1.5206e+07,0,-1.53,0.01,-0.32,9.16,9.18,0,0.02,3
8911,1.5216e+07,0,-1.81,0.01,-0.27,9.3,9.33,0,0.02,3
8952,1.5227e+07,0,-2.08,0.01,-0.2,9.49,9.51,0,0.02,3
8992,1.5238e+07,0,-2.33,0.01,-0.13,9.69,9.72,0,0.02,3
9033,1.5248e+07,0,-2.57,0.01,-0.05,9.93,9.96,0,0.02,3
9076,1.5258e+07,0,-2.8,0.01,0.04,10.19,10.22,0,0.02,3
9121,1.5268e+07,0,-3.02,0.01,0.15,10.49,10.53,0,0.02,3
9164,1.5278e+07,0,-3.22,0.01,0.28,10.82,10.86,0,0.02,3
9204,1.5288e+07,0,-3.47,0.01,0.43,11.23,11.28,0,0.02,3
9245,1.5298e+07,0,-3.7,0.01,0.59,11.64,11.68,0,0.02,3
9280,1.5309e+07,0,-3.93,0.01,0.81,12.12,12.17,0,0.02,3
9322,1.5319e+07,0,-4.14,0.01,1.05,12.6,12.65,0,0.02,3
9363,1.533e+07,0,-4.35,0.01,1.33,13.12,13.17,0,0.02,3
9405,1.534e+07,0,-4.52,0.01,1.65,13.66,13.72,0,0.02,3
9445,1.535e+07,0,-4.65,0.01,2,14.23,14.28,0,0.02,3
9486,1.5361e+07,0,-4.76,0.01,2.42,14.87,14.92,0,0.02,3
9530,1.5371e+07,0,-4.79,0.01,2.83,15.48,15.54,0,0.03,3
9571,1.5381e+07,0,-4.76,0.01,3.27,16.13,16.19,0,0.03,3
9611,1.5391e+07,0,-4.68,0.01,3.73,16.81,16.87,0,0.03,3
9652,1.5401e+07,0,-4.51,0.01,4.28,17.59,17.64,0,0.03,3
9689,1.5412e+07,0,-4.28,0.01,4.79,18.34,18.39,0,0.03,3
9729,1.5422e+07,0,-3.99,0.01,5.32,19.13,19.18,0,0.03,3
9770,1.5432e+07,0,-3.63,0.01,5.86,19.96,20.01,0,0.03,3
9811,1.5442e+07,0,-3.19,0.01,6.4,20.83,20.87,0,0.03,3
9852,1.5452e+07,0,-2.63,0.01,6.94,21.73,21.76,0,0.03,3
9895,1.5462e+07,0,-1.99,0.01,7.47,22.67,22.7,0.02,0.03,3
9940,1.5472e+07,0,-1.32,0.01,7.98,23.65,23.67,0.02,0.02,3
9982,1.5482e+07,0,-0.55,0.01,8.51,24.77,24.78,0.02,0.02,3
10022,1.5492e+07,0,0.14,0.01,8.96,25.81,25.81,0.02,0.02,3
10063,1.5502e+07,0,0.84,0.01,9.37,26.88,26.87,0.02,0.02,3
10103,1.5513e+07,0,1.55,0.01,9.76,28,27.98,0.02,0.02,3
10144,1.5523e+07,0,2.33,0.01,10.14,29.27,29.24,0.02,0.02,3
10181,1.5534e+07,0,3.04,0.01,10.46,30.46,30.43,0.02,0.02,3
10222,1.5544e+07,0,3.73,0.01,10.76,31.7,31.65,0.02,0.02,3
10264,1.5554e+07,0,4.41,0.01,11.04,32.97,32.92,0.02,0.02,3
10304,1.5564e+07,0,5.05,0.01,11.28,34.28,34.22,0.02,0.02,3
10349,1.5575e+07,0,5.75,0.01,11.51,35.76,35.69,0.02,0.02,3
10389,1.5585e+07,0,6.46,0.01,11.71,37.31,37.23,0.02,0.02,3
10430,1.5595e+07,0,7.12,0.01,11.88,38.76,38.67,0.02,0.02,3
10470,1.5605e+07,0,7.8,0.01,12.01,40.26,40.17,0.02,0.02,3
10504,1.5615e+07,0,8.54,0.01,12.13,41.97,41.86,0.02,0.02,3
10545,1.5626e+07,0,9.24,0.01,12.2,43.57,43.45,0.02,0.02,3
10586,1.5637e+07,0,9.96,0.01,12.23,45.19,45.07,0.02,0.02,3
10626,1.5647e+07,0,10.78,0.01,12.21,46.99,46.86,0.02,0.02,3
10667,1.5657e+07,0,11.56,0.01,12.14,48.63,48.49,0.02,0.02,3
10709,1.5667e+07,0,12.47,0.01,12.01,50.45,50.29,0.04,0.02,3
10756,1.5719e+07,0,17.11,0.01,10.81,58.71,58.5,0.04,0.03,3
10798,1.5729e+07,0,18.1,0.01,10.47,60.28,60.06,0.04,0.03,3
10838,1.5739e+07,0,19.09,0.01,10.11,61.82,61.59,0.04,0.03,3
10879,1.575e+07,0,20.08,0.01,9.72,63.34,63.1,0.04,0.03,3
10920,1.576e+07,0,21.15,0.01,9.27,64.97,64.72,0.04,0.03,3
10962,1.5771e+07,0,22.22,0.01,8.79,66.58,66.32,0.04,0.03,3
11007,1.5781e+07,0,23.22,0.01,8.35,68.02,67.74,0.04,0.05,3
11047,1.5792e+07,0,24.37,0.01,7.86,69.56,69.27,0.04,0.05,3
11088,1.5802e+07,0,25.44,0.01,7.41,70.93,70.63,0.04,0.05,3
11131,1.5812e+07,0,26.57,0.01,6.92,72.38,72.07,0.04,0.05,3
11172,1.5823e+07,0,27.57,0.01,6.48,73.66,73.34,0.04,0.05,3
11213,1.5833e+07,0,28.52,0.01,6.04,74.89,74.56,0.04,0.05,3
11253,1.5843e+07,0,29.47,0.01,5.62,76.08,75.74,0.04,0.05,3
11295,1.5854e+07,0,30.51,0.01,5.17,77.35,77,0.04,0.05,3
11335,1.5864e+07,0,31.48,0.01,4.76,78.48,78.12,0.04,0.05,3
11378,1.5874e+07,0,32.48,0.01,4.38,79.57,79.2,0.08,0.05,3
11423,1.5884e+07,0,33.52,0.01,4,80.63,80.25,0.08,0.06,3
11464,1.5894e+07,0,34.57,0.01,3.65,81.67,81.27,0.08,0.06,3
11505,1.5905e+07,0,35.72,0.01,3.27,82.77,82.37,0.08,0.06,3
11546,1.5915e+07,0,36.75,0.01,2.95,83.76,83.34,0.08,0.06,3
11584,1.5926e+07,0,37.89,0.01,2.62,84.82,84.4,0.08,0.06,3
11624,1.5935e+07,0,38.95,0.01,2.33,85.77,85.34,0.08,0.06,3
11665,1.5946e+07,0,40.03,0.01,2.06,86.71,86.27,0.08,0.06,3
