LineNo,TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt
1296,13304084,0,0,0,0.2502465,-0.5452542,-0.5452542,-0.21,NaN,0,-87.96252,31,31
1838,13413451,0,0,0,0.2502465,-0.4729441,-0.4729441,-0.68,NaN,0,-88.43159,33,33
2249,13516896,0,0,0,0.2502465,-0.4146406,-0.4146406,-0.38,NaN,0,-88.13235,34,34
2633,13620101,0,0,0,0.2502465,-0.3668481,-0.3668481,-0.27,NaN,0,-88.01931999999999,35,35
3041,13723852,0,0,0,0.2502465,-0.3173012,-0.3173012,-0.41,NaN,0,-88.16652999999999,35,35
3452,13826233,0,0,0,0.2502465,-0.273981,-0.273981,-0.4,NaN,0,-88.15524000000001,36,36
3835,13927249,0,0,0,0.2502465,-0.2370805,-0.2370805,-0.3,NaN,0,-88.05336,36,36
4241,14030761,0,0,0,0.2502465,-0.2015115,-0.2015115,-0.32,NaN,0,-88.07597,36,36
4654,14131910,0,0,0,0.2502465,-0.1692358,-0.1692358,-0.41,NaN,0,-88.16669,36,36
5060,14233873,0,0,0,0.2502465,-0.1419525,-0.1419525,-0.39,NaN,0,-88.14408,36,36
5473,14338079,0,0,0,0.2502465,-0.1213044,-0.1213044,-0.45,NaN,0,-88.20104000000001,35,35
5855,14441226,0,0,0,0.2502465,-0.1052938,-0.1052938,-0.38,NaN,0,-88.13321999999999,34,34
6266,14542633,0,0,0,0.2502465,-0.09309145000000001,-0.09309145000000001,-0.45,NaN,0,-88.20153000000001,33,33
6673,14644429,0,0,0,0.2502465,-0.08511979,-0.08511979,-0.27,NaN,0,-88.02068,32,32
7084,14746354,0,0,0,0.2502465,-0.07738773,-0.07738773,-0.35,NaN,0,-88.10559000000001,31,31
7493,14850479,0,0,0,0.2502465,-0.07213003,-0.07213003,-0.29,NaN,0,-88.04908,29,29
7878,14952964,0,0,0,0.2502465,-0.06801876,-0.06801876,-0.6899999999999999,NaN,0,-88.44490999999999,28,28
8288,15055986,0,0,0,0.2502465,-0.07107368999999999,-0.07107368999999999,-0.31,NaN,0,-88.06626,29,29
8698,15157732,0,0,0,0.2502465,-0.0713023,-0.0713023,-0.42,NaN,0,-88.17901999999999,35,35
9107,15260323,-5.960464e-08,-7.492673000000001e-11,0,0.2502465,-0.06230217,-0.06230217,-0.48,NaN,0,-88.22995,46,46
9517,15363313,-0.01341265,-6.000604e-05,0,0.2502465,-0.0390229,-0.0390229,-0.57,NaN,0,-88.32603,76,76
9926,15464113,-0.05148372,-0.0004856549,0,0.2502465,0.02140338,0.02140338,-0.06,NaN,0,-87.81316,118,118
10335,15566986,-0.03601959,-0.0008736439,0,0.2502465,0.1267709,0.1267709,-0.1,NaN,0,-87.85271,141,141
10740,15670056,-0.01937369,-0.0009259079,0,0.2502465,0.252344,0.252344,-0.18,NaN,0,-87.93236,147,147
