LineNo,TimeUS,C,SV,SP,SH,SM,SVT,errRP,OFN,OFE,FS,TS,SS,GPS,PI
311,1.6419e+09,1,0.01,0.03,0,0.01,0,0.0059358,0.057927,-0.59777,0,48,1.1347e+05,0,0
539,1.6419e+09,1,0.01,0.03,0,0.01,0,0.005962,0.057927,-0.59777,0,48,1.1347e+05,0,0
991,1.642e+09,1,0.01,0.03,0,0.02,0,0.0058815,0.057927,-0.59777,0,48,1.1347e+05,0,0
1105,1.6421e+09,1,0.01,0.03,0,0.02,0,0.0059302,0.057927,-0.59777,0,48,1.1347e+05,0,0
1212,1.6422e+09,1,0.01,0.03,0,0.02,0,0.0059623,0.057927,-0.59777,0,48,1.0938e+05,0,0
1323,1.6422e+09,1,0.02,0.02,0,0.02,0,0.0060055,0.057927,-0.59777,0,48,1.0938e+05,0,0
1502,1.6423e+09,1,0.02,0.02,0,0.01,0,0.0059382,0.057927,-0.59777,0,48,1.0938e+05,0,0
1684,1.6423e+09,1,0.02,0.02,0,0.01,0,0.0059929,0.057927,-0.59777,0,48,1.0938e+05,0,0
1728,1.6423e+09,1,0.02,0.02,0,0.01,0,0.0060033,0.057927,-0.59777,0,48,1.0938e+05,0,0
1773,1.6423e+09,1,0.02,0.02,0,0.01,0,0.0060499,0.057927,-0.59777,0,48,1.0938e+05,0,0
1817,1.6423e+09,1,0.02,0.02,0,0.01,0,0.0060499,0.057927,-0.59777,0,48,1.0938e+05,0,0
1862,1.6423e+09,1,0.02,0.02,0,0.03,0,0.0060624,0.057927,-0.59777,0,48,1.0938e+05,0,0
1909,1.6424e+09,1,0.02,0.02,0,0.03,0,0.006089,0.057927,-0.59777,0,48,1.0938e+05,0,0
1954,1.6424e+09,1,0.12,0.03,0,0.03,0,0.0061021,0.057927,-0.59777,0,48,1.0938e+05,0,0
1996,1.6424e+09,1,0.12,0.03,0,0.03,0,0.005964,0.057927,-0.59777,0,48,1.0938e+05,0,0
2044,1.6424e+09,1,0.12,0.03,0,0.03,0,0.0059761,0.057927,-0.59777,0,48,1.0938e+05,0,0
2087,1.6424e+09,1,0.12,0.03,0,0.03,0,0.0059761,0.057927,-0.59777,0,48,1.0938e+05,0,0
2129,1.6424e+09,1,0.12,0.03,0,0.03,0,0.0059855,0.057927,-0.59777,0,48,1.0938e+05,0,0
2175,1.6424e+09,1,0.12,0.03,0,0.03,0,0.0059953,0.057927,-0.59777,0,48,1.0938e+05,0,0
2219,1.6424e+09,1,0.12,0.03,0,0.03,0,0.0060034,0.057927,-0.59777,0,48,1.0938e+05,0,0
2261,1.6425e+09,1,0.12,0.03,0.01,0.04,0,0.0060208,0.057927,-0.59777,0,48,1.0938e+05,0,0
2305,1.6425e+09,1,0.12,0.03,0.01,0.04,0,0.0060208,0.057927,-0.59777,0,48,1.0938e+05,0,0
2347,1.6425e+09,1,0.12,0.03,0.01,0.04,0,0.0060372,0.057927,-0.59777,0,48,1.0938e+05,0,0
2390,1.6425e+09,1,0.12,0.03,0.01,0.04,0,0.0060486,0.057927,-0.59777,0,48,1.0938e+05,0,0
2433,1.6425e+09,1,0.12,0.03,0.01,0.04,0,0.0060569,0.057927,-0.59777,0,48,1.0938e+05,0,0
2479,1.6425e+09,1,0.12,0.03,0.01,0.04,0,0.0060569,0.057927,-0.59777,0,48,1.0938e+05,0,0
2523,1.6425e+09,1,0.12,0.03,0.01,0.04,0,0.0060657,0.057927,-0.59777,0,48,1.0938e+05,0,0
2565,1.6425e+09,1,0.12,0.03,0.01,0.04,0,0.0060784,0.057927,-0.59777,0,48,1.0938e+05,0,0
2608,1.6425e+09,1,0.12,0.03,0.01,0.04,0,0.0060867,0.057927,-0.59777,0,48,1.0938e+05,0,0
2653,1.6425e+09,1,0.12,0.03,0,0.04,0,0.0060975,0.057927,-0.59777,0,48,1.0938e+05,0,0
2699,1.6426e+09,1,0.1,0.03,0,0.02,0,0.006108,0.057927,-0.59777,0,48,1.0938e+05,0,0
2744,1.6426e+09,1,0.1,0.03,0,0.02,0,0.005989,0.057927,-0.59777,0,48,1.0938e+05,0,0
2789,1.6426e+09,1,0.1,0.03,0,0.02,0,0.0059983,0.057927,-0.59777,0,48,1.0938e+05,0,0
2834,1.6426e+09,1,0.1,0.03,0,0.02,0,0.0059983,0.057927,-0.59777,0,48,1.0938e+05,0,0
2883,1.6426e+09,1,0.1,0.03,0,0.02,0,0.0060081,0.057927,-0.59777,0,48,1.0938e+05,0,0
2927,1.6426e+09,1,0.1,0.03,0,0.02,0,0.0060205,0.057927,-0.59777,0,48,1.0938e+05,0,0
2974,1.6426e+09,1,0.1,0.03,0,0.02,0,0.0060205,0.057927,-0.59777,0,48,1.0938e+05,0,0
3018,1.6426e+09,1,0.1,0.03,0,0.02,0,0.0060296,0.057927,-0.59777,0,48,1.0938e+05,0,0
3063,1.6426e+09,1,0.1,0.03,0,0.02,0,0.0060397,0.057927,-0.59777,0,48,1.0938e+05,0,0
