LineNo,TimeUS,C,IVN0,IVN1,IVN2,IVN3,IVN4,IVE0,IVE1,IVE2,IVE3,IVE4
304,1.6419e+09,0,0.40701,-0.34964,-0.58047,0.017633,0.62718,0.50158,0.50645,-0.20687,-0.64623,-0.21892
532,1.6419e+09,0,0.40701,-0.34964,-0.58047,0.017633,0.62718,0.50158,0.50645,-0.20687,-0.64623,-0.21892
984,1.642e+09,0,0.48413,-0.41587,-0.68971,0.018447,0.75422,0.59385,0.592,-0.25166,-0.78156,-0.27048
1098,1.6421e+09,0,0.48413,-0.41587,-0.68971,0.018447,0.75422,0.59385,0.592,-0.25166,-0.78156,-0.27048
1205,1.6422e+09,0,0.54775,-0.55261,-0.88893,-0.025579,0.89218,0.76732,0.75427,-0.27113,-0.93291,-0.30095
1316,1.6422e+09,0,0.54775,-0.55261,-0.88893,-0.025579,0.89218,0.76732,0.75427,-0.27113,-0.93291,-0.30095
1495,1.6423e+09,0,0.54775,-0.55261,-0.88893,-0.025579,0.89218,0.76732,0.75427,-0.27113,-0.93291,-0.30095
1677,1.6423e+09,0,0.54775,-0.55261,-0.88893,-0.025579,0.89218,0.76732,0.75427,-0.27113,-0.93291,-0.30095
1721,1.6423e+09,0,0.54775,-0.55261,-0.88893,-0.025579,0.89218,0.76732,0.75427,-0.27113,-0.93291,-0.30095
1766,1.6423e+09,0,0.54775,-0.55261,-0.88893,-0.025579,0.89218,0.76732,0.75427,-0.27113,-0.93291,-0.30095
1810,1.6423e+09,0,0.54775,-0.55261,-0.88893,-0.025579,0.89218,0.76732,0.75427,-0.27113,-0.93291,-0.30095
1855,1.6423e+09,0,0.54775,-0.55261,-0.88893,-0.025579,0.89218,0.76732,0.75427,-0.27113,-0.93291,-0.30095
1902,1.6424e+09,0,0.54775,-0.55261,-0.88893,-0.025579,0.89218,0.76732,0.75427,-0.27113,-0.93291,-0.30095
1947,1.6424e+09,0,0.76208,-0.72154,-1.1716,-0.0089737,1.223,1.0162,0.9992,-0.38373,-1.27,-0.42152
1989,1.6424e+09,0,0.76208,-0.72154,-1.1716,-0.0089737,1.223,1.0162,0.9992,-0.38373,-1.27,-0.42152
2037,1.6424e+09,0,0.76208,-0.72154,-1.1716,-0.0089737,1.223,1.0162,0.9992,-0.38373,-1.27,-0.42152
2080,1.6424e+09,0,0.76208,-0.72154,-1.1716,-0.0089737,1.223,1.0162,0.9992,-0.38373,-1.27,-0.42152
2122,1.6424e+09,0,0.76208,-0.72154,-1.1716,-0.0089737,1.223,1.0162,0.9992,-0.38373,-1.27,-0.42152
2168,1.6424e+09,0,0.76208,-0.72154,-1.1716,-0.0089737,1.223,1.0162,0.9992,-0.38373,-1.27,-0.42152
2212,1.6424e+09,0,0.76208,-0.72154,-1.1716,-0.0089737,1.223,1.0162,0.9992,-0.38373,-1.27,-0.42152
2254,1.6425e+09,0,0.76208,-0.72154,-1.1716,-0.0089737,1.223,1.0162,0.9992,-0.38373,-1.27,-0.42152
2298,1.6425e+09,0,0.76208,-0.72154,-1.1716,-0.0089737,1.223,1.0162,0.9992,-0.38373,-1.27,-0.42152
2340,1.6425e+09,0,0.76208,-0.72154,-1.1716,-0.0089737,1.223,1.0162,0.9992,-0.38373,-1.27,-0.42152
2383,1.6425e+09,0,0.76208,-0.72154,-1.1716,-0.0089737,1.223,1.0162,0.9992,-0.38373,-1.27,-0.42152
2426,1.6425e+09,0,0.76208,-0.72154,-1.1716,-0.0089737,1.223,1.0162,0.9992,-0.38373,-1.27,-0.42152
2472,1.6425e+09,0,0.76208,-0.72154,-1.1716,-0.0089737,1.223,1.0162,0.9992,-0.38373,-1.27,-0.42152
2516,1.6425e+09,0,0.76208,-0.72154,-1.1716,-0.0089737,1.223,1.0162,0.9992,-0.38373,-1.27,-0.42152
2558,1.6425e+09,0,0.76208,-0.72154,-1.1716,-0.0089737,1.223,1.0162,0.9992,-0.38373,-1.27,-0.42152
2601,1.6425e+09,0,0.76208,-0.72154,-1.1716,-0.0089737,1.223,1.0162,0.9992,-0.38373,-1.27,-0.42152
2646,1.6425e+09,0,0.76208,-0.72154,-1.1716,-0.0089737,1.223,1.0162,0.9992,-0.38373,-1.27,-0.42152
2692,1.6426e+09,0,0.7835,-0.78158,-1.2553,-0.034488,1.2784,1.0941,1.0675,-0.38497,-1.3283,-0.43187
2737,1.6426e+09,0,0.7835,-0.78158,-1.2553,-0.034488,1.2784,1.0941,1.0675,-0.38497,-1.3283,-0.43187
2782,1.6426e+09,0,0.7835,-0.78158,-1.2553,-0.034488,1.2784,1.0941,1.0675,-0.38497,-1.3283,-0.43187
2827,1.6426e+09,0,0.7835,-0.78158,-1.2553,-0.034488,1.2784,1.0941,1.0675,-0.38497,-1.3283,-0.43187
2876,1.6426e+09,0,0.7835,-0.78158,-1.2553,-0.034488,1.2784,1.0941,1.0675,-0.38497,-1.3283,-0.43187
2920,1.6426e+09,0,0.7835,-0.78158,-1.2553,-0.034488,1.2784,1.0941,1.0675,-0.38497,-1.3283,-0.43187
2967,1.6426e+09,0,0.7835,-0.78158,-1.2553,-0.034488,1.2784,1.0941,1.0675,-0.38497,-1.3283,-0.43187
3011,1.6426e+09,0,0.7835,-0.78158,-1.2553,-0.034488,1.2784,1.0941,1.0675,-0.38497,-1.3283,-0.43187
