LineNo,TimeUS,C,Q1,Q2,Q3,Q4
316,1.6419e+09,1,-0.9819,0.022469,-0.0052405,-0.18801
544,1.6419e+09,1,-0.98188,0.022494,-0.0052297,-0.1881
998,1.642e+09,1,-0.98184,0.022525,-0.0056312,-0.18827
1112,1.6421e+09,1,-0.98181,0.022569,-0.0059114,-0.18845
1219,1.6422e+09,1,-0.98174,0.02287,-0.0069923,-0.18869
1330,1.6422e+09,1,-0.98166,0.023351,-0.0088257,-0.18897
1509,1.6423e+09,1,-0.98164,0.023512,-0.0091828,-0.18909
1691,1.6423e+09,1,-0.98162,0.023594,-0.0095676,-0.18913
1735,1.6423e+09,1,-0.98161,0.023614,-0.0097096,-0.18917
1780,1.6423e+09,1,-0.9816,0.023644,-0.0098571,-0.18922
1824,1.6423e+09,1,-0.9816,0.023656,-0.0099913,-0.18921
1869,1.6423e+09,1,-0.98159,0.023662,-0.01007,-0.18924
1916,1.6424e+09,1,-0.98159,0.023666,-0.010176,-0.18925
1959,1.6424e+09,1,-0.98157,0.023669,-0.01038,-0.18934
2001,1.6424e+09,1,-0.98156,0.023694,-0.010492,-0.18939
2049,1.6424e+09,1,-0.98156,0.023727,-0.010571,-0.18939
2092,1.6424e+09,1,-0.98155,0.023777,-0.010686,-0.18942
2134,1.6424e+09,1,-0.98153,0.02384,-0.01081,-0.18949
2180,1.6424e+09,1,-0.98152,0.023877,-0.010949,-0.18953
2224,1.6424e+09,1,-0.98152,0.023917,-0.011038,-0.18956
2266,1.6425e+09,1,-0.98151,0.023952,-0.011141,-0.18958
2310,1.6425e+09,1,-0.9815,0.02395,-0.011229,-0.18961
2352,1.6425e+09,1,-0.98149,0.023952,-0.011321,-0.18966
2395,1.6425e+09,1,-0.98149,0.023971,-0.011427,-0.18967
2438,1.6425e+09,1,-0.9815,0.023992,-0.011513,-0.18962
2484,1.6425e+09,1,-0.98149,0.024006,-0.011622,-0.18964
2528,1.6425e+09,1,-0.98148,0.024005,-0.011694,-0.18968
2570,1.6425e+09,1,-0.98147,0.024024,-0.011799,-0.18971
2613,1.6425e+09,1,-0.98147,0.024032,-0.011877,-0.18974
2658,1.6425e+09,1,-0.98146,0.024027,-0.011975,-0.18979
2706,1.6426e+09,1,-0.98145,0.024042,-0.012093,-0.18984
2751,1.6426e+09,1,-0.98144,0.024071,-0.012169,-0.18986
2796,1.6426e+09,1,-0.98143,0.024098,-0.012259,-0.1899
2841,1.6426e+09,1,-0.98143,0.024113,-0.012299,-0.18991
2890,1.6426e+09,1,-0.98142,0.024106,-0.012344,-0.18995
2934,1.6426e+09,1,-0.98142,0.024142,-0.012411,-0.18997
2981,1.6426e+09,1,-0.98142,0.024168,-0.012482,-0.18995
3025,1.6426e+09,1,-0.98142,0.02417,-0.012551,-0.18995
3070,1.6426e+09,1,-0.98141,0.024195,-0.012619,-0.18997
3114,1.6427e+09,1,-0.9814,0.024233,-0.012678,-0.18999
3159,1.6427e+09,1,-0.9814,0.024239,-0.012745,-0.19
3204,1.6427e+09,1,-0.9814,0.024252,-0.012818,-0.19003
3248,1.6427e+09,1,-0.98139,0.024264,-0.012893,-0.19006
3295,1.6427e+09,1,-0.98139,0.024267,-0.012968,-0.19006
3345,1.6427e+09,1,-0.98138,0.024271,-0.013019,-0.1901
3391,1.6427e+09,1,-0.98138,0.024282,-0.013092,-0.19011
3435,1.6427e+09,1,-0.98137,0.02431,-0.013112,-0.19011
3480,1.6427e+09,1,-0.98137,0.02434,-0.013136,-0.19012
3525,1.6427e+09,1,-0.98136,0.024378,-0.013174,-0.19015
3572,1.6428e+09,1,-0.98136,0.024367,-0.013211,-0.19017
3614,1.6428e+09,1,-0.98135,0.024398,-0.01326,-0.19019
3658,1.6428e+09,1,-0.98135,0.024411,-0.013307,-0.19022
3704,1.6428e+09,1,-0.98134,0.024443,-0.013332,-0.19024
3749,1.6428e+09,1,-0.98134,0.024496,-0.01337,-0.19022
3797,1.6428e+09,1,-0.98135,0.024497,-0.013437,-0.19021
