LineNo,TimeUS,Id,Mult
1415,1.6423e+09,45,0
1416,1.6423e+09,63,1
1417,1.6423e+09,50,100
1418,1.6423e+09,49,10
1419,1.6423e+09,48,1
1420,1.6423e+09,65,0.1
1421,1.6423e+09,66,0.01
1422,1.6423e+09,67,0.001
1423,1.6423e+09,68,0.0001
1424,1.6423e+09,69,1e-05
1425,1.6423e+09,70,1e-06
1426,1.6423e+09,71,1e-07
1427,1.6423e+09,73,1e-09
1428,1.6423e+09,33,3.6
1429,1.6423e+09,47,3600
