LineNo,TimeUS,chan,txp,rxp,rxdp,flags,ss,tf
2951,1.6426e+09,0,63076,1398,0,6,0,42139
7202,1.6436e+09,0,63076,1398,0,6,0,42867
11484,1.6446e+09,0,63076,1398,0,6,0,43596
15506,1.6456e+09,0,63076,1398,0,6,0,44314
19739,1.6466e+09,0,63076,1398,0,6,0,45019
23953,1.6476e+09,0,63076,1398,0,6,0,45741
28142,1.6486e+09,0,63076,1398,0,6,0,46451
32314,1.6496e+09,0,63076,1398,0,6,0,47156
36492,1.6506e+09,0,63076,1398,0,6,0,47865
40667,1.6516e+09,0,63076,1398,0,6,0,48572
44748,1.6526e+09,0,63076,1398,0,6,0,49247
48781,1.6536e+09,0,63076,1398,0,6,0,49934
52767,1.6546e+09,0,63076,1398,0,6,0,50612
56808,1.6556e+09,0,63076,1398,0,6,0,51296
60883,1.6566e+09,0,63076,1398,0,6,0,51979
64931,1.6577e+09,0,63076,1398,0,6,0,52660
68949,1.6587e+09,0,63076,1398,0,6,0,53350
72991,1.6597e+09,0,63076,1398,0,6,0,54037
77039,1.6607e+09,0,63076,1398,0,6,0,54727
81100,1.6617e+09,0,63076,1398,0,6,0,55407
85202,1.6627e+09,0,63076,1398,0,6,0,56095
89245,1.6637e+09,0,63076,1398,0,6,0,56783
93311,1.6647e+09,0,63076,1398,0,6,0,57460
97352,1.6657e+09,0,63076,1398,0,6,0,58146
1.0142e+05,1.6667e+09,0,63076,1398,0,6,0,58826
1.0553e+05,1.6677e+09,0,63076,1398,0,6,0,59512
1.0957e+05,1.6687e+09,0,63076,1398,0,6,0,60195
1.1361e+05,1.6697e+09,0,63076,1398,0,6,0,60881
1.1769e+05,1.6707e+09,0,63076,1398,0,6,0,61564
1.218e+05,1.6717e+09,0,63076,1398,0,6,0,62239
1.2585e+05,1.6727e+09,0,63076,1398,0,6,0,62927
1.2996e+05,1.6737e+09,0,63076,1398,0,6,0,63615
1.3399e+05,1.6747e+09,0,63076,1398,0,6,0,64295
1.3804e+05,1.6757e+09,0,63076,1398,0,6,0,64982
1.4212e+05,1.6767e+09,0,63076,1398,0,6,0,133
1.4619e+05,1.6777e+09,0,63076,1398,0,6,0,818
1.5022e+05,1.6787e+09,0,63076,1398,0,6,0,1499
1.5426e+05,1.6797e+09,0,63076,1398,0,6,0,2188
1.5831e+05,1.6807e+09,0,63076,1398,0,6,0,2879
1.6238e+05,1.6817e+09,0,63076,1398,0,6,0,3559
1.664e+05,1.6827e+09,0,63076,1398,0,6,0,4249
1.7045e+05,1.6837e+09,0,63076,1398,0,6,0,4937
1.7448e+05,1.6847e+09,0,63076,1398,0,6,0,5621
1.7858e+05,1.6857e+09,0,63076,1398,0,6,0,6309
1.8258e+05,1.6867e+09,0,63076,1398,0,6,0,6991
1.8662e+05,1.6877e+09,0,63076,1398,0,6,0,7679
1.9058e+05,1.6887e+09,0,63076,1398,0,6,0,8363
1.9462e+05,1.6897e+09,0,63076,1398,0,6,0,9053
1.9866e+05,1.6907e+09,0,63076,1398,0,6,0,9734
2.0268e+05,1.6917e+09,0,63076,1398,0,6,0,10413
2.0669e+05,1.6927e+09,0,63076,1398,0,6,0,11104
2.1071e+05,1.6937e+09,0,63076,1398,0,6,0,11784
2.1478e+05,1.6947e+09,0,63076,1398,0,6,0,12473
2.1881e+05,1.6957e+09,0,63076,1398,0,6,0,13153
2.2288e+05,1.6967e+09,0,63076,1398,0,6,0,13842
2.2697e+05,1.6977e+09,0,63076,1398,0,6,0,14529
2.3103e+05,1.6987e+09,0,63076,1398,0,6,0,15218
2.3506e+05,1.6997e+09,0,63076,1398,0,6,0,15904
2.3906e+05,1.7007e+09,0,63076,1398,0,6,0,16586
2.4305e+05,1.7017e+09,0,63076,1398,0,6,0,17266
2.4704e+05,1.7027e+09,0,63076,1398,0,6,0,17955
2.5107e+05,1.7037e+09,0,63076,1398,0,6,0,18636
2.5516e+05,1.7048e+09,0,63076,1398,0,6,0,19320
2.592e+05,1.7058e+09,0,63076,1398,0,6,0,20007
2.6323e+05,1.7068e+09,0,63076,1398,0,6,0,20687
2.6733e+05,1.7078e+09,0,63076,1398,0,6,0,21379
2.7133e+05,1.7088e+09,0,63076,1398,0,6,0,22063
2.7532e+05,1.7098e+09,0,63076,1398,0,6,0,22742
2.7942e+05,1.7108e+09,0,63076,1398,0,6,0,23433
2.8342e+05,1.7118e+09,0,63076,1398,0,6,0,24117
2.8745e+05,1.7128e+09,0,63076,1398,0,6,0,24801
2.915e+05,1.7138e+09,0,63076,1398,0,6,0,25489
2.9556e+05,1.7148e+09,0,63076,1398,0,6,0,26171
2.996e+05,1.7158e+09,0,63076,1398,0,6,0,26851
3.0362e+05,1.7168e+09,0,63076,1398,0,6,0,27537
3.0769e+05,1.7178e+09,0,63076,1398,0,6,0,28225
3.1168e+05,1.7188e+09,0,63076,1398,0,6,0,28908
3.1558e+05,1.7198e+09,0,63076,1398,0,6,0,29589
3.1968e+05,1.7208e+09,0,63076,1398,0,6,0,30277
3.2375e+05,1.7218e+09,0,63076,1398,0,6,0,30959
3.2778e+05,1.7228e+09,0,63076,1398,0,6,0,31641
3.3188e+05,1.7238e+09,0,63076,1398,0,6,0,32329
3.3592e+05,1.7248e+09,0,63076,1398,0,6,0,33016
3.3998e+05,1.7258e+09,0,63076,1398,0,6,0,33700
3.4405e+05,1.7268e+09,0,63076,1398,0,6,0,34387
3.4808e+05,1.7278e+09,0,63076,1398,0,6,0,35072
3.521e+05,1.7288e+09,0,63076,1398,0,6,0,35750
3.5611e+05,1.7298e+09,0,63076,1398,0,6,0,36432
3.6018e+05,1.7308e+09,0,63076,1398,0,6,0,37118
3.6414e+05,1.7318e+09,0,63076,1398,0,6,0,37799
3.6817e+05,1.7328e+09,0,63076,1398,0,6,0,38489
3.7224e+05,1.7338e+09,0,63076,1398,0,6,0,39177
3.763e+05,1.7348e+09,0,63076,1398,0,6,0,39857
3.8037e+05,1.7358e+09,0,63076,1398,0,6,0,40535
3.8434e+05,1.7368e+09,0,63076,1398,0,6,0,41217
3.8831e+05,1.7378e+09,0,63076,1398,0,6,0,41895
3.9242e+05,1.7388e+09,0,63076,1398,0,6,0,42582
3.9648e+05,1.7398e+09,0,63076,1398,0,6,0,43269
4.0054e+05,1.7408e+09,0,63076,1398,0,6,0,43947
4.0461e+05,1.7418e+09,0,63076,1398,0,6,0,44635
4.0868e+05,1.7428e+09,0,63076,1398,0,6,0,45323
4.1271e+05,1.7438e+09,0,63076,1398,0,6,0,46011
4.1677e+05,1.7448e+09,0,63076,1398,0,6,0,46700
4.2084e+05,1.7459e+09,0,63076,1398,0,6,0,47383
4.2484e+05,1.7469e+09,0,63076,1398,0,6,0,48068
4.2887e+05,1.7479e+09,0,63076,1398,0,6,0,48755
4.3296e+05,1.7489e+09,0,63076,1398,0,6,0,49444
4.3706e+05,1.7499e+09,0,63076,1398,0,6,0,50132
4.4109e+05,1.7509e+09,0,63076,1398,0,6,0,50814
4.452e+05,1.7519e+09,0,63076,1398,0,6,0,51509
4.4936e+05,1.7529e+09,0,63076,1398,0,6,0,52216
