LineNo,TimeUS,I,VDop,HAcc,VAcc,SAcc,YAcc,VV,SMS,Delta,Und
55666,1.6554e+09,0,1.04,0.84,1.1,0.23,0,1,1.6553e+06,200,-43.043
56462,1.6556e+09,0,1.01,0.84,1.09,0.23,0,1,1.6555e+06,200,-43.043
57198,1.6557e+09,0,1.01,0.83,1.09,0.22,0,1,1.6557e+06,200,-43.044
58087,1.656e+09,0,1.01,0.83,1.09,0.18,0,1,1.6559e+06,200,-43.043
58859,1.6562e+09,0,1.01,0.83,1.09,0.15,0,1,1.6561e+06,200,-43.043
59666,1.6564e+09,0,1.01,0.83,1.09,0.15,0,1,1.6563e+06,200,-43.043
60467,1.6565e+09,0,1.01,0.83,1.09,0.14,0,1,1.6565e+06,200,-43.044
61320,1.6568e+09,0,1.04,0.83,1.09,0.13,0,1,1.6567e+06,200,-43.043
62110,1.657e+09,0,0.99,0.83,1.09,0.13,0,1,1.6569e+06,200,-43.044
62877,1.6571e+09,0,1.01,0.82,1.08,0.14,0,1,1.6571e+06,200,-43.043
63648,1.6573e+09,0,1.01,0.82,1.08,0.14,0,1,1.6573e+06,200,-43.043
64536,1.6576e+09,0,0.99,0.82,1.08,0.12,0,1,1.6575e+06,200,-43.044
65342,1.6578e+09,0,1.01,0.82,1.08,0.12,0,1,1.6577e+06,200,-43.043
66106,1.6579e+09,0,1.04,0.82,1.08,0.14,0,1,1.6579e+06,200,-43.044
66957,1.6582e+09,0,1.04,0.82,1.08,0.12,0,1,1.6581e+06,200,-43.043
67757,1.6584e+09,0,1.01,0.82,1.08,0.15,0,1,1.6583e+06,200,-43.043
68520,1.6585e+09,0,0.99,0.81,1.07,0.16,0,1,1.6585e+06,200,-43.044
69392,1.6588e+09,0,1.01,0.81,1.07,0.12,0,1,1.6587e+06,200,-43.043
70159,1.659e+09,0,1.01,0.81,1.07,0.12,0,1,1.6589e+06,200,-43.043
70966,1.6592e+09,0,0.99,0.81,1.07,0.12,0,1,1.6591e+06,200,-43.043
71730,1.6593e+09,0,0.99,0.81,1.07,0.13,0,1,1.6593e+06,200,-43.043
72493,1.6595e+09,0,0.99,0.81,1.07,0.13,0,1,1.6595e+06,200,-43.043
73354,1.6598e+09,0,0.99,0.81,1.07,0.13,0,1,1.6597e+06,200,-43.043
74156,1.6599e+09,0,1.01,0.81,1.07,0.14,0,1,1.6599e+06,200,-43.043
74921,1.6601e+09,0,1.01,0.81,1.07,0.15,0,1,1.6601e+06,200,-43.043
75814,1.6604e+09,0,0.99,0.8,1.06,0.15,0,1,1.6603e+06,200,-43.044
76554,1.6605e+09,0,0.99,0.8,1.06,0.14,0,1,1.6605e+06,200,-43.043
77450,1.6608e+09,0,1.01,0.8,1.06,0.14,0,1,1.6607e+06,200,-43.043
78158,1.6609e+09,0,1.01,0.8,1.06,0.14,0,1,1.6609e+06,200,-43.043
78962,1.6611e+09,0,1.04,0.8,1.06,0.15,0,1,1.6611e+06,200,-43.044
79851,1.6614e+09,0,1.04,0.8,1.06,0.2,0,1,1.6613e+06,200,-43.043
80652,1.6616e+09,0,0.99,0.8,1.06,0.18,0,1,1.6615e+06,200,-43.043
81421,1.6617e+09,0,0.99,0.8,1.06,0.2,0,1,1.6617e+06,200,-43.043
82228,1.6619e+09,0,1.01,0.8,1.06,0.16,0,1,1.6619e+06,200,-43.043
83117,1.6622e+09,0,1.01,0.8,1.06,0.15,0,1,1.6621e+06,200,-43.043
83915,1.6624e+09,0,1.01,0.8,1.06,0.15,0,1,1.6623e+06,200,-43.043
84803,1.6626e+09,0,1.01,0.8,1.05,0.12,0,1,1.6625e+06,200,-43.044
85566,1.6628e+09,0,1.01,0.79,1.05,0.13,0,1,1.6627e+06,200,-43.043
86371,1.663e+09,0,1.01,0.79,1.05,0.14,0,1,1.6629e+06,200,-43.044
87110,1.6631e+09,0,1.01,0.79,1.05,0.12,0,1,1.6631e+06,200,-43.043
87912,1.6633e+09,0,1.01,0.79,1.05,0.16,0,1,1.6633e+06,200,-43.043
88799,1.6636e+09,0,1.01,0.79,1.05,0.13,0,1,1.6635e+06,200,-43.043
89601,1.6638e+09,0,1.01,0.79,1.05,0.12,0,1,1.6637e+06,200,-43.043
90404,1.664e+09,0,1.01,0.79,1.05,0.12,0,1,1.6639e+06,200,-43.043
91207,1.6642e+09,0,0.99,0.79,1.05,0.12,0,1,1.6641e+06,200,-43.043
91974,1.6643e+09,0,0.99,0.79,1.05,0.13,0,1,1.6643e+06,200,-43.043
92865,1.6646e+09,0,0.99,0.79,1.05,0.13,0,1,1.6645e+06,200,-43.043
93672,1.6648e+09,0,0.99,0.79,1.04,0.15,0,1,1.6647e+06,200,-43.043
94440,1.6649e+09,0,0.99,0.79,1.04,0.14,0,1,1.6649e+06,200,-43.043
95325,1.6652e+09,0,0.99,0.79,1.04,0.14,0,1,1.6651e+06,200,-43.043
96090,1.6654e+09,0,0.99,0.78,1.04,0.14,0,1,1.6653e+06,200,-43.043
96891,1.6656e+09,0,0.99,0.78,1.04,0.16,0,1,1.6655e+06,200,-43.043
97664,1.6657e+09,0,0.99,0.78,1.04,0.13,0,1,1.6657e+06,200,-43.043
98556,1.666e+09,0,0.99,0.78,1.04,0.15,0,1,1.6659e+06,200,-43.043
99362,1.6662e+09,0,0.99,0.78,1.04,0.13,0,1,1.6661e+06,200,-43.044
1.0017e+05,1.6664e+09,0,0.99,0.78,1.04,0.13,0,1,1.6663e+06,200,-43.043
1.0093e+05,1.6666e+09,0,0.99,0.78,1.04,0.12,0,1,1.6665e+06,200,-43.043
1.0183e+05,1.6668e+09,0,0.99,0.78,1.04,0.12,0,1,1.6667e+06,200,-43.043
1.0262e+05,1.667e+09,0,0.99,0.78,1.03,0.13,0,1,1.6669e+06,200,-43.043
1.0339e+05,1.6672e+09,0,1.01,0.78,1.03,0.14,0,1,1.6671e+06,200,-43.043
1.042e+05,1.6674e+09,0,1.01,0.78,1.03,0.15,0,1,1.6673e+06,200,-43.044
1.05e+05,1.6675e+09,0,1.01,0.78,1.03,0.16,0,1,1.6675e+06,200,-43.043
1.058e+05,1.6677e+09,0,1.01,0.78,1.03,0.17,0,1,1.6677e+06,200,-43.043
1.0666e+05,1.668e+09,0,1.01,0.78,1.03,0.15,0,1,1.6679e+06,200,-43.043
1.0745e+05,1.6681e+09,0,1.01,0.78,1.03,0.13,0,1,1.6681e+06,200,-43.043
1.0822e+05,1.6683e+09,0,1.01,0.78,1.03,0.13,0,1,1.6683e+06,200,-43.044
1.0908e+05,1.6686e+09,0,1.01,0.77,1.03,0.13,0,1,1.6685e+06,200,-43.043
1.0989e+05,1.6688e+09,0,1.01,0.77,1.03,0.11,0,1,1.6687e+06,200,-43.043
1.107e+05,1.669e+09,0,1.01,0.77,1.03,0.12,0,1,1.6689e+06,200,-43.044
1.1146e+05,1.6691e+09,0,1.01,0.77,1.03,0.13,0,1,1.6691e+06,200,-43.043
