LineNo,TimeUS,Id,Pri,Total,Free,Name
5004,1.6431e+09,8,58,2384,1520,0
15959,1.6457e+09,8,58,2384,1520,0
26270,1.6482e+09,8,58,2384,1520,0
36902,1.6507e+09,8,58,2384,1520,0
47456,1.6533e+09,8,58,2384,1520,0
57602,1.6558e+09,8,58,2384,1520,0
68302,1.6585e+09,8,58,2384,1520,0
78290,1.661e+09,8,58,2384,1520,0
88707,1.6635e+09,8,58,2384,1520,0
99276,1.6661e+09,8,58,2384,1520,0
1.0966e+05,1.6687e+09,8,58,2384,1520,0
1.1984e+05,1.6712e+09,8,58,2384,1520,0
1.3041e+05,1.6738e+09,8,58,2384,1520,0
1.409e+05,1.6764e+09,8,58,2384,1520,0
1.5126e+05,1.679e+09,8,58,2384,1520,0
1.6153e+05,1.6815e+09,8,58,2384,1520,0
1.7166e+05,1.684e+09,8,58,2384,1520,0
1.8218e+05,1.6866e+09,8,58,2384,1520,0
1.9254e+05,1.6892e+09,8,58,2384,1520,0
2.0251e+05,1.6917e+09,8,58,2384,1520,0
2.1267e+05,1.6942e+09,8,58,2384,1520,0
2.228e+05,1.6967e+09,8,58,2384,1520,0
2.3327e+05,1.6993e+09,8,58,2384,1520,0
2.4386e+05,1.702e+09,8,58,2384,1520,0
2.5437e+05,1.7046e+09,8,58,2384,1520,0
2.6435e+05,1.707e+09,8,58,2384,1520,0
2.7429e+05,1.7095e+09,8,58,2384,1520,0
2.849e+05,1.7121e+09,8,58,2384,1520,0
2.953e+05,1.7147e+09,8,58,2384,1520,0
3.058e+05,1.7173e+09,8,58,2384,1520,0
3.1585e+05,1.7199e+09,8,58,2384,1520,0
3.2616e+05,1.7224e+09,8,58,2384,1520,0
3.3623e+05,1.7249e+09,8,58,2384,1520,0
3.4633e+05,1.7274e+09,8,58,2384,1520,0
3.5686e+05,1.73e+09,8,58,2384,1520,0
3.6723e+05,1.7326e+09,8,58,2384,1520,0
3.7721e+05,1.7351e+09,8,58,2384,1520,0
3.8786e+05,1.7377e+09,8,58,2384,1520,0
3.9818e+05,1.7403e+09,8,58,2384,1520,0
4.084e+05,1.7428e+09,8,58,2384,1520,0
4.1928e+05,1.7455e+09,8,58,2384,1520,0
4.2933e+05,1.748e+09,8,58,2384,1520,0
4.3983e+05,1.7506e+09,8,58,2384,1520,0
4.5005e+05,1.753e+09,8,58,2384,1520,0
4.6028e+05,1.7555e+09,8,58,2384,1520,0
4.7053e+05,1.758e+09,8,58,2384,1520,0
4.8045e+05,1.7604e+09,8,58,2384,1520,0
4.9127e+05,1.763e+09,8,58,2384,1520,0
5.0194e+05,1.7655e+09,8,58,2384,1520,0
5.1249e+05,1.7681e+09,8,58,2384,1520,0
5.2304e+05,1.7706e+09,8,58,2384,1520,0
5.335e+05,1.7731e+09,8,58,2384,1520,0
5.436e+05,1.7755e+09,8,58,2384,1520,0
