LineNo,TimeUS,Roll,Pitch,Yaw,Alt,Lat,Lng,Q1,Q2,Q3,Q4
317,1.6419e+09,-0.97,2.39,19.59,85.55,43.601,13.482,0.98514,-0.011981,0.019164,0.17024
545,1.6419e+09,-0.97,2.4,19.59,85.68,43.601,13.482,0.98514,-0.011969,0.019239,0.17024
999,1.642e+09,-0.96,2.42,19.58,85.68,43.601,13.482,0.98515,-0.011916,0.019391,0.17017
1113,1.6421e+09,-0.97,2.43,19.58,85.68,43.601,13.482,0.98515,-0.011955,0.019457,0.17015
1220,1.6422e+09,-0.96,2.43,19.59,85.64,43.601,13.482,0.98515,-0.011951,0.019495,0.17019
1331,1.6422e+09,-0.97,2.43,19.59,85.64,43.601,13.482,0.98514,-0.012004,0.019527,0.17024
1510,1.6423e+09,-0.98,2.43,19.59,85.64,43.601,13.482,0.98513,-0.012058,0.019463,0.17026
1692,1.6423e+09,-0.98,2.43,19.59,85.59,43.601,13.482,0.98513,-0.012081,0.019452,0.17025
1736,1.6423e+09,-0.98,2.43,19.59,85.59,43.601,13.482,0.98514,-0.012085,0.019447,0.17025
1781,1.6423e+09,-0.98,2.43,19.59,85.59,43.601,13.482,0.98514,-0.012092,0.01945,0.17025
1825,1.6423e+09,-0.98,2.43,19.59,85.59,43.601,13.482,0.98514,-0.012096,0.019445,0.17024
1870,1.6423e+09,-0.98,2.43,19.59,85.59,43.601,13.482,0.98514,-0.012095,0.01943,0.17023
1917,1.6424e+09,-0.98,2.42,19.59,85.59,43.601,13.482,0.98514,-0.01209,0.019425,0.17023
1960,1.6424e+09,-0.98,2.43,19.59,85.59,43.601,13.482,0.98514,-0.01209,0.019438,0.17022
2002,1.6424e+09,-0.98,2.43,19.59,85.59,43.601,13.482,0.98514,-0.012098,0.019452,0.17022
2050,1.6424e+09,-0.98,2.43,19.59,85.26,43.601,13.482,0.98514,-0.012102,0.01947,0.17022
2093,1.6424e+09,-0.98,2.43,19.59,85.26,43.601,13.482,0.98514,-0.012106,0.019489,0.17019
2135,1.6424e+09,-0.98,2.43,19.58,85.26,43.601,13.482,0.98515,-0.012111,0.019508,0.17017
2181,1.6424e+09,-0.98,2.44,19.58,85.26,43.601,13.482,0.98515,-0.012117,0.019529,0.17014
2225,1.6424e+09,-0.98,2.44,19.58,85.26,43.601,13.482,0.98515,-0.012126,0.019549,0.17012
2267,1.6425e+09,-0.98,2.44,19.58,85.26,43.601,13.482,0.98516,-0.012127,0.019583,0.17011
2311,1.6425e+09,-0.98,2.45,19.57,85.26,43.601,13.482,0.98516,-0.012115,0.019609,0.17009
2353,1.6425e+09,-0.98,2.45,19.57,85.26,43.601,13.482,0.98516,-0.012103,0.019628,0.17007
2396,1.6425e+09,-0.98,2.45,19.57,85.26,43.601,13.482,0.98516,-0.012093,0.019642,0.17006
2439,1.6425e+09,-0.98,2.45,19.57,85.26,43.601,13.482,0.98517,-0.012088,0.019658,0.17004
2485,1.6425e+09,-0.98,2.45,19.57,85.47,43.601,13.482,0.98517,-0.012079,0.019673,0.17004
2529,1.6425e+09,-0.97,2.45,19.57,85.47,43.601,13.482,0.98517,-0.012069,0.019695,0.17005
2571,1.6425e+09,-0.97,2.46,19.57,85.47,43.601,13.482,0.98516,-0.012062,0.019718,0.17005
2614,1.6425e+09,-0.97,2.46,19.57,85.47,43.601,13.482,0.98516,-0.012046,0.019729,0.17006
