LineNo,TimeUS,C,NI,FIX,FIY,AFI,HAGL,offset,RI,rng,Herr,eAng,eVel,ePos
3604,1.6428e+09,0,0,0,0,0,0.15,0.66,0,0,0.5,0.0001423,0.018264,0.052006
3648,1.6428e+09,0,0,0,0,0,0.15,0.66,0,0,0.5,0.00013318,0.017273,0.049444
3692,1.6428e+09,0,0,0,0,0,0.16,0.66,0,0,0.5,0.00012518,0.016337,0.046993
3739,1.6428e+09,0,0,0,0,0,0.16,0.66,0,0,0.5,0.00011806,0.015448,0.044679
3787,1.6428e+09,0,0,0,0,0,0.16,0.66,0,0,0.5,0.00011179,0.014606,0.042482
3832,1.6428e+09,0,0,0,0,0,0.16,0.66,0,0,0.5,0.00011179,0.014606,0.042482
3876,1.6428e+09,0,0,0,0,0,0.17,0.66,0,0,0.5,0.00010638,0.013808,0.0404
3921,1.6428e+09,0,0,0,0,0,0.17,0.66,0,0,0.5,0.00010179,0.013049,0.038402
3966,1.6429e+09,0,0,0,0,0,0.17,0.66,0,0,0.5,0.00014766,0.012488,0.037569
4010,1.6429e+09,0,0,0,0,0,0.18,0.66,0,0,0.5,0.00014287,0.011796,0.035699
4055,1.6429e+09,0,0,0,0,0,0.18,0.66,0,0,0.5,0.0001362,0.011135,0.033923
4099,1.6429e+09,0,0,0,0,0,0.18,0.66,0,0,0.5,0.0001362,0.011135,0.033923
4144,1.6429e+09,0,0,0,0,0,0.18,0.66,0,0,0.5,0.0001284,0.010512,0.032272
4189,1.6429e+09,0,0,0,0,0,0.19,0.66,0,0,0.5,0.00012119,0.009921,0.030686
4238,1.6429e+09,0,0,0,0,0,0.19,0.66,0,0,0.5,0.00011572,0.0093633,0.02917
4283,1.6429e+09,0,0,0,0,0,0.2,0.66,0,0,0.5,0.00010921,0.0088386,0.027763
4327,1.6429e+09,0,0,0,0,0,0.2,0.66,0,0,0.5,0.00010319,0.0083437,0.026431
4372,1.6429e+09,0,0,0,0,0,0.19,0.66,0,0,0.5,0.00011804,0.013371,0.042106
4414,1.643e+09,0,0,0,0,0,0.19,0.66,0,0,0.5,0.00012064,0.0126,0.039901
4457,1.643e+09,0,0,0,0,0,0.19,0.66,0,0,0.5,0.00011369,0.01187,0.037785
4501,1.643e+09,0,0,0,0,0,0.19,0.66,0,0,0.5,0.00011369,0.01187,0.037785
4543,1.643e+09,0,0,0,0,0,0.2,0.66,0,0,0.5,0.00010568,0.011179,0.035812
4586,1.643e+09,0,0,0,0,0,0.2,0.66,0,0,0.5,9.8422e-05,0.010524,0.033919
4628,1.643e+09,0,0,0,0,0,0.2,0.66,0,0,0.5,9.3097e-05,0.0099034,0.032109
4677,1.643e+09,0,0,0,0,0,0.21,0.66,0,0,0.5,8.7072e-05,0.0093166,0.030407
4720,1.643e+09,0,0,0,0,0,0.21,0.66,0,0,0.5,8.7072e-05,0.0093166,0.030407
4763,1.643e+09,0,0,0,0,0,0.21,0.66,0,0,0.5,8.1668e-05,0.0087619,0.028807
4806,1.6431e+09,0,0,0,0,0,0.21,0.66,0,0,0.5,7.7871e-05,0.0082383,0.027265
4848,1.6431e+09,0,0,0,0,0,0.22,0.66,0,0,0.5,0.00013134,0.0078017,0.026195
4891,1.6431e+09,0,0,0,0,0,0.22,0.66,0,0,0.5,0.00012465,0.0073342,0.024798
4934,1.6431e+09,0,0,0,0,0,0.22,0.66,0,0,0.5,0.00011686,0.0068974,0.023507
4977,1.6431e+09,0,0,0,0,0,0.22,0.66,0,0,0.5,0.00011686,0.0068974,0.023507
5020,1.6431e+09,0,0,0,0,0,0.23,0.66,0,0,0.5,0.00010965,0.0064885,0.022279
