LineNo,TimeUS,C,MI,BI,GI,AI,SS
7520,1.6437e+09,0,0,0,0,0,0
7564,1.6437e+09,0,0,0,0,0,0
7607,1.6437e+09,0,0,0,0,0,0
7650,1.6437e+09,0,0,0,0,0,0
7702,1.6437e+09,0,0,0,0,0,0
7746,1.6437e+09,0,0,0,0,0,0
7788,1.6438e+09,0,0,0,0,0,0
7834,1.6438e+09,0,0,0,0,0,0
7879,1.6438e+09,0,0,0,0,0,0
7926,1.6438e+09,0,0,0,0,0,0
7970,1.6438e+09,0,0,0,0,0,0
8015,1.6438e+09,0,0,0,0,0,0
8059,1.6438e+09,0,0,0,0,0,0
8104,1.6438e+09,0,0,0,0,0,0
8154,1.6438e+09,0,0,0,0,0,0
8198,1.6439e+09,0,0,0,0,0,0
8244,1.6439e+09,0,0,0,0,0,0
8288,1.6439e+09,0,0,0,0,0,0
8334,1.6439e+09,0,0,0,0,0,0
8378,1.6439e+09,0,0,0,0,0,0
8423,1.6439e+09,0,0,0,0,0,0
8468,1.6439e+09,0,0,0,0,0,0
8513,1.6439e+09,0,0,0,0,0,0
8558,1.6439e+09,0,0,0,0,0,0
8606,1.6439e+09,0,0,0,0,0,0
8650,1.644e+09,0,0,0,0,0,0
8691,1.644e+09,0,0,0,0,0,0
8736,1.644e+09,0,0,0,0,0,0
8782,1.644e+09,0,0,0,0,0,0
8823,1.644e+09,0,0,0,0,0,0
8869,1.644e+09,0,0,0,0,0,0
8913,1.644e+09,0,0,0,0,0,0
8957,1.644e+09,0,0,0,0,0,0
9003,1.644e+09,0,0,0,0,0,0
9051,1.644e+09,0,0,0,0,0,0
9097,1.6441e+09,0,0,0,0,0,0
9141,1.6441e+09,0,0,0,0,0,0
9186,1.6441e+09,0,0,0,0,0,0
9230,1.6441e+09,0,0,0,0,0,0
9275,1.6441e+09,0,0,0,0,0,0
9320,1.6441e+09,0,0,0,0,0,0
9364,1.6441e+09,0,0,0,0,0,0
9409,1.6441e+09,0,0,0,0,0,0
9454,1.6441e+09,0,0,0,0,0,0
9503,1.6441e+09,0,0,0,0,0,0
9549,1.6442e+09,0,0,0,0,0,0
9592,1.6442e+09,0,0,0,0,0,0
9635,1.6442e+09,0,0,0,0,0,0
9677,1.6442e+09,0,0,0,0,0,0
9722,1.6442e+09,0,0,0,0,0,0
9764,1.6442e+09,0,0,0,0,0,0
9807,1.6442e+09,0,0,0,0,0,0
9850,1.6442e+09,0,0,0,0,0,0
9895,1.6442e+09,0,0,0,0,0,0
9939,1.6443e+09,0,0,0,0,0,0
9982,1.6443e+09,0,0,0,0,0,0
10025,1.6443e+09,0,0,0,0,0,0
10069,1.6443e+09,0,0,0,0,0,0
10112,1.6443e+09,0,0,0,0,0,0
10155,1.6443e+09,0,0,0,0,0,0
10199,1.6443e+09,0,0,0,0,0,0
10242,1.6443e+09,0,0,0,0,0,0
10286,1.6443e+09,0,0,0,0,0,0
10330,1.6444e+09,0,0,0,0,0,0
10374,1.6444e+09,0,0,0,0,0,0
10419,1.6444e+09,0,0,0,0,0,0
10465,1.6444e+09,0,0,0,0,0,0
10509,1.6444e+09,0,0,0,0,0,0
10554,1.6444e+09,0,0,0,0,0,0
10598,1.6444e+09,0,0,0,0,0,0
10643,1.6444e+09,0,0,0,0,0,0
10688,1.6444e+09,0,0,0,0,0,0
10733,1.6444e+09,0,0,0,0,0,0
10782,1.6445e+09,0,0,0,0,0,0
10827,1.6445e+09,0,0,0,0,0,0
10872,1.6445e+09,0,0,0,0,0,0
10916,1.6445e+09,0,0,0,0,0,0
10961,1.6445e+09,0,0,0,0,0,0
11006,1.6445e+09,0,0,0,0,0,0
11050,1.6445e+09,0,0,0,0,0,0
11096,1.6445e+09,0,0,0,0,0,0
11141,1.6445e+09,0,0,0,0,0,0
11188,1.6446e+09,0,0,0,0,0,0
11233,1.6446e+09,0,0,0,0,0,0
11278,1.6446e+09,0,0,0,0,0,0
11324,1.6446e+09,0,0,0,0,0,0
11368,1.6446e+09,0,0,0,0,0,0
11416,1.6446e+09,0,0,0,0,0,0
11462,1.6446e+09,0,0,0,0,0,0
11507,1.6446e+09,0,0,0,0,0,0
11552,1.6446e+09,0,0,0,0,0,0
11597,1.6446e+09,0,0,0,0,0,0
11642,1.6447e+09,0,0,0,0,0,0
11691,1.6447e+09,0,0,0,0,0,0
11736,1.6447e+09,0,0,0,0,0,0
11781,1.6447e+09,0,0,0,0,0,0
11825,1.6447e+09,0,0,0,0,0,0
11867,1.6447e+09,0,0,0,0,0,0
11912,1.6447e+09,0,0,0,0,0,0
11958,1.6447e+09,0,0,0,0,0,0
12002,1.6447e+09,0,0,0,0,0,0
12048,1.6448e+09,0,0,0,0,0,0
12091,1.6448e+09,0,0,0,0,0,0
12136,1.6448e+09,0,0,0,0,0,0
12180,1.6448e+09,0,0,0,0,0,0
12224,1.6448e+09,0,0,0,0,0,0
12267,1.6448e+09,0,0,0,0,0,0
12309,1.6448e+09,0,0,0,0,0,0
12352,1.6448e+09,0,0,0,0,0,0
12398,1.6448e+09,0,0,0,0,0,0
12440,1.6448e+09,0,0,0,0,0,0
12485,1.6449e+09,0,0,0,0,0,0
12527,1.6449e+09,0,0,0,0,0,0
12574,1.6449e+09,0,0,0,0,0,0
12616,1.6449e+09,0,0,0,0,0,0
12658,1.6449e+09,0,0,0,0,0,0
12702,1.6449e+09,0,0,0,0,0,0
12747,1.6449e+09,0,0,0,0,0,0
12790,1.6449e+09,0,0,0,0,0,0
12838,1.6449e+09,0,0,0,0,0,0
12878,1.645e+09,0,0,0,0,0,0
12922,1.645e+09,0,0,0,0,0,0
12971,1.645e+09,0,0,0,0,0,0
13016,1.645e+09,0,0,0,0,0,0
13061,1.645e+09,0,0,0,0,0,0
13106,1.645e+09,0,0,0,0,0,0
13150,1.645e+09,0,0,0,0,0,0
13194,1.645e+09,0,0,0,0,0,0
13238,1.645e+09,0,0,0,0,0,0
13283,1.645e+09,0,0,0,0,0,0
13328,1.6451e+09,0,0,0,0,0,0
13372,1.6451e+09,0,0,0,0,0,0
13421,1.6451e+09,0,0,0,0,0,0
13465,1.6451e+09,0,0,0,0,0,0
13510,1.6451e+09,0,0,0,0,0,0
13567,1.6452e+09,0,0,0,0,0,0
13612,1.6452e+09,0,0,0,0,0,0
13660,1.6452e+09,0,0,0,0,0,0
13708,1.6452e+09,0,0,0,0,0,0
13753,1.6452e+09,0,0,0,0,0,0
13800,1.6452e+09,0,0,0,0,0,0
13845,1.6452e+09,0,0,0,0,0,0
13891,1.6452e+09,0,0,0,0,0,0
13936,1.6453e+09,0,0,0,0,0,0
13981,1.6453e+09,0,0,0,0,0,0
14027,1.6453e+09,0,0,0,0,0,0
14076,1.6453e+09,0,0,0,0,0,0
14121,1.6453e+09,0,0,0,0,0,0
14166,1.6453e+09,0,0,0,0,0,0
14211,1.6453e+09,0,0,0,0,0,0
14255,1.6453e+09,0,0,0,0,0,0
14300,1.6453e+09,0,0,0,0,0,0
14344,1.6453e+09,0,0,0,0,0,0
14393,1.6454e+09,0,0,0,0,0,0
14433,1.6454e+09,0,0,0,0,0,0
14475,1.6454e+09,0,0,0,0,0,0
14524,1.6454e+09,0,0,0,0,0,0
14566,1.6454e+09,0,0,0,0,0,0
14611,1.6454e+09,0,0,0,0,0,0
14653,1.6454e+09,0,0,0,0,0,0
14694,1.6454e+09,0,0,0,0,0,0
14736,1.6454e+09,0,0,0,0,0,0
14778,1.6455e+09,0,0,0,0,0,0
14821,1.6455e+09,0,0,0,0,0,0
14863,1.6455e+09,0,0,0,0,0,0
14906,1.6455e+09,0,0,0,0,0,0
14954,1.6455e+09,0,0,0,0,0,0
14997,1.6455e+09,0,0,0,0,0,0
15040,1.6455e+09,0,0,0,0,0,0
15082,1.6455e+09,0,0,0,0,0,0
15125,1.6455e+09,0,0,0,0,0,0
15167,1.6455e+09,0,0,0,0,0,0
15210,1.6456e+09,0,0,0,0,0,0
15252,1.6456e+09,0,0,0,0,0,0
15297,1.6456e+09,0,0,0,0,0,0
15342,1.6456e+09,0,0,0,0,0,0
15390,1.6456e+09,0,0,0,0,0,0
15436,1.6456e+09,0,0,0,0,0,0
15480,1.6456e+09,0,0,0,0,0,0
15526,1.6456e+09,0,0,0,0,0,0
15573,1.6456e+09,0,0,0,0,0,0
15618,1.6457e+09,0,0,0,0,0,0
15663,1.6457e+09,0,0,0,0,0,0
15707,1.6457e+09,0,0,0,0,0,0
15752,1.6457e+09,0,0,0,0,0,0
15802,1.6457e+09,0,0,0,0,0,0
15846,1.6457e+09,0,0,0,0,0,0
15891,1.6457e+09,0,0,0,0,0,0
